label,case,toy,critic_model_path,model_path,train_seeds,eval_seeds,feature_count,feature_columns,target_mode,target_column,target_quantile,future_horizon,target_scale,target_scale_magnitude,target_scale_future_basin_motion,output_floor,output_ceiling,train_n,eval_n,train_target_mean,eval_target_mean,train_weight_mean,eval_weight_mean,eval_mse,eval_target_correlation,final_loss
toy24_basin_replay_pressure_scorer_h5_q99_quick,toy2_basin_replay_weight_scorer,toy2,experiments/results/basin_critic/toy24_basin_phase_critic_candidate_context_quick/toy24_basin_phase_critic_candidate_context_quick_toy2_basin_phase_critic_candidate_context_model.npz,experiments/results/basin_critic/toy24_basin_replay_pressure_scorer_h5_q99_quick/toy24_basin_replay_pressure_scorer_h5_q99_quick_toy2_basin_replay_weight_scorer_model.npz,"1,2",3,18,"prototype_action1_advantage, learned_action1_advantage, learned_action_margin, learned_uncertainty, learned_abstain, prototype_learned_agreement, prototype_learned_disagreement, score_action0, score_action1, score_std_action0, score_std_action1, action_observed, policy_action_probability, phase_payoff_alignment, phase_action_rate, phase_policy_rate, phase_consensus, phase_payoff_stability",intervention_pressure,training_effective_advantage+future_basin_score_delta,0.99,5,0.835,0.45195613759390046,0.835,0.5,1.0,10000,5000,0.7652753744233499,0.7634241000023048,0.7652403081151093,0.7625343503372024,0.0004615780705163887,0.8850820887296128,0.001639447407796979
toy24_basin_replay_pressure_scorer_h5_q99_quick,toy4_basin_replay_weight_scorer,toy4,experiments/results/basin_critic/toy24_basin_phase_critic_candidate_context_quick/toy24_basin_phase_critic_candidate_context_quick_toy4_basin_phase_critic_candidate_context_model.npz,experiments/results/basin_critic/toy24_basin_replay_pressure_scorer_h5_q99_quick/toy24_basin_replay_pressure_scorer_h5_q99_quick_toy4_basin_replay_weight_scorer_model.npz,"1,2",3,18,"prototype_action1_advantage, learned_action1_advantage, learned_action_margin, learned_uncertainty, learned_abstain, prototype_learned_agreement, prototype_learned_disagreement, score_action0, score_action1, score_std_action0, score_std_action1, action_observed, policy_action_probability, phase_payoff_alignment, phase_action_rate, phase_policy_rate, phase_consensus, phase_payoff_stability",intervention_pressure,training_effective_advantage+future_basin_score_delta,0.99,5,0.25200000000000017,0.1906636562928374,0.25200000000000017,0.5,1.0,10000,5000,0.9930788111610047,0.9928915722485006,0.9772535491062361,0.9623463890775549,0.010450526441588,-0.1595255430586157,0.012643072754144669
