label,case,toy,variant,group,run_count,complete_run_count,final_ceiling_hits,mean_time_to_ceiling,finite_pair_count,learned_abstention_rate_mean,learned_non_abstain_rate_mean,prototype_learned_sign_agreement_rate_mean,prototype_learned_sign_conflict_rate_mean,non_abstain_sign_agreement_rate_mean,non_abstain_sign_conflict_rate_mean,prototype_learned_advantage_correlation_mean,advantage_delta_abs_mean,learned_uncertainty_mean
toy24_basin_learned_diagnostic_quick,toy2_basin_learned_diagnostic,toy2,linear_welfare_heavy,baseline,1,0,0,,0,,,,,,,,,
toy24_basin_learned_diagnostic_quick,toy2_basin_learned_diagnostic,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly,nabm,1,1,0,,300,0.33,0.67,0.6666666666666666,0.3333333333333333,0.9950248756218906,0.004975124378109453,0.7892484795835057,0.006502887166761154,0.015056971358126696
toy24_basin_learned_diagnostic_quick,toy4_basin_learned_diagnostic,toy4,linear_welfare_heavy,baseline,1,0,0,,0,,,,,,,,,
toy24_basin_learned_diagnostic_quick,toy4_basin_learned_diagnostic,toy4,mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly,nabm,1,1,0,,300,1.0,0.0,1.0,0.0,,,0.5187564544049226,0.0043659877286961885,0.0020409304149036486
