label,case,toy,variant,group,seed,run_dir,final_within_ceiling,time_to_ceiling,diagnostic_status,micro_row_count,finite_pair_count,learned_abstention_rate,learned_non_abstain_rate,prototype_learned_sign_agreement_rate,prototype_learned_sign_conflict_rate,non_abstain_sign_agreement_rate,non_abstain_sign_conflict_rate,prototype_learned_advantage_correlation,prototype_advantage_mean,learned_advantage_mean,prototype_advantage_abs_mean,learned_advantage_abs_mean,advantage_delta_abs_mean,learned_uncertainty_mean,final_aggregate_abstention_rate,final_aggregate_prototype_correlation
toy24_basin_learned_diagnostic_quick,toy2_basin_learned_diagnostic,toy2,linear_welfare_heavy,baseline,1,experiments/runs/20260514_151247_036250_toy24_basin_learned_diagnostic_quick_toy2_basin_learned_diagnostic_linear_welfare_heavy_seed01,False,nan,no_finite_pairs,300,,,,,,,,,,,,,,,,
toy24_basin_learned_diagnostic_quick,toy2_basin_learned_diagnostic,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly,nabm,1,experiments/runs/20260514_151248_682640_toy24_basin_learned_diagnostic_quick_toy2_basin_learned_diagnostic_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly_seed01,False,nan,complete,300,300,0.33,0.67,0.6666666666666666,0.3333333333333333,0.9950248756218906,0.004975124378109453,0.7892484795835057,0.002243506226532325,0.008735263549212325,0.005337666976756781,0.008735263549212325,0.006502887166761154,0.015056971358126696,0.0,-0.1498769257266617
toy24_basin_learned_diagnostic_quick,toy4_basin_learned_diagnostic,toy4,linear_welfare_heavy,baseline,1,experiments/runs/20260514_151249_750499_toy24_basin_learned_diagnostic_quick_toy4_basin_learned_diagnostic_linear_welfare_heavy_seed01,False,nan,no_finite_pairs,300,,,,,,,,,,,,,,,,
toy24_basin_learned_diagnostic_quick,toy4_basin_learned_diagnostic,toy4,mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly,nabm,1,experiments/runs/20260514_151250_458838_toy24_basin_learned_diagnostic_quick_toy4_basin_learned_diagnostic_mixed_objective_basin_escalate_credit_p3_min2_h1_learned_readonly_seed01,False,nan,complete,300,300,1.0,0.0,1.0,0.0,,,0.5187564544049226,0.005153374051429732,0.000787386322733543,0.005153374051429732,0.000787386322733543,0.0043659877286961885,0.0020409304149036486,1.0,-0.1543124369696228
