label,case,toy,critic_model_path,model_path,train_seeds,eval_seeds,feature_count,feature_columns,target_mode,target_column,target_quantile,future_horizon,target_scale,output_floor,output_ceiling,train_n,eval_n,train_target_mean,eval_target_mean,train_weight_mean,eval_weight_mean,eval_mse,eval_target_correlation,final_loss
toy24_basin_replay_weight_scorer_future_motion_h5_q90_quick,toy2_basin_replay_weight_scorer,toy2,experiments/results/basin_critic/toy24_basin_phase_critic_candidate_context_quick/toy24_basin_phase_critic_candidate_context_quick_toy2_basin_phase_critic_candidate_context_model.npz,experiments/results/basin_critic/toy24_basin_replay_weight_scorer_future_motion_h5_q90_quick/toy24_basin_replay_weight_scorer_future_motion_h5_q90_quick_toy2_basin_replay_weight_scorer_model.npz,"1,2",3,18,"prototype_action1_advantage, learned_action1_advantage, learned_action_margin, learned_uncertainty, learned_abstain, prototype_learned_agreement, prototype_learned_disagreement, score_action0, score_action1, score_std_action0, score_std_action1, action_observed, policy_action_probability, phase_payoff_alignment, phase_action_rate, phase_policy_rate, phase_consensus, phase_payoff_stability",future_basin_motion,future_basin_score_delta,0.9,5,0.565,0.5,1.0,10000,5000,0.5457079646017698,0.542566371681416,0.5556887300940421,0.5520417562565587,0.0003767143428429852,0.9900922914408788,0.0015145371435210109
toy24_basin_replay_weight_scorer_future_motion_h5_q90_quick,toy4_basin_replay_weight_scorer,toy4,experiments/results/basin_critic/toy24_basin_phase_critic_candidate_context_quick/toy24_basin_phase_critic_candidate_context_quick_toy4_basin_phase_critic_candidate_context_model.npz,experiments/results/basin_critic/toy24_basin_replay_weight_scorer_future_motion_h5_q90_quick/toy24_basin_replay_weight_scorer_future_motion_h5_q90_quick_toy4_basin_replay_weight_scorer_model.npz,"1,2",3,18,"prototype_action1_advantage, learned_action1_advantage, learned_action_margin, learned_uncertainty, learned_abstain, prototype_learned_agreement, prototype_learned_disagreement, score_action0, score_action1, score_std_action0, score_std_action1, action_observed, policy_action_probability, phase_payoff_alignment, phase_action_rate, phase_policy_rate, phase_consensus, phase_payoff_stability",future_basin_motion,future_basin_score_delta,0.9,5,0.22799999999999992,0.5,1.0,10000,5000,0.5447368421052631,0.5434210526315789,0.55802799725949,0.5563550158599566,0.00104334267500051,0.9715893761108466,0.004069583024829626
