label,case,toy,variant,group,seed,epoch,time_to_ceiling,final_within_ceiling,action_rate,mean_policy_action_probability_post_local,mean_policy_action_probability_post_social,policy_action_probability_post_social_gt_0p7_rate,domain_revision_advantage_mean,domain_revision_advantage_positive_rate,revision_pressure_proxy,revision_pressure_active,social_revision_pressure_proxy,policy_readiness_proxy,pressure_policy_gap,pressure_action_gap,realized_revision_rate,precommitment_rate,precommitment_mean_evidence,commitment_rate
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,0,3,True,0.47,0.47,0.47,0.47,,,,False,0.0,0.47,,,0.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,1,3,True,0.91,0.92,0.92,0.92,,,,False,0.0,0.92,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,2,3,True,0.97,0.98,0.98,0.98,,,,False,0.0,0.98,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,3,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,4,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,5,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,6,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,7,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,8,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,9,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,10,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,11,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,12,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,13,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,14,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,15,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,16,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,17,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,18,3,True,1.0,1.0,1.0,1.0,,,,False,0.0,1.0,,,1.0,0.0,0.0,0.0
