toy,variant,seed,epoch,mean_payoff,action_rate,mean_policy_action_probability,mean_reputation,run_dir
toy2,neural_output_average,2,1,2.355,0.55,0.46074700355529785,0.514,/tmp/nabm_toy24_epoch_diag/runs/20260512_235154_145777_toy2_neural_output_average_epoch50_diag_seed02
toy2,neural_output_average,2,2,2.09,0.42,0.4295840859413147,0.5046,/tmp/nabm_toy24_epoch_diag/runs/20260512_235154_145777_toy2_neural_output_average_epoch50_diag_seed02
toy2,neural_output_average,2,5,2.185,0.47,0.32810714840888977,0.49162339999999993,/tmp/nabm_toy24_epoch_diag/runs/20260512_235154_145777_toy2_neural_output_average_epoch50_diag_seed02
toy2,neural_output_average,2,10,1.395,0.14,0.19270679354667664,0.39326640146600006,/tmp/nabm_toy24_epoch_diag/runs/20260512_235154_145777_toy2_neural_output_average_epoch50_diag_seed02
toy2,neural_output_average,2,20,1.18,0.06,0.04999981075525284,0.20870783192690523,/tmp/nabm_toy24_epoch_diag/runs/20260512_235154_145777_toy2_neural_output_average_epoch50_diag_seed02
toy2,neural_output_average,2,50,1.03,0.01,0.00666770339012146,0.022936344056669434,/tmp/nabm_toy24_epoch_diag/runs/20260512_235154_145777_toy2_neural_output_average_epoch50_diag_seed02
toy2,neural_output_average,3,0,2.195,0.47,0.49571213126182556,0.47,/tmp/nabm_toy24_epoch_diag/runs/20260512_235158_798256_toy2_neural_output_average_epoch50_diag_seed03
toy2,neural_output_average,3,1,2.29,0.51,0.45266029238700867,0.474,/tmp/nabm_toy24_epoch_diag/runs/20260512_235158_798256_toy2_neural_output_average_epoch50_diag_seed03
toy2,neural_output_average,3,2,2.145,0.44,0.41520926356315613,0.4706,/tmp/nabm_toy24_epoch_diag/runs/20260512_235158_798256_toy2_neural_output_average_epoch50_diag_seed03
toy2,neural_output_average,3,5,2.07,0.41,0.32515549659729004,0.4522874,/tmp/nabm_toy24_epoch_diag/runs/20260512_235158_798256_toy2_neural_output_average_epoch50_diag_seed03
toy2,neural_output_average,3,10,1.52,0.18,0.19059020280838013,0.366997286826,/tmp/nabm_toy24_epoch_diag/runs/20260512_235158_798256_toy2_neural_output_average_epoch50_diag_seed03
toy2,neural_output_average,3,20,1.26,0.09,0.05413646250963211,0.193404133983422,/tmp/nabm_toy24_epoch_diag/runs/20260512_235158_798256_toy2_neural_output_average_epoch50_diag_seed03
toy2,neural_output_average,3,50,1.15,0.05,0.006984792184084654,0.02450577444309693,/tmp/nabm_toy24_epoch_diag/runs/20260512_235158_798256_toy2_neural_output_average_epoch50_diag_seed03
toy4,reputation_imitation,1,0,0.2820000000000001,0.47,0.4699999988079071,0.47,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_405251_toy4_reputation_imitation_epoch50_diag_seed01
toy4,reputation_imitation,1,1,0.5460000000000002,0.91,0.9200000166893005,0.514,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_405251_toy4_reputation_imitation_epoch50_diag_seed01
toy4,reputation_imitation,1,2,0.582,0.97,0.9800000190734863,0.5595999999999999,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_405251_toy4_reputation_imitation_epoch50_diag_seed01
toy4,reputation_imitation,1,5,0.6,1.0,1.0,0.6789483999999999,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_405251_toy4_reputation_imitation_epoch50_diag_seed01
toy4,reputation_imitation,1,10,0.6,1.0,1.0,0.8104222407159998,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_405251_toy4_reputation_imitation_epoch50_diag_seed01
toy4,reputation_imitation,1,20,0.6,1.0,1.0,0.9338983226152016,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_405251_toy4_reputation_imitation_epoch50_diag_seed01
toy4,reputation_imitation,1,50,0.6,1.0,1.0,0.9971978733317236,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_405251_toy4_reputation_imitation_epoch50_diag_seed01
toy4,reputation_imitation,2,0,0.3060000000000001,0.51,0.5099999904632568,0.51,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_526043_toy4_reputation_imitation_epoch50_diag_seed02
toy4,reputation_imitation,2,1,0.5700000000000002,0.95,0.9599999785423279,0.5539999999999999,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_526043_toy4_reputation_imitation_epoch50_diag_seed02
toy4,reputation_imitation,2,2,0.588,0.98,0.9800000190734863,0.5966,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_526043_toy4_reputation_imitation_epoch50_diag_seed02
toy4,reputation_imitation,2,5,0.6,1.0,1.0,0.7059214,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_526043_toy4_reputation_imitation_epoch50_diag_seed02
toy4,reputation_imitation,2,10,0.6,1.0,1.0,0.8263495274859999,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_526043_toy4_reputation_imitation_epoch50_diag_seed02
toy4,reputation_imitation,2,20,0.6,1.0,1.0,0.9394518241211904,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_526043_toy4_reputation_imitation_epoch50_diag_seed02
toy4,reputation_imitation,2,50,0.6,1.0,1.0,0.9974332926930457,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_526043_toy4_reputation_imitation_epoch50_diag_seed02
toy4,reputation_imitation,3,0,0.2820000000000001,0.47,0.4699999988079071,0.47,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_647919_toy4_reputation_imitation_epoch50_diag_seed03
toy4,reputation_imitation,3,1,0.5760000000000001,0.96,0.949999988079071,0.519,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_647919_toy4_reputation_imitation_epoch50_diag_seed03
toy4,reputation_imitation,3,2,0.6,1.0,0.9900000095367432,0.5670999999999998,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_647919_toy4_reputation_imitation_epoch50_diag_seed03
toy4,reputation_imitation,3,5,0.6,1.0,1.0,0.6844158999999999,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_647919_toy4_reputation_imitation_epoch50_diag_seed03
toy4,reputation_imitation,3,10,0.6,1.0,1.0,0.8136507447909997,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_647919_toy4_reputation_imitation_epoch50_diag_seed03
toy4,reputation_imitation,3,20,0.6,1.0,1.0,0.9350240323799289,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_647919_toy4_reputation_imitation_epoch50_diag_seed03
toy4,reputation_imitation,3,50,0.6,1.0,1.0,0.9972455934725322,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_647919_toy4_reputation_imitation_epoch50_diag_seed03
toy4,neural_output_average,1,0,0.2820000000000001,0.47,0.5045049786567688,0.47,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_767571_toy4_neural_output_average_epoch50_diag_seed01
toy4,neural_output_average,1,1,0.3180000000000001,0.53,0.478565514087677,0.47600000000000003,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_767571_toy4_neural_output_average_epoch50_diag_seed01
toy4,neural_output_average,1,2,0.2880000000000001,0.48,0.4486689269542694,0.4764000000000001,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_767571_toy4_neural_output_average_epoch50_diag_seed01
toy4,neural_output_average,1,5,0.24600000000000008,0.41,0.3634999394416809,0.4621856,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_767571_toy4_neural_output_average_epoch50_diag_seed01
toy4,neural_output_average,1,10,0.13800000000000004,0.23,0.2333492785692215,0.39565577494399995,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_767571_toy4_neural_output_average_epoch50_diag_seed01
toy4,neural_output_average,1,20,0.06000000000000002,0.1,0.09555771201848984,0.23056883117603064,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_767571_toy4_neural_output_average_epoch50_diag_seed01
toy4,neural_output_average,1,50,0.0,0.0,0.01979914680123329,0.035964114482552725,/tmp/nabm_toy24_epoch_diag/runs/20260512_235203_767571_toy4_neural_output_average_epoch50_diag_seed01
toy4,neural_output_average,2,0,0.3060000000000001,0.51,0.5046667456626892,0.51,/tmp/nabm_toy24_epoch_diag/runs/20260512_235208_144674_toy4_neural_output_average_epoch50_diag_seed02
toy4,neural_output_average,2,1,0.2880000000000001,0.48,0.46644601225852966,0.507,/tmp/nabm_toy24_epoch_diag/runs/20260512_235208_144674_toy4_neural_output_average_epoch50_diag_seed02
toy4,neural_output_average,2,2,0.3420000000000001,0.57,0.4424375891685486,0.5133,/tmp/nabm_toy24_epoch_diag/runs/20260512_235208_144674_toy4_neural_output_average_epoch50_diag_seed02
toy4,neural_output_average,2,5,0.20400000000000007,0.34,0.347808837890625,0.48163570000000006,/tmp/nabm_toy24_epoch_diag/runs/20260512_235208_144674_toy4_neural_output_average_epoch50_diag_seed02
toy4,neural_output_average,2,10,0.138,0.23,0.217671200633049,0.3973092644930001,/tmp/nabm_toy24_epoch_diag/runs/20260512_235208_144674_toy4_neural_output_average_epoch50_diag_seed02
toy4,neural_output_average,2,20,0.04800000000000001,0.08,0.07983176410198212,0.22953814067969758,/tmp/nabm_toy24_epoch_diag/runs/20260512_235208_144674_toy4_neural_output_average_epoch50_diag_seed02
toy4,neural_output_average,2,50,0.0,0.0,0.01923508010804653,0.03358515645013901,/tmp/nabm_toy24_epoch_diag/runs/20260512_235208_144674_toy4_neural_output_average_epoch50_diag_seed02
toy4,neural_output_average,3,0,0.2820000000000001,0.47,0.49526214599609375,0.47,/tmp/nabm_toy24_epoch_diag/runs/20260512_235212_512111_toy4_neural_output_average_epoch50_diag_seed03
toy4,neural_output_average,3,1,0.2880000000000001,0.48,0.45665669441223145,0.4709999999999999,/tmp/nabm_toy24_epoch_diag/runs/20260512_235212_512111_toy4_neural_output_average_epoch50_diag_seed03
toy4,neural_output_average,3,2,0.23400000000000007,0.39,0.4237023591995239,0.4629000000000001,/tmp/nabm_toy24_epoch_diag/runs/20260512_235212_512111_toy4_neural_output_average_epoch50_diag_seed03
toy4,neural_output_average,3,5,0.2340000000000001,0.39,0.32826054096221924,0.4577240999999999,/tmp/nabm_toy24_epoch_diag/runs/20260512_235212_512111_toy4_neural_output_average_epoch50_diag_seed03
toy4,neural_output_average,3,10,0.13200000000000003,0.22,0.20965106785297394,0.3817730038090001,/tmp/nabm_toy24_epoch_diag/runs/20260512_235212_512111_toy4_neural_output_average_epoch50_diag_seed03
toy4,neural_output_average,3,20,0.048000000000000015,0.08,0.07662210613489151,0.22672908438441353,/tmp/nabm_toy24_epoch_diag/runs/20260512_235212_512111_toy4_neural_output_average_epoch50_diag_seed03
toy4,neural_output_average,3,50,0.024000000000000004,0.04,0.015928559005260468,0.03664211742984349,/tmp/nabm_toy24_epoch_diag/runs/20260512_235212_512111_toy4_neural_output_average_epoch50_diag_seed03
