label,case,toy,primary_metric,direction,baseline_group,nabm_group,baseline_n,baseline_mean,baseline_std,baseline_ci95,nabm_n,nabm_mean,nabm_std,nabm_ci95,effect_n,effect_mean,effect_std,effect_ci95,positive_effect_favors,nabm_status,neural_role,social_channels,reference_policies
toy24_state_continuation_matrix_quick,toy2_state_continuation_vs_reputation,toy2,final_mean_payoff,maximize,baseline,nabm,3,3.0,0.0,0.0,3,2.49125,0.019843134832984426,0.022454620905283613,3,-0.50875,0.019843134832984426,0.022454620905283613,nabm,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_state_continuation_matrix_quick,toy4_state_continuation_vs_reputation,toy4,final_mean_payoff,maximize,baseline,nabm,3,0.6,0.0,0.0,3,0.302,0.006244997998398403,0.007066880499909425,3,-0.298,0.006244997998398403,0.007066880499909425,nabm,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
