label,case,toy,primary_metric,direction,baseline_group,nabm_group,baseline_n,baseline_mean,baseline_std,baseline_ci95,nabm_n,nabm_mean,nabm_std,nabm_ci95,effect_n,effect_mean,effect_std,effect_ci95,positive_effect_favors,ceiling_metric,ceiling_value,ceiling_tolerance,baseline_final_ceiling_rate,nabm_final_ceiling_rate,baseline_ever_ceiling_rate,nabm_ever_ceiling_rate,baseline_time_to_ceiling_mean,nabm_time_to_ceiling_mean,time_to_ceiling_effect_mean,ceiling_outcome,nabm_status,neural_role,social_channels,reference_policies
toy24_basin_learned_credit_future_motion_weight_scorer_quick,toy2_basin_learned_credit_future_motion_weight_scorer,toy2,final_mean_payoff,maximize,baseline,nabm,3,3.0,0.0,0.0,3,3.0,0.0,0.0,3,0.0,0.0,0.0,nabm,mean_payoff,3.0,0.001,1.0,1.0,1.0,1.0,23.666666666666668,9.333333333333334,14.333333333333334,nabm_faster_to_ceiling,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_learned_credit_future_motion_weight_scorer_quick,toy4_basin_learned_credit_future_motion_weight_scorer,toy4,final_mean_payoff,maximize,baseline,nabm,3,0.596,0.003464101615137758,0.003920000000000004,3,0.6,0.0,0.0,3,0.0040000000000000036,0.003464101615137758,0.003920000000000004,nabm,mean_payoff,0.6,0.005,0.3333333333333333,1.0,1.0,1.0,21.0,12.0,9.0,nabm_more_final_ceiling_hits,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
