label,regime,game_family,purpose,payoff_T,payoff_R,payoff_P,payoff_S,update_rule,mixer,peer_rule,seed,initial_cooperation_probability,alpha,selection_strength,policy_temperature,payoff_transform,exploration_epsilon,run_dir,final_cooperation_rate,final_mean_payoff,final_mean_policy_cooperation,final_cooperation_components,final_largest_cooperation_cluster_fraction,final_fragmentation_components
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,output_average,none,2,0.1,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101309_496348_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_output_average_p0p1_a0p25_seed02,0.0,1.0,0.0,0,0.0,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,output_average,none,3,0.1,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101309_864625_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_output_average_p0p1_a0p25_seed03,0.0,1.0,0.0,0,0.0,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,output_average,none,4,0.1,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101310_212571_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_output_average_p0p1_a0p25_seed04,0.0,1.0,0.0,0,0.0,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,output_average,none,5,0.1,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101310_551473_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_output_average_p0p1_a0p25_seed05,0.0,1.0,0.0,0,0.0,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,rd_well_mixed,none,none,1,0.1,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101310_890598_toy2_basin_sweep_seeds01_05_soft_pd_rd_well_mixed_p0p1_reference_seed01,1.906776383307988e-05,1.000036375346876,1.906776383307988e-05,0,0.0,0
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,none,none,1,0.3,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101310_943787_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_none_p0p3_a0p0_seed01,0.29,1.4860000000000002,0.32269370555877686,18,0.06,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,none,none,2,0.3,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101314_526931_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_none_p0p3_a0p0_seed02,0.32,1.5560000000000005,0.34963372349739075,12,0.14,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,none,none,3,0.3,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101318_096795_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_none_p0p3_a0p0_seed03,0.35,1.6159999999999999,0.28055065870285034,9,0.13,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,none,none,4,0.3,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101321_950995_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_none_p0p3_a0p0_seed04,0.34,1.6060000000000003,0.33965808153152466,8,0.14,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,none,none,5,0.3,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101325_885471_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_none_p0p3_a0p0_seed05,0.32,1.5540000000000003,0.3249014616012573,12,0.1,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,output_average,none,1,0.3,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101329_427677_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_output_average_p0p3_a0p25_seed01,0.28,1.4720000000000002,0.2570172846317291,16,0.09,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,output_average,none,2,0.3,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101335_557195_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_output_average_p0p3_a0p25_seed02,0.27,1.4660000000000002,0.2957755923271179,11,0.1,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,output_average,none,3,0.3,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101341_895930_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_output_average_p0p3_a0p25_seed03,0.27,1.4700000000000002,0.2365858107805252,9,0.05,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,output_average,none,4,0.3,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101348_401218_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_output_average_p0p3_a0p25_seed04,0.3,1.508,0.28770288825035095,16,0.07,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,output_average,none,5,0.3,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_101355_661639_toy2_basin_sweep_seeds01_05_soft_pd_neural_policy_output_average_p0p3_a0p25_seed05,0.28,1.484,0.2807694673538208,12,0.08,1
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,none,none,1,0.3,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101402_333726_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_none_p0p3_a0p0_seed01,0.0,1.0,0.0,0,0.0,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,none,none,2,0.3,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101402_717726_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_none_p0p3_a0p0_seed02,0.0,1.0,0.0,0,0.0,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,none,none,3,0.3,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101403_027868_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_none_p0p3_a0p0_seed03,0.0,1.0,0.0,0,0.0,100
toy2_basin_sweep_seeds01_05,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,fermi_imitation,none,none,4,0.3,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_101403_336667_toy2_basin_sweep_seeds01_05_soft_pd_fermi_imitation_none_p0p3_a0p0_seed04,0.0,1.0,0.0,0,0.0,100
