label,recovery_rate,extraction_cost,dynamic_rewire_rate,initial_price_expectation_mean,initial_conservation_norm_mean,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,seed,epochs,run_dir,domain_final_resource_fraction,domain_final_resource_level,domain_final_market_price,domain_final_market_imbalance,domain_final_mean_harvest_intensity,domain_final_mean_price_expectation,domain_final_mean_conservation_norm,domain_final_mean_payoff,domain_cumulative_rewired_edge_count,final_fragmentation_components
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.0,0.5,0.5,output_average,output_similarity,0.0,0.0,2,25,experiments/runs/20260511_190400_230988_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0_p0p5_n0p5_output_average_output_similarity_a0_t0_seed02,0.32237759834122026,32.23775983412202,0.6903014705039628,0.29722667918492424,0.3667525236460029,0.6666991084316348,0.6170342035554155,0.002245039066772789,0,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.0,0.5,0.5,output_average,output_similarity,0.0,0.0,3,25,experiments/runs/20260511_190400_328024_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0_p0p5_n0p5_output_average_output_similarity_a0_t0_seed03,0.3242264434710222,32.42264434710222,0.6901896358931622,0.2966061151883402,0.3675463131959685,0.6668230822505012,0.6151269924996489,0.002798118848792166,0,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.0,0.5,0.5,output_average,output_similarity,0.0,0.0,4,25,experiments/runs/20260511_190400_431586_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0_p0p5_n0p5_output_average_output_similarity_a0_t0_seed04,0.3237616160950148,32.37616160950148,0.6912176630537396,0.3012564668226938,0.36235771856957066,0.6665881681065438,0.6156036631165911,0.0030583983693154367,0,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.0,0.5,0.5,output_average,output_similarity,0.0,0.0,5,25,experiments/runs/20260511_190400_526123_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0_p0p5_n0p5_output_average_output_similarity_a0_t0_seed05,0.32516772625795537,32.51677262579554,0.6892877786340055,0.2942538861251523,0.3686433422857172,0.665632011012435,0.6137129522607092,0.002891705150536639,0,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.0,0.5,0.5,output_average,output_similarity,0.25,0.0,1,25,experiments/runs/20260511_190400_620233_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0_p0p5_n0p5_output_average_output_similarity_a0p25_t0_seed01,0.32424464004558445,32.424464004558445,0.6919985446506902,0.30388089106181326,0.3602323964791343,0.6671596654506183,0.61554367122769,0.003440910353420378,0,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.0,0.5,0.5,output_average,output_similarity,0.25,0.0,2,25,experiments/runs/20260511_190400_753134_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0_p0p5_n0p5_output_average_output_similarity_a0p25_t0_seed02,0.32246511869247224,32.24651186924722,0.6902691544453592,0.2971542185958721,0.3667681805896923,0.6666459718913231,0.6169423115882263,0.0022691382876671097,0,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.0,0.5,0.5,output_average,output_similarity,0.25,0.0,3,25,experiments/runs/20260511_190400_884932_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0_p0p5_n0p5_output_average_output_similarity_a0p25_t0_seed03,0.32419831957667766,32.41983195766777,0.6901984477932653,0.2966375452467312,0.3675187006795991,0.6668259744238728,0.6151830754329997,0.002791466806012539,0,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.0,0.5,0.5,output_average,output_similarity,0.25,0.0,4,25,experiments/runs/20260511_190401_014041_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0_p0p5_n0p5_output_average_output_similarity_a0p25_t0_seed04,0.32369724258765203,32.3697242587652,0.6912309566331608,0.301307419190081,0.3623089881524815,0.6665916034111669,0.6156986260085734,0.003041727615324277,0,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.0,0.5,0.5,output_average,output_similarity,0.25,0.0,5,25,experiments/runs/20260511_190401_146994_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0_p0p5_n0p5_output_average_output_similarity_a0p25_t0_seed05,0.3252968617053474,32.52968617053474,0.689249071447626,0.29415581391973966,0.36868465795102456,0.6655773693003431,0.6135712569217368,0.0029279081754319813,0,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.05,0.5,0.2,output_average,output_similarity,0.0,0.0,1,25,experiments/runs/20260511_190401_279344_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0p05_p0p5_n0p2_output_average_output_similarity_a0_t0_seed01,0.31067157638630594,31.067157638630594,0.6922750703680741,0.305504632946649,0.3580910155789988,0.6668883932420231,0.6304619119286506,-0.0008104462569980154,132,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.05,0.5,0.2,output_average,output_similarity,0.0,0.0,2,25,experiments/runs/20260511_190401_381337_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0p05_p0p5_n0p2_output_average_output_similarity_a0_t0_seed02,0.3095848743066204,30.95848743066204,0.6920698976008725,0.3044655017061707,0.35934858699114824,0.6670154634884621,0.6315764160851683,-0.0013142836305493908,136,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.05,0.5,0.2,output_average,output_similarity,0.0,0.0,3,25,experiments/runs/20260511_190401_482218_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0p05_p0p5_n0p2_output_average_output_similarity_a0_t0_seed03,0.3114118861533356,31.14118861533356,0.6919341112767223,0.3039369918186741,0.35986246146954065,0.6669776741630907,0.6295622085964974,-0.0007583405696455189,156,2
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.05,0.5,0.2,output_average,output_similarity,0.0,0.0,4,25,experiments/runs/20260511_190401_584467_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0p05_p0p5_n0p2_output_average_output_similarity_a0_t0_seed04,0.31045055337973826,31.045055337973825,0.6923061950808147,0.3060442527055358,0.3571362749121876,0.6665475210460943,0.6305165671673078,-0.000846685433424311,126,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.05,0.5,0.2,output_average,output_similarity,0.0,0.0,5,25,experiments/runs/20260511_190401_685066_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0p05_p0p5_n0p2_output_average_output_similarity_a0_t0_seed05,0.3132701324517443,31.32701324517443,0.69197681781395,0.30535972304159453,0.3571878251726115,0.6659783441596053,0.6272655114926894,4.138697688752226e-05,114,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.05,0.5,0.2,output_average,output_similarity,0.25,0.0,1,25,experiments/runs/20260511_190401_784662_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0p05_p0p5_n0p2_output_average_output_similarity_a0p25_t0_seed01,0.3104819914636362,31.04819914636362,0.692343422488795,0.3056779550093335,0.35801777993651285,0.6669804097741392,0.6307080207934211,-0.0008595527546650919,132,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.05,0.5,0.2,output_average,output_similarity,0.25,0.0,2,25,experiments/runs/20260511_190401_922173_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0p05_p0p5_n0p2_output_average_output_similarity_a0p25_t0_seed02,0.30949998943360785,30.949998943360786,0.6920846815842141,0.30452243145797214,0.35929386342091246,0.6670187238463945,0.631685234712195,-0.0013365560900870654,136,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.05,0.5,0.2,output_average,output_similarity,0.25,0.0,3,25,experiments/runs/20260511_190402_060662_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0p05_p0p5_n0p2_output_average_output_similarity_a0p25_t0_seed03,0.31124607758215217,31.12460775821522,0.6918673208368936,0.30353535553840244,0.3603985722707697,0.6670704561154838,0.6298124120189467,-0.0008653014368031306,158,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.05,0.5,0.2,output_average,output_similarity,0.25,0.0,4,25,experiments/runs/20260511_190402_199749_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0p05_p0p5_n0p2_output_average_output_similarity_a0p25_t0_seed04,0.31021871670414325,31.021871670414324,0.6923724172264766,0.3062342450375633,0.35702117883077983,0.6666193762770857,0.6308162832398903,-0.000906808297533033,126,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.05,0.5,0.2,output_average,output_similarity,0.25,0.0,5,25,experiments/runs/20260511_190402_335349_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0p05_p0p5_n0p2_output_average_output_similarity_a0p25_t0_seed05,0.31327029834973824,31.327029834973825,0.6919674583619084,0.30534962915966757,0.3571705751282981,0.6659528039742881,0.6272711498484745,4.1588722562792974e-05,114,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.05,0.5,0.5,output_average,output_similarity,0.0,0.0,1,25,experiments/runs/20260511_190402_473940_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0p05_p0p5_n0p5_output_average_output_similarity_a0_t0_seed01,0.3235400928240537,32.35400928240537,0.6905465640968192,0.29820348173372047,0.36577929291983613,0.6667628409649089,0.6159609832692441,0.002723310835404687,132,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.05,0.5,0.5,output_average,output_similarity,0.0,0.0,2,25,experiments/runs/20260511_190402_574851_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0p05_p0p5_n0p5_output_average_output_similarity_a0_t0_seed02,0.3225225931230822,32.25225931230822,0.690324535183778,0.2971081649198982,0.36708181089531555,0.6668765635288613,0.6169835102568435,0.00223966431128918,136,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.05,0.5,0.5,output_average,output_similarity,0.0,0.0,3,25,experiments/runs/20260511_190402_675366_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0p05_p0p5_n0p5_output_average_output_similarity_a0_t0_seed03,0.3243073093632244,32.43073093632244,0.690200243360402,0.2966083819979472,0.3675842094457133,0.6668566522819,0.6150104600560332,0.0027983042653269823,156,2
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.05,0.5,0.5,output_average,output_similarity,0.0,0.0,4,25,experiments/runs/20260511_190402_780850_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0p05_p0p5_n0p5_output_average_output_similarity_a0_t0_seed04,0.3233147892247647,32.33147892247647,0.6905794574765587,0.2987415244627314,0.3648347809807724,0.6664290951949455,0.6159999687407417,0.002676197719742871,126,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.05,0.5,0.5,output_average,output_similarity,0.0,0.0,5,25,experiments/runs/20260511_190402_881764_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0p05_p0p5_n0p5_output_average_output_similarity_a0_t0_seed05,0.3260207709559188,32.60207709559188,0.690285310790351,0.2981575446392335,0.36482615388293704,0.6659029142020647,0.6128916824652911,0.003550473815924347,114,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.05,0.5,0.5,output_average,output_similarity,0.25,0.0,1,25,experiments/runs/20260511_190402_979534_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0p05_p0p5_n0p5_output_average_output_similarity_a0p25_t0_seed01,0.32336239152170365,32.336239152170364,0.6906109044279731,0.29836508674884754,0.3657134442141974,0.6668505751889318,0.6161906407780398,0.002675931884572015,132,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.05,0.5,0.5,output_average,output_similarity,0.25,0.0,2,25,experiments/runs/20260511_190403_119692_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0p05_p0p5_n0p5_output_average_output_similarity_a0p25_t0_seed02,0.32240733940504945,32.240733940504946,0.6903444195667964,0.2971820222270142,0.3670136338131571,0.6668839481255345,0.6171227333307815,0.0022077914272848605,136,1
toy10_market_sensitivity_seeds01_05,0.02,0.25,0.05,0.5,0.5,output_average,output_similarity,0.25,0.0,3,25,experiments/runs/20260511_190403_256676_toy10_market_sensitivity_seeds01_05_r0p02_c0p25_rw0p05_p0p5_n0p5_output_average_output_similarity_a0p25_t0_seed03,0.3241371077505275,32.41371077505275,0.6901338065770799,0.29620461068241344,0.36812600494349224,0.6669528060187276,0.6152573143682504,0.0026925312176117955,158,1
