label,threshold_group_fraction,coordination_gate_mode,environment_threshold,benefit,action_cost,payoff_learning_rate,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,seeds,final_action_rate_mean,final_action_rate_std,final_mean_payoff_mean,final_mean_payoff_std,final_group_action_rate_gap_mean,final_group_action_rate_gap_std,final_fragmentation_components_mean
toy9_heterogeneous_sensitivity_seeds01_05,0.25,gated,0.55,1.2,0.25,0.18,output_average,output_similarity,0.25,0.0,5,0.22999999999999998,0.021213203435596416,0.2001042857142857,0.020780642084863125,0.15733333333333333,0.05917957605645905,14.6
toy9_heterogeneous_sensitivity_seeds01_05,0.25,gated,0.55,1.2,0.45,0.18,output_average,output_similarity,0.0,0.0,5,0.052000000000000005,0.016431676725154987,0.2506635714285714,0.013006371427269082,0.058666666666666666,0.03841296077570116,14.6
toy9_heterogeneous_sensitivity_seeds01_05,0.25,gated,0.55,1.2,0.45,0.18,output_average,output_similarity,0.25,0.0,5,0.054000000000000006,0.015165750888103102,0.25106142857142855,0.011390230720549382,0.05600000000000001,0.021908902300206645,14.6
toy9_heterogeneous_sensitivity_seeds01_05,0.5,all_disabled,0.35,1.2,0.25,0.18,output_average,output_similarity,0.0,0.0,5,0.6599999999999999,0.07314369419163895,0.4690471428571429,0.04457857038421043,0.6599999999999999,0.07314369419163895,100.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,all_disabled,0.35,1.2,0.25,0.18,output_average,output_similarity,0.25,0.0,5,0.6599999999999999,0.07314369419163895,0.4690471428571429,0.04457857038421043,0.6599999999999999,0.07314369419163895,100.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,all_disabled,0.35,1.2,0.45,0.18,output_average,output_similarity,0.0,0.0,5,0.364,0.07162401831787993,0.2530292857142857,0.02943666924387793,0.364,0.07162401831787993,100.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,all_disabled,0.35,1.2,0.45,0.18,output_average,output_similarity,0.25,0.0,5,0.364,0.07162401831787993,0.2530292857142857,0.02943666924387793,0.364,0.07162401831787993,100.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,all_disabled,0.55,1.2,0.25,0.18,output_average,output_similarity,0.0,0.0,5,0.094,0.01341640786499874,0.23976999999999998,0.00780621669777703,0.094,0.01341640786499874,100.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,all_disabled,0.55,1.2,0.25,0.18,output_average,output_similarity,0.25,0.0,5,0.094,0.01341640786499874,0.23976999999999998,0.00780621669777703,0.094,0.01341640786499874,100.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,all_disabled,0.55,1.2,0.45,0.18,output_average,output_similarity,0.0,0.0,5,0.022000000000000002,0.01643167672515498,0.27782642857142853,0.015415930171780896,0.022000000000000002,0.01643167672515498,100.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,all_disabled,0.55,1.2,0.45,0.18,output_average,output_similarity,0.25,0.0,5,0.022000000000000002,0.01643167672515498,0.27782642857142853,0.015415930171780896,0.022000000000000002,0.01643167672515498,100.0
toy9_heterogeneous_sensitivity_seeds01_05,0.5,all_enabled,0.35,1.2,0.25,0.18,output_average,output_similarity,0.0,0.0,5,0.6599999999999999,0.07314369419163895,0.4690471428571429,0.04457857038421043,0.6599999999999999,0.07314369419163895,1.0
