label,threshold_group_fraction,coordination_gate_mode,environment_threshold,benefit,action_cost,payoff_learning_rate,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,seed,epochs,run_dir,domain_final_action_rate,domain_final_mean_action_probability,domain_final_mean_payoff,domain_final_payoff_variance,domain_final_group_action_rate_gap,domain_final_coordination_enabled_action_rate,domain_final_coordination_disabled_action_rate,final_fragmentation_components
toy9_heterogeneous_sweep_smoke_seeds01_02,0.25,gated,0.45,1.2,0.35,0.18,output_average,output_similarity,0.0,0.0,1,5,experiments/runs/20260511_183952_061951_toy9_heterogeneous_sweep_smoke_seeds01_02_f0p25_gated_th0p45_b1p2_c0p35_lr0p18_output_average_output_similarity_a0_t0_seed01,0.32,0.33819014287981625,0.1766285714285714,0.022019324795918362,0.0,0.32,0.32,15
toy9_heterogeneous_sweep_smoke_seeds01_02,0.25,gated,0.45,1.2,0.35,0.18,output_average,output_similarity,0.0,0.0,2,5,experiments/runs/20260511_183952_082596_toy9_heterogeneous_sweep_smoke_seeds01_02_f0p25_gated_th0p45_b1p2_c0p35_lr0p18_output_average_output_similarity_a0_t0_seed02,0.3,0.3248273275481861,0.14632142857142857,0.02569891454081632,0.08000000000000002,0.24,0.32,18
toy9_heterogeneous_sweep_smoke_seeds01_02,0.25,gated,0.45,1.2,0.35,0.18,output_average,output_similarity,0.25,0.0,1,5,experiments/runs/20260511_183952_101243_toy9_heterogeneous_sweep_smoke_seeds01_02_f0p25_gated_th0p45_b1p2_c0p35_lr0p18_output_average_output_similarity_a0p25_t0_seed01,0.31,0.3336034567043771,0.1860857142857143,0.01955696153061224,0.03999999999999998,0.28,0.32,15
toy9_heterogeneous_sweep_smoke_seeds01_02,0.25,gated,0.45,1.2,0.35,0.18,output_average,output_similarity,0.25,0.0,2,5,experiments/runs/20260511_183952_121144_toy9_heterogeneous_sweep_smoke_seeds01_02_f0p25_gated_th0p45_b1p2_c0p35_lr0p18_output_average_output_similarity_a0p25_t0_seed02,0.3,0.33484255360911014,0.14632142857142857,0.02569891454081632,0.08000000000000002,0.24,0.32,18
toy9_heterogeneous_sweep_smoke_seeds01_02,0.75,gated,0.45,1.2,0.35,0.18,output_average,output_similarity,0.0,0.0,1,5,experiments/runs/20260511_183952_141031_toy9_heterogeneous_sweep_smoke_seeds01_02_f0p75_gated_th0p45_b1p2_c0p35_lr0p18_output_average_output_similarity_a0_t0_seed01,0.3,0.3329789438178218,0.17429285714285714,0.023358522908163266,0.026666666666666616,0.30666666666666664,0.28,1
toy9_heterogeneous_sweep_smoke_seeds01_02,0.75,gated,0.45,1.2,0.35,0.18,output_average,output_similarity,0.0,0.0,2,5,experiments/runs/20260511_183952_163223_toy9_heterogeneous_sweep_smoke_seeds01_02_f0p75_gated_th0p45_b1p2_c0p35_lr0p18_output_average_output_similarity_a0_t0_seed02,0.32,0.33140196913217596,0.17345714285714284,0.035188127244897956,0.0,0.32,0.32,1
toy9_heterogeneous_sweep_smoke_seeds01_02,0.75,gated,0.45,1.2,0.35,0.18,output_average,output_similarity,0.25,0.0,1,5,experiments/runs/20260511_183952_184091_toy9_heterogeneous_sweep_smoke_seeds01_02_f0p75_gated_th0p45_b1p2_c0p35_lr0p18_output_average_output_similarity_a0p25_t0_seed01,0.29,0.3289759712449156,0.18374999999999997,0.020755072704081633,0.013333333333333308,0.29333333333333333,0.28,1
toy9_heterogeneous_sweep_smoke_seeds01_02,0.75,gated,0.45,1.2,0.35,0.18,output_average,output_similarity,0.25,0.0,2,5,experiments/runs/20260511_183952_207462_toy9_heterogeneous_sweep_smoke_seeds01_02_f0p75_gated_th0p45_b1p2_c0p35_lr0p18_output_average_output_similarity_a0p25_t0_seed02,0.31,0.330582349024776,0.15833214285714287,0.02554012258928571,0.013333333333333364,0.30666666666666664,0.32,1
