label,recovery_rate,extraction_cost,dynamic_rewire_rate,initial_price_expectation_mean,initial_conservation_norm_mean,social_harvest_gain,conservation_harvest_weight,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,seed,epochs,run_dir,domain_final_resource_fraction,domain_final_resource_level,domain_final_market_price,domain_final_market_imbalance,domain_final_mean_harvest_intensity,domain_final_mean_price_expectation,domain_final_mean_conservation_norm,domain_final_mean_payoff,domain_cumulative_rewired_edge_count,final_fragmentation_components
toy10_market_social_calibration_seeds01_03,0.02,0.3,0.05,0.5,0.35,1.0,0.75,output_average,output_similarity,0.0,0.0,1,25,experiments/runs/20260511_191307_634161_toy10_market_social_calibration_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg1_cw0p75_output_average_output_similarity_a0_t0_seed01,0.31823467110269554,31.823467110269554,0.6911403604311833,0.30109682222157635,0.3623677972815805,0.6665818204643295,0.6219313979257057,-0.005329356049503522,132,1
toy10_market_social_calibration_seeds01_03,0.02,0.3,0.05,0.5,0.35,1.0,0.75,output_average,output_similarity,0.0,0.0,2,25,experiments/runs/20260511_191307_737502_toy10_market_social_calibration_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg1_cw0p75_output_average_output_similarity_a0_t0_seed02,0.31718776891152767,31.718776891152768,0.6909259803686101,0.30002462173195815,0.3636546780105237,0.6667017420032916,0.6229920358990902,-0.005875813570262003,136,1
toy10_market_social_calibration_seeds01_03,0.02,0.3,0.05,0.5,0.35,1.0,0.75,output_average,output_similarity,0.0,0.0,3,25,experiments/runs/20260511_191307_850614_toy10_market_social_calibration_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg1_cw0p75_output_average_output_similarity_a0_t0_seed03,0.318991022459425,31.8991022459425,0.6907943620669096,0.2995161522590733,0.36414514374949164,0.6666611542700375,0.6210179226413486,-0.005333097577273634,156,2
toy10_market_social_calibration_seeds01_03,0.02,0.3,0.05,0.5,0.35,1.0,0.75,output_average,output_similarity,0.25,0.0,1,25,experiments/runs/20260511_191307_959626_toy10_market_social_calibration_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg1_cw0p75_output_average_output_similarity_a0p25_t0_seed01,0.31807223393959666,31.807223393959667,0.6912019118023902,0.30124855702800707,0.36231053315354683,0.6666680080548326,0.6221423663392178,-0.005369980130640186,132,1
toy10_market_social_calibration_seeds01_03,0.02,0.3,0.05,0.5,0.35,1.0,0.75,output_average,output_similarity,0.25,0.0,2,25,experiments/runs/20260511_191308_102595_toy10_market_social_calibration_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg1_cw0p75_output_average_output_similarity_a0p25_t0_seed02,0.31711321342514365,31.711321342514367,0.6909382664845001,0.30007305126480066,0.36360696340839915,0.6667033218995521,0.6230861370054296,-0.005894133423320246,136,1
toy10_market_social_calibration_seeds01_03,0.02,0.3,0.05,0.5,0.35,1.0,0.75,output_average,output_similarity,0.25,0.0,3,25,experiments/runs/20260511_191308_247051_toy10_market_social_calibration_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg1_cw0p75_output_average_output_similarity_a0p25_t0_seed03,0.31883837986590363,31.88383798659036,0.6907250438121912,0.299101334751053,0.36469750574665855,0.6667546519200337,0.6212445715104935,-0.0054572293687151375,158,1
toy10_market_social_calibration_seeds01_03,0.02,0.3,0.05,0.5,0.35,1.0,0.75,output_average,output_similarity,0.5,0.0,1,25,experiments/runs/20260511_191308_390310_toy10_market_social_calibration_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg1_cw0p75_output_average_output_similarity_a0p5_t0_seed01,0.31812483994807,31.812483994807,0.6911831407300768,0.3012049936008387,0.36232257571862975,0.6666384856273697,0.6220850413643186,-0.005356039330420005,132,1
toy10_market_social_calibration_seeds01_03,0.02,0.3,0.05,0.5,0.35,1.0,0.75,output_average,output_similarity,0.5,0.0,2,25,experiments/runs/20260511_191308_532340_toy10_market_social_calibration_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg1_cw0p75_output_average_output_similarity_a0p5_t0_seed02,0.3171721259370743,31.717212593707426,0.69092214139386,0.30003105740065505,0.3636264507741298,0.6666817551436307,0.6230234522699309,-0.005878727010313265,136,1
toy10_market_social_calibration_seeds01_03,0.02,0.3,0.05,0.5,0.35,1.0,0.75,output_average,output_similarity,0.5,0.0,3,25,experiments/runs/20260511_191308_674380_toy10_market_social_calibration_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg1_cw0p75_output_average_output_similarity_a0p5_t0_seed03,0.31889537693889114,31.889537693889114,0.6907096218422568,0.29906226196697944,0.3647139634350685,0.6667329432264648,0.6211872615521731,-0.005441976650621497,158,1
toy10_market_social_calibration_seeds01_03,0.02,0.3,0.05,0.5,0.35,2.0,0.75,output_average,output_similarity,0.0,0.0,1,25,experiments/runs/20260511_191308_816807_toy10_market_social_calibration_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg2_cw0p75_output_average_output_similarity_a0_t0_seed01,0.31823467110269554,31.823467110269554,0.6911403604311833,0.30109682222157635,0.3623677972815805,0.6665818204643295,0.6219313979257057,-0.005329356049503522,132,1
toy10_market_social_calibration_seeds01_03,0.02,0.3,0.05,0.5,0.35,2.0,0.75,output_average,output_similarity,0.0,0.0,2,25,experiments/runs/20260511_191308_925284_toy10_market_social_calibration_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg2_cw0p75_output_average_output_similarity_a0_t0_seed02,0.31718776891152767,31.718776891152768,0.6909259803686101,0.30002462173195815,0.3636546780105237,0.6667017420032916,0.6229920358990902,-0.005875813570262003,136,1
toy10_market_social_calibration_seeds01_03,0.02,0.3,0.05,0.5,0.35,2.0,0.75,output_average,output_similarity,0.0,0.0,3,25,experiments/runs/20260511_191309_033738_toy10_market_social_calibration_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg2_cw0p75_output_average_output_similarity_a0_t0_seed03,0.318991022459425,31.8991022459425,0.6907943620669096,0.2995161522590733,0.36414514374949164,0.6666611542700375,0.6210179226413486,-0.005333097577273634,156,2
toy10_market_social_calibration_seeds01_03,0.02,0.3,0.05,0.5,0.35,2.0,0.75,output_average,output_similarity,0.25,0.0,1,25,experiments/runs/20260511_191309_152369_toy10_market_social_calibration_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg2_cw0p75_output_average_output_similarity_a0p25_t0_seed01,0.31814340066399943,31.814340066399943,0.6911820735007215,0.3011963558522386,0.3623355822984088,0.6666418618458867,0.622064471676221,-0.005351361651868926,132,1
toy10_market_social_calibration_seeds01_03,0.02,0.3,0.05,0.5,0.35,2.0,0.75,output_average,output_similarity,0.25,0.0,2,25,experiments/runs/20260511_191309_299505_toy10_market_social_calibration_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg2_cw0p75_output_average_output_similarity_a0p25_t0_seed02,0.3171287530809733,31.71287530809733,0.6909321724566075,0.3000595385172266,0.36360961279197695,0.666693204507261,0.6230720006768098,-0.005890099688784642,136,1
toy10_market_social_calibration_seeds01_03,0.02,0.3,0.05,0.5,0.35,2.0,0.75,output_average,output_similarity,0.25,0.0,3,25,experiments/runs/20260511_191309_443034_toy10_market_social_calibration_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg2_cw0p75_output_average_output_similarity_a0p25_t0_seed03,0.31886255635904204,31.886255635904206,0.6907160518700359,0.29907906208240576,0.3647060833153323,0.6667416006955861,0.6212180477543625,-0.0054512269726974495,158,1
toy10_market_social_calibration_seeds01_03,0.02,0.3,0.05,0.5,0.35,2.0,0.75,output_average,output_similarity,0.5,0.0,1,25,experiments/runs/20260511_191309_586467_toy10_market_social_calibration_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg2_cw0p75_output_average_output_similarity_a0p5_t0_seed01,0.31817391598406547,31.817391598406548,0.6911683194164381,0.3011659618044672,0.362341354056818,0.6666190366427983,0.6220275635224989,-0.005343472156001193,132,1
toy10_market_social_calibration_seeds01_03,0.02,0.3,0.05,0.5,0.35,2.0,0.75,output_average,output_similarity,0.5,0.0,2,25,experiments/runs/20260511_191309_730076_toy10_market_social_calibration_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg2_cw0p75_output_average_output_similarity_a0p5_t0_seed02,0.317220325341091,31.7220325341091,0.6909071520364802,0.299993591899925,0.3636414243460713,0.6666605641343267,0.6229698556991391,-0.005866186494699003,136,1
toy10_market_social_calibration_seeds01_03,0.02,0.3,0.05,0.5,0.35,2.0,0.75,output_average,output_similarity,0.5,0.0,3,25,experiments/runs/20260511_191309_873440_toy10_market_social_calibration_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg2_cw0p75_output_average_output_similarity_a0p5_t0_seed03,0.31896153858196763,31.89615385819676,0.6906879426220186,0.29900708130772957,0.36473760787261555,0.6667031894778586,0.6211116056631104,-0.005425139879986345,158,1
toy10_market_social_calibration_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,0.75,output_average,output_similarity,0.0,0.0,1,25,experiments/runs/20260511_191310_016395_toy10_market_social_calibration_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_cw0p75_output_average_output_similarity_a0_t0_seed01,0.6660194111934576,66.60194111934577,0.6496288793309593,0.15283880830001934,0.49283790072379835,0.6463352677360933,0.32017275276437934,0.10786725109727695,132,1
toy10_market_social_calibration_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,0.75,output_average,output_similarity,0.0,0.0,2,25,experiments/runs/20260511_191310_121975_toy10_market_social_calibration_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_cw0p75_output_average_output_similarity_a0_t0_seed02,0.6655105794304546,66.55105794304545,0.6493209119730063,0.15144380066525853,0.4943960465615078,0.6464035277173873,0.3207058616006073,0.10764331831041087,136,1
toy10_market_social_calibration_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,0.75,output_average,output_similarity,0.0,0.0,3,25,experiments/runs/20260511_191310_224939_toy10_market_social_calibration_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_cw0p75_output_average_output_similarity_a0_t0_seed03,0.6660778895564912,66.60778895564911,0.6492473980498763,0.15098734595194108,0.4950149002956231,0.646523260274265,0.3199210203486277,0.1079492473080593,158,1
toy10_market_social_calibration_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,0.75,output_average,output_similarity,0.25,0.0,1,25,experiments/runs/20260511_191310_327678_toy10_market_social_calibration_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_cw0p75_output_average_output_similarity_a0p25_t0_seed01,0.6659548038173067,66.59548038173067,0.6496702237314546,0.15292595186213015,0.49282899120155804,0.6464040616548471,0.3203034341936633,0.1078495869825149,132,1
