label,case,seed,mixer,peer_rule,init_mode,alpha,threshold,run_dir,final_mean_global_accuracy,final_mean_consensus,final_fragmentation_components
toy1_alpha_threshold_sweep_seed01,latent_average_state_similarity_same_init,1,latent_average,state_similarity,same_init,0.5,0.8,experiments/runs/20260429_150826_toy1_alpha_threshold_sweep_seed01_latent_average_state_similarity_same_init_a0p5_t0p8_seed01,0.8979719996452331,0.9659901147959183,1
toy1_alpha_threshold_sweep_seed01,latent_average_state_similarity_same_init,1,latent_average,state_similarity,same_init,0.5,0.95,experiments/runs/20260429_150836_toy1_alpha_threshold_sweep_seed01_latent_average_state_similarity_same_init_a0p5_t0p95_seed01,0.8979560005664825,0.9659964923469387,1
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_same_init,1,parameter_average,state_similarity,same_init,0.0,0.6,experiments/runs/20260429_150846_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_same_init_a0p0_t0p6_seed01,0.8965920042991639,0.9608641581632653,1
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_same_init,1,parameter_average,state_similarity,same_init,0.0,0.8,experiments/runs/20260429_150856_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_same_init_a0p0_t0p8_seed01,0.8965920042991639,0.9608641581632653,1
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_same_init,1,parameter_average,state_similarity,same_init,0.0,0.95,experiments/runs/20260429_150907_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_same_init_a0p0_t0p95_seed01,0.8965920042991639,0.9608641581632653,2
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_same_init,1,parameter_average,state_similarity,same_init,0.1,0.6,experiments/runs/20260429_150918_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_same_init_a0p1_t0p6_seed01,0.9000959980487824,0.9768447066326531,1
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_same_init,1,parameter_average,state_similarity,same_init,0.1,0.8,experiments/runs/20260429_150928_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_same_init_a0p1_t0p8_seed01,0.9000959980487824,0.9768447066326531,1
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_same_init,1,parameter_average,state_similarity,same_init,0.1,0.95,experiments/runs/20260429_150938_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_same_init_a0p1_t0p95_seed01,0.9000959980487824,0.9768447066326531,1
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_same_init,1,parameter_average,state_similarity,same_init,0.25,0.6,experiments/runs/20260429_150948_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_same_init_a0p25_t0p6_seed01,0.9021800005435944,0.9828077168367347,1
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_same_init,1,parameter_average,state_similarity,same_init,0.25,0.8,experiments/runs/20260429_150958_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_same_init_a0p25_t0p8_seed01,0.9021800005435944,0.9828077168367347,1
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_same_init,1,parameter_average,state_similarity,same_init,0.25,0.95,experiments/runs/20260429_151009_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_same_init_a0p25_t0p95_seed01,0.9021800005435944,0.9828077168367347,1
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_same_init,1,parameter_average,state_similarity,same_init,0.5,0.6,experiments/runs/20260429_151020_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_same_init_a0p5_t0p6_seed01,0.9032119977474212,0.9871014030612245,1
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_same_init,1,parameter_average,state_similarity,same_init,0.5,0.8,experiments/runs/20260429_151033_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_same_init_a0p5_t0p8_seed01,0.9032119977474212,0.9871014030612245,1
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_same_init,1,parameter_average,state_similarity,same_init,0.5,0.95,experiments/runs/20260429_151042_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_same_init_a0p5_t0p95_seed01,0.9032119977474212,0.9871014030612245,1
toy1_alpha_threshold_sweep_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.0,0.6,experiments/runs/20260429_151052_toy1_alpha_threshold_sweep_seed01_parameter_average_state_similarity_independent_init_a0p0_t0p6_seed01,0.891972005367279,0.9494339923469388,50
