toy,scenario,peer_rule,training_backend,resolved_training_backend,device,agent_count,epochs,seed,repeat_index,warmup_runs,repeats,run_id,epoch,policy_rule,coordination_mixer,stage,seconds
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_adam_update,0.04068549815565348
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_optimizer_update,0.04184196796268225
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_loss_update,0.04272496001794934
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_distillation,0.04326813016086817
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_step,0.04328483110293746
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,sample_actions,1.1620577424764633e-06
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,commit_actions,6.5320637077093124e-06
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,post_step_state_policy,3.7972116842865944e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,update_payoff_ema,2.8504058718681335e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,update_reputation_ema,1.726299524307251e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,mobility_swaps,2.8854934498667717e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,finalize_hook_step,1.0920921340584755e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,hooked_step_total,0.2550886950921267
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,aggregate_row,0.02171004400588572
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,write_aggregate,9.760493412613869e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,sample_revision_mask,1.6712117940187454e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,build_step_context,8.34604725241661e-06
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,build_observations,0.0002442828845232725
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,policy_readout,0.0005186730995774269
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,decision_selection,0.001336983172222972
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,local_trainable_parameters,0.0001796400174498558
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,local_loss_forward,0.0005141338333487511
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,local_autograd_grad,0.0017066129948943853
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,local_adam_update,0.015889888862147927
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,local_optimizer_update,0.018080038018524647
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,local_loss_update,0.018779221922159195
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,local_training,0.01898841792717576
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,cache_refresh,9.457813575863838e-06
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,post_local_readout,0.000385599909350276
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,local_step,0.021907608024775982
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,select_peers,5.4061878472566605e-05
