condition,update_rule,policy_prior_mode,learning_enabled,p0,revision_rate,epoch,seeds,cooperation_mean,policy_pre_mean,policy_post_social_mean,revised_local_loss_mean
fermi_imitation,fermi_imitation,default,False,0.1,0.1,0,3,0.09000000000000001,0.0899999986092249,0.0899999986092249,0.0
fermi_imitation,fermi_imitation,default,False,0.1,0.1,1,3,0.09333333333333334,0.0899999986092249,0.08948295811812078,0.0
fermi_imitation,fermi_imitation,default,False,0.1,0.1,5,3,0.10000000000000002,0.0999999990065892,0.09691527982552839,0.0
fermi_imitation,fermi_imitation,default,False,0.1,0.1,10,3,0.10000000000000002,0.0966666663686434,0.10012724995613098,0.0
fermi_imitation,fermi_imitation,default,False,0.1,0.1,25,3,0.06,0.06666666766007734,0.06371621166666343,0.0
fermi_imitation,fermi_imitation,default,False,0.1,0.1,50,3,0.056666666666666664,0.05666666726271304,0.05635628104209894,0.0
fermi_imitation,fermi_imitation,default,False,0.3,0.1,0,3,0.3133333333333333,0.31333333253860474,0.31333333253860474,0.0
fermi_imitation,fermi_imitation,default,False,0.3,0.1,1,3,0.3033333333333333,0.31333333253860474,0.3085953990618388,0.0
fermi_imitation,fermi_imitation,default,False,0.3,0.1,5,3,0.29333333333333333,0.29000000158945716,0.29151179393132526,0.0
fermi_imitation,fermi_imitation,default,False,0.3,0.1,10,3,0.26666666666666666,0.2733333309491475,0.27522931496302283,0.0
fermi_imitation,fermi_imitation,default,False,0.3,0.1,25,3,0.23333333333333336,0.2366666694482167,0.24209639430046082,0.0
fermi_imitation,fermi_imitation,default,False,0.3,0.1,50,3,0.20000000000000004,0.1966666728258132,0.1961496124664942,0.0
fermi_imitation,fermi_imitation,default,False,0.5,0.1,0,3,0.48333333333333334,0.48333332935969037,0.48333332935969037,0.0
fermi_imitation,fermi_imitation,default,False,0.5,0.1,1,3,0.48333333333333334,0.48333332935969037,0.4823788603146871,0.0
fermi_imitation,fermi_imitation,default,False,0.5,0.1,5,3,0.5066666666666667,0.4966666599114736,0.4993201394875844,0.0
fermi_imitation,fermi_imitation,default,False,0.5,0.1,10,3,0.48333333333333334,0.48333332935969037,0.48690133293469745,0.0
fermi_imitation,fermi_imitation,default,False,0.5,0.1,25,3,0.4533333333333333,0.4499999980131785,0.4527161717414856,0.0
fermi_imitation,fermi_imitation,default,False,0.5,0.1,50,3,0.35333333333333333,0.3566666642824809,0.3505809009075165,0.0
fermi_imitation,fermi_imitation,default,False,0.6,0.1,0,3,0.5866666666666666,0.5866666634877523,0.5866666634877523,0.0
fermi_imitation,fermi_imitation,default,False,0.6,0.1,1,3,0.5866666666666667,0.5866666634877523,0.5875812768936157,0.0
fermi_imitation,fermi_imitation,default,False,0.6,0.1,5,3,0.6033333333333334,0.5933333436648051,0.5967934727668762,0.0
fermi_imitation,fermi_imitation,default,False,0.6,0.1,10,3,0.5800000000000001,0.5766666730244955,0.5796104868253072,0.0
fermi_imitation,fermi_imitation,default,False,0.6,0.1,25,3,0.5666666666666668,0.5600000023841858,0.5661527315775553,0.0
fermi_imitation,fermi_imitation,default,False,0.6,0.1,50,3,0.47,0.48333332935969037,0.4753226041793823,0.0
fermi_imitation,fermi_imitation,default,False,0.7,0.1,0,3,0.71,0.7099999984105428,0.7099999984105428,0.0
fermi_imitation,fermi_imitation,default,False,0.7,0.1,1,3,0.7066666666666667,0.7099999984105428,0.7080904841423035,0.0
fermi_imitation,fermi_imitation,default,False,0.7,0.1,5,3,0.7233333333333333,0.7166666587193807,0.7209966580073038,0.0
fermi_imitation,fermi_imitation,default,False,0.7,0.1,10,3,0.6966666666666667,0.70333331823349,0.7016881108283997,0.0
fermi_imitation,fermi_imitation,default,False,0.7,0.1,25,3,0.6933333333333334,0.6966666579246521,0.6929239432017008,0.0
fermi_imitation,fermi_imitation,default,False,0.7,0.1,50,3,0.6366666666666666,0.6533333361148834,0.6456857721010844,0.0
fermi_imitation,fermi_imitation,default,False,0.9,0.1,0,3,0.9266666666666667,0.9266666769981384,0.9266666769981384,0.0
fermi_imitation,fermi_imitation,default,False,0.9,0.1,1,3,0.9233333333333333,0.9266666769981384,0.9283333420753479,0.0
fermi_imitation,fermi_imitation,default,False,0.9,0.1,5,3,0.93,0.9300000071525574,0.9283333420753479,0.0
fermi_imitation,fermi_imitation,default,False,0.9,0.1,10,3,0.93,0.9266666571299235,0.9282295902570089,0.0
fermi_imitation,fermi_imitation,default,False,0.9,0.1,25,3,0.9533333333333333,0.953333338101705,0.9499480525652567,0.0
fermi_imitation,fermi_imitation,default,False,0.9,0.1,50,3,0.9666666666666667,0.9666666785875956,0.9666666785875956,0.0
neural_default_learn,neural_policy,default,True,0.1,0.1,0,3,0.09000000000000001,0.5015561381975809,0.5015561381975809,0.0
neural_default_learn,neural_policy,default,True,0.1,0.1,1,3,0.11333333333333334,0.5015561381975809,0.5005371769269308,0.2777081604498676
neural_default_learn,neural_policy,default,True,0.1,0.1,5,3,0.26333333333333336,0.4990721046924591,0.4981473485628764,0.1629488775948207
neural_default_learn,neural_policy,default,True,0.1,0.1,10,3,0.35000000000000003,0.4959259629249573,0.49433574080467224,0.08818764177461459
neural_default_learn,neural_policy,default,True,0.1,0.1,25,3,0.4466666666666666,0.4741598169008891,0.47202396392822266,0.018788373636784567
neural_default_learn,neural_policy,default,True,0.1,0.1,50,3,0.52,0.44009408354759216,0.43911366661389667,-0.014905287819500635
neural_default_learn,neural_policy,default,True,0.3,0.1,0,3,0.3133333333333333,0.5009981393814087,0.5009981393814087,0.0
neural_default_learn,neural_policy,default,True,0.3,0.1,1,3,0.3233333333333333,0.5009981393814087,0.5004447897275289,0.3271252686710165
neural_default_learn,neural_policy,default,True,0.3,0.1,5,3,0.37666666666666665,0.5000698566436768,0.49937132000923157,0.2044295565578457
neural_default_learn,neural_policy,default,True,0.3,0.1,10,3,0.4366666666666667,0.4984576602776845,0.4974600076675415,0.13732889975712753
