label,recovery_rate,extraction_cost,dynamic_rewire_rate,initial_price_expectation_mean,initial_conservation_norm_mean,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,seeds,final_resource_fraction_mean,final_resource_fraction_std,final_market_price_mean,final_mean_harvest_intensity_mean,final_mean_payoff_mean,cumulative_rewired_edge_count_mean,final_fragmentation_components_mean
toy10_market_sensitivity_seeds01_05,0.02,0.45,0.1,0.5,0.5,output_average,output_similarity,0.25,0.0,5,0.32837537843766385,0.0011298803197439594,0.6898472354646304,0.3649427456099382,-0.02246215616184656,254.4,1.2
toy10_market_sensitivity_seeds01_05,0.1,0.25,0.0,0.5,0.2,output_average,output_similarity,0.0,0.0,5,0.664557668665505,0.00044506838128593014,0.6499687716803157,0.49126089614611634,0.1191957073963548,0.0,1.0
toy10_market_sensitivity_seeds01_05,0.1,0.25,0.0,0.5,0.2,output_average,output_similarity,0.25,0.0,5,0.6645713758955438,0.00043463747583109385,0.6499633692791347,0.49124340847917647,0.11919766221394343,0.0,1.0
toy10_market_sensitivity_seeds01_05,0.1,0.25,0.0,0.5,0.5,output_average,output_similarity,0.0,0.0,5,0.6657402396336397,0.0004452781767754138,0.6502900138109742,0.49362481448092427,0.12021221461291123,0.0,1.0
toy10_market_sensitivity_seeds01_05,0.1,0.25,0.0,0.5,0.5,output_average,output_similarity,0.25,0.0,5,0.6657517037134327,0.000434634946915455,0.6502854988822673,0.4936119552482941,0.1202141315438302,0.0,1.0
toy10_market_sensitivity_seeds01_05,0.1,0.25,0.05,0.5,0.2,output_average,output_similarity,0.0,0.0,5,0.6645330460477961,0.0004205369663489043,0.6497275277154985,0.49232609943754396,0.11926350497874214,133.2,1.0
toy10_market_sensitivity_seeds01_05,0.1,0.25,0.05,0.5,0.2,output_average,output_similarity,0.25,0.0,5,0.6644897898047354,0.00042976670410118615,0.6497492838921387,0.49229724865979596,0.11924615901146263,133.2,1.0
toy10_market_sensitivity_seeds01_05,0.1,0.25,0.05,0.5,0.5,output_average,output_similarity,0.0,0.0,5,0.6657157011406503,0.00041832173463450273,0.6500486539550061,0.494689497689092,0.12027985614122857,133.2,1.0
toy10_market_sensitivity_seeds01_05,0.1,0.25,0.05,0.5,0.5,output_average,output_similarity,0.25,0.0,5,0.6656675912970866,0.00043026891315477996,0.650072035658483,0.49466202317497354,0.12026090594220025,133.2,1.0
toy10_market_sensitivity_seeds01_05,0.1,0.25,0.1,0.5,0.2,output_average,output_similarity,0.0,0.0,5,0.6645319788596102,0.0003600924642044456,0.6501101100900849,0.49057344431991545,0.11911679058420344,253.0,1.4
toy10_market_sensitivity_seeds01_05,0.1,0.25,0.1,0.5,0.2,output_average,output_similarity,0.25,0.0,5,0.6645200970765416,0.00031287611703414335,0.6503633185678974,0.4897210337666773,0.11906400994531288,254.4,1.2
toy10_market_sensitivity_seeds01_05,0.1,0.25,0.1,0.5,0.5,output_average,output_similarity,0.0,0.0,5,0.66571508871707,0.0003593304551837456,0.6504312203860756,0.4929357043097949,0.12013321383900286,253.0,1.6
toy10_market_sensitivity_seeds01_05,0.1,0.25,0.1,0.5,0.5,output_average,output_similarity,0.25,0.0,5,0.6657038488335723,0.00031162449528448225,0.6506837170014637,0.49208256993634025,0.1200805274113222,254.4,1.4
toy10_market_sensitivity_seeds01_05,0.1,0.45,0.0,0.5,0.2,output_average,output_similarity,0.0,0.0,5,0.6676149308897282,0.00044240183469965215,0.6486869588975339,0.489451951887715,0.07192198651701912,0.0,1.0
toy10_market_sensitivity_seeds01_05,0.1,0.45,0.0,0.5,0.2,output_average,output_similarity,0.25,0.0,5,0.667633383460033,0.00043292846637726695,0.6486797489810672,0.4894219417400814,0.07192950617231234,0.0,1.0
toy10_market_sensitivity_seeds01_05,0.1,0.45,0.0,0.5,0.5,output_average,output_similarity,0.0,0.0,5,0.669093903581388,0.00044032479043512243,0.6488925444141428,0.49122110569286426,0.07260169118951146,0.0,1.0
toy10_market_sensitivity_seeds01_05,0.1,0.45,0.0,0.5,0.5,output_average,output_similarity,0.25,0.0,5,0.6691090344655002,0.00043070665187383724,0.6488865866493684,0.4911978421727725,0.07260776406624739,0.0,1.0
toy10_market_sensitivity_seeds01_05,0.1,0.45,0.05,0.5,0.2,output_average,output_similarity,0.0,0.0,5,0.6675778316176247,0.0004300758595264684,0.6484724642741517,0.490383173473439,0.07179089370746435,132.8,1.2
toy10_market_sensitivity_seeds01_05,0.1,0.45,0.05,0.5,0.2,output_average,output_similarity,0.25,0.0,5,0.6675744360447204,0.0004440753950838697,0.6484535942435946,0.4904877433995046,0.07177572732651843,133.2,1.0
toy10_market_sensitivity_seeds01_05,0.1,0.45,0.05,0.5,0.5,output_average,output_similarity,0.0,0.0,5,0.669056839929567,0.00042400371398403417,0.6486779583371634,0.4921516573152635,0.0724703503160123,132.8,1.2
toy10_market_sensitivity_seeds01_05,0.1,0.45,0.05,0.5,0.5,output_average,output_similarity,0.25,0.0,5,0.6690376102519369,0.0004401581126358128,0.6486664933903857,0.4922631307163738,0.0724499102123705,133.2,1.0
toy10_market_sensitivity_seeds01_05,0.1,0.45,0.1,0.5,0.2,output_average,output_similarity,0.0,0.0,5,0.6675882099616162,0.0003678453535138629,0.6488277650515692,0.4887614224301262,0.07196765676258286,253.0,1.4
toy10_market_sensitivity_seeds01_05,0.1,0.45,0.1,0.5,0.2,output_average,output_similarity,0.25,0.0,5,0.6676503138918232,0.00032184304013603234,0.6490458864976247,0.48791612228853243,0.07210164641100651,254.0,1.2
toy10_market_sensitivity_seeds01_05,0.1,0.45,0.1,0.5,0.5,output_average,output_similarity,0.0,0.0,5,0.6690676726784537,0.00036375570116607307,0.6490332045236129,0.49052882889546084,0.07264771021321736,253.0,1.6
toy10_market_sensitivity_seeds01_05,0.1,0.45,0.1,0.5,0.5,output_average,output_similarity,0.25,0.0,5,0.6690919697958857,0.00031887193263009986,0.6492688233272583,0.4896873565888229,0.07277028472345869,254.4,1.0
