toy,device,agent_count,stage,batched_seconds_per_epoch,tensor_batched_seconds_per_epoch,speedup,tensor_minus_batched_seconds_per_epoch,tensor_share_of_steady_state_pct,tensor_share_of_hooked_step_pct
toy4,cpu,1024,build_observations,0.012563423300161957,0.012259721371810884,1.0247723352872753,-0.00030370192835107307,20.04524208036241,20.10691293353281
toy4,cpu,1024,build_step_context,4.986743830765288e-05,4.796849486107628e-05,1.0395873052109768,-1.898943446576594e-06,0.07763496788989953,0.07788389764911956
toy4,cpu,1024,cache_refresh,3.836207324638963e-05,8.30613619958361e-06,4.618522057020054,-3.0055937046806017e-05,0.013654264926083695,0.01369486554320159
toy4,cpu,1024,commit_actions,2.7366397747149068e-05,1.530666680385669e-05,1.7878744012546082,-1.2059730943292378e-05,0.025021955259304157,0.02509733086707795
toy4,cpu,1024,decision_selection,0.007544403496043136,0.007341061062955608,1.0276993245722519,-0.0002033424330875281,12.02927773869793,12.066223886742954
toy4,cpu,1024,finalize_hook_step,4.140726135422786e-05,2.4577773486574492e-05,1.6847442009686684,-1.682948786765337e-05,0.04027656096607448,0.0403983872547286
toy4,cpu,1024,hooked_step_total,0.3176015295088291,0.06094613732226814,5.211183898815942,-0.25665539218656097,99.6940725448979,100.0
toy4,cpu,1024,local_adam_update,0.06017464541752512,0.009852199147765835,6.1077374213625,-0.050322446269759284,16.22467076376643,16.273284966709088
toy4,cpu,1024,local_autograd_grad,0.004543260349115977,0.004263356126224002,1.0656534933054918,-0.00027990422289197493,6.965280963445072,6.986693084689211
toy4,cpu,1024,local_loss_forward,0.003974717568295697,0.0031984829227440057,1.2426883820551253,-0.0007762346455516913,5.187620099444587,5.203949165542745
toy4,cpu,1024,local_loss_update,0.11532996802125127,0.018282292271032927,6.3082881682175005,-0.09704767575021835,29.96014380671939,30.051374431417305
toy4,cpu,1024,local_optimizer_update,0.06633646793585891,0.015034881439836075,4.4121710038960025,-0.05130158649602284,24.693457649660004,24.768106731593864
toy4,cpu,1024,local_step,0.1505588434403762,0.047351564707544945,3.179595951480487,-0.10320727873283125,77.43183777202573,77.6700726748601
toy4,cpu,1024,local_trainable_parameters,0.0023811432726991676,0.0023785424535162744,1.0010934508144045,-2.600819182893132e-06,3.8346012107466603,3.8470583051036598
toy4,cpu,1024,local_training,0.11784995283233002,0.021002001874148846,5.611367599075893,-0.09684795095818118,34.34241806551364,34.44790292357723
toy4,cpu,1024,mobility_swaps,0.00013363922480493783,7.315943172822395e-05,1.8266848395075979,-6.047979307671388e-05,0.12075793661205247,0.12111418129245566
toy4,cpu,1024,policy_readout,0.005271049534591535,0.004598160910730561,1.1463386421059512,-0.0006728886238609741,7.498926640951638,7.522316937132691
