label,game_family,update_rule,mixer,peer_rule,policy_prior_mode,local_update_rule,neural_peer_mode,interaction_mode,revision_rate,selection_strength,policy_temperature,payoff_transform,learning_enabled,epoch,p0_count,cooperation_slope,policy_cooperation_slope
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,28,5,1.0360000000000011,1.0948320746421818
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,29,5,1.048000000000001,1.0466223478317271
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,30,5,1.1960000000000015,1.159662854671479
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,31,5,1.1720000000000006,1.150069272518159
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,32,5,1.156000000000001,1.1781850695610057
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,33,5,1.088000000000001,1.140896725654603
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,34,5,1.0880000000000012,1.106615066528321
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,35,5,1.072,1.083258557319642
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,36,5,1.0760000000000012,1.073824584484101
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,37,5,1.0400000000000011,1.0725091934204107
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,38,5,1.0640000000000014,1.0654767632484445
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,39,5,1.0320000000000007,1.0457576632499699
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,40,5,1.0600000000000012,1.0516327023506182
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,41,5,1.0880000000000014,1.0910939693450936
