label,recovery_rate,extraction_cost,dynamic_rewire_rate,initial_price_expectation_mean,initial_conservation_norm_mean,social_harvest_gain,social_disagreement_penalty,conservation_harvest_weight,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,seed,epochs,run_dir,domain_final_resource_fraction,domain_final_resource_level,domain_final_market_price,domain_final_market_imbalance,domain_final_mean_harvest_intensity,domain_final_mean_price_expectation,domain_final_mean_conservation_norm,domain_final_mean_payoff,domain_cumulative_rewired_edge_count,final_fragmentation_components
toy10_market_social_calibration_v2_seeds01_03,0.02,0.3,0.05,0.5,0.35,1.0,1.5,0.75,output_average,output_similarity,0.0,0.0,2,25,experiments/runs/20260511_191637_095192_toy10_market_social_calibration_v2_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg1_sp1p5_cw0p75_output_average_output_similarity_a0_t0_seed02,0.31718776891152767,31.718776891152768,0.6909259803686101,0.30002462173195815,0.3636546780105237,0.6667017420032916,0.6229920358990902,-0.005875813570262003,136,1
toy10_market_social_calibration_v2_seeds01_03,0.02,0.3,0.05,0.5,0.35,1.0,1.5,0.75,output_average,output_similarity,0.0,0.0,3,25,experiments/runs/20260511_191637_201841_toy10_market_social_calibration_v2_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg1_sp1p5_cw0p75_output_average_output_similarity_a0_t0_seed03,0.318991022459425,31.8991022459425,0.6907943620669096,0.2995161522590733,0.36414514374949164,0.6666611542700375,0.6210179226413486,-0.005333097577273634,156,2
toy10_market_social_calibration_v2_seeds01_03,0.02,0.3,0.05,0.5,0.35,1.0,1.5,0.75,output_average,output_similarity,0.25,0.0,1,25,experiments/runs/20260511_191637_308086_toy10_market_social_calibration_v2_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg1_sp1p5_cw0p75_output_average_output_similarity_a0p25_t0_seed01,0.3189055651891231,31.89055651891231,0.6910140110896208,0.300627297097289,0.3628014501639047,0.6665163478478869,0.6210093814032832,-0.005166973554116673,132,1
toy10_market_social_calibration_v2_seeds01_03,0.02,0.3,0.05,0.5,0.35,1.0,1.5,0.75,output_average,output_similarity,0.25,0.0,2,25,experiments/runs/20260511_191637_456748_toy10_market_social_calibration_v2_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg1_sp1p5_cw0p75_output_average_output_similarity_a0p25_t0_seed02,0.31797176848188874,31.797176848188876,0.6907443705865028,0.29943394609976376,0.36410959014648364,0.6665450202127539,0.6219157607879068,-0.005684464902641152,136,1
toy10_market_social_calibration_v2_seeds01_03,0.02,0.3,0.05,0.5,0.35,1.0,1.5,0.75,output_average,output_similarity,0.25,0.0,3,25,experiments/runs/20260511_191637_605464_toy10_market_social_calibration_v2_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg1_sp1p5_cw0p75_output_average_output_similarity_a0p25_t0_seed03,0.31972758283697617,31.972758283697615,0.6905238038746887,0.29843781698521676,0.3652195815283209,0.6665905699417984,0.6200287489139932,-0.005239155348943961,158,1
toy10_market_social_calibration_v2_seeds01_03,0.02,0.3,0.05,0.5,0.35,1.0,1.5,0.75,output_average,output_similarity,0.5,0.0,1,25,experiments/runs/20260511_191637_748564_toy10_market_social_calibration_v2_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg1_sp1p5_cw0p75_output_average_output_similarity_a0p5_t0_seed01,0.3191898918466208,31.918989184662077,0.6909405779979132,0.30042355583915603,0.362915200313341,0.6664266941383008,0.6206306096910349,-0.005093319973126795,132,1
toy10_market_social_calibration_v2_seeds01_03,0.02,0.3,0.05,0.5,0.35,1.0,1.5,0.75,output_average,output_similarity,0.5,0.0,2,25,experiments/runs/20260511_191637_889675_toy10_market_social_calibration_v2_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg1_sp1p5_cw0p75_output_average_output_similarity_a0p5_t0_seed02,0.3182911209527557,31.82911209527557,0.690669618759812,0.29921561021577064,0.36424725460770674,0.6664624124829055,0.6214956261915876,-0.005601821253085019,136,1
toy10_market_social_calibration_v2_seeds01_03,0.02,0.3,0.05,0.5,0.35,1.0,1.5,0.75,output_average,output_similarity,0.5,0.0,3,25,experiments/runs/20260511_191638_033157_toy10_market_social_calibration_v2_seeds01_03_r0p02_c0p3_rw0p05_p0p5_n0p35_sg1_sp1p5_cw0p75_output_average_output_similarity_a0p5_t0_seed03,0.3200707493102375,32.00707493102375,0.6904418464740144,0.29819735044808604,0.3653726849998856,0.6665009264371052,0.6195777562364779,-0.005150595581636518,158,1
toy10_market_social_calibration_v2_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,0.0,0.75,output_average,output_similarity,0.0,0.0,1,25,experiments/runs/20260511_191638_177758_toy10_market_social_calibration_v2_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_sp0_cw0p75_output_average_output_similarity_a0_t0_seed01,0.6660194111934576,66.60194111934577,0.6496288793309593,0.15283880830001934,0.49283790072379835,0.6463352677360933,0.32017275276437934,0.10786725109727695,132,1
toy10_market_social_calibration_v2_seeds01_03,0.1,0.3,0.05,0.5,0.35,1.0,0.0,0.75,output_average,output_similarity,0.0,0.0,2,25,experiments/runs/20260511_191638_285113_toy10_market_social_calibration_v2_seeds01_03_r0p1_c0p3_rw0p05_p0p5_n0p35_sg1_sp0_cw0p75_output_average_output_similarity_a0_t0_seed02,0.6655105794304546,66.55105794304545,0.6493209119730063,0.15144380066525853,0.4943960465615078,0.6464035277173873,0.3207058616006073,0.10764331831041087,136,1
