label,game_family,update_rule,mixer,peer_rule,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,neural_peer_mode,interaction_mode,revision_rate,selection_strength,policy_temperature,payoff_transform,learning_enabled,epoch,seeds,cooperation_mean,cooperation_std,policy_cooperation_mean,policy_cooperation_std,payoff_mean,payoff_std,local_loss_mean,revised_local_loss_mean,social_loss_mean,realized_revision_rate_mean
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,18,5,0.46799999999999997,0.07155417527999326,0.4647263169288635,0.06814998683967412,2.456,0.14926486525636254,0.0,0.0,0.0,0.242
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,19,5,0.466,0.06024948132556829,0.4659212827682495,0.06385167651228689,2.449,0.14135062787267696,0.0,0.0,0.0,0.258
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,20,5,0.47400000000000003,0.0654217089351845,0.46038433313369753,0.06147468892289372,2.4560000000000004,0.15347638254793464,0.0,0.0,0.0,0.254
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,21,5,0.462,0.07429670248402682,0.46547213196754456,0.07212096709814564,2.42,0.1841195263952199,0.0,0.0,0.0,0.262
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,22,5,0.45999999999999996,0.0758287544405155,0.45781936049461364,0.07172574272344329,2.428,0.2122675198894075,0.0,0.0,0.0,0.254
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,23,5,0.458,0.0807465169527454,0.4520165383815765,0.07576351240175629,2.445,0.2254717277176897,0.0,0.0,0.0,0.284
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,24,5,0.46799999999999997,0.09311283477587823,0.45888787508010864,0.09007566249203054,2.468,0.23766047210253535,0.0,0.0,0.0,0.248
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,25,5,0.472,0.08871302046486751,0.47377955317497256,0.08391172068546116,2.467,0.22052777602832704,0.0,0.0,0.0,0.238
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,26,5,0.472,0.0834865258589672,0.46959331035614016,0.0910675956120893,2.461,0.20680304639922487,0.0,0.0,0.0,0.25
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,27,5,0.46799999999999997,0.07328028384224504,0.4620301127433777,0.08553994269825586,2.4560000000000004,0.18122499827562422,0.0,0.0,0.0,0.256
