case,mixer,peer_rule,init_mode,alpha,threshold,seeds,accuracy_mean,accuracy_std,consensus_mean,consensus_std,fragmentation_mean,fragmentation_std
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.0,-0.2,5,0.8877944021224975,0.003293517173589868,0.9475966198979592,0.005356506321702704,1.0,0.0
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.0,0.0,5,0.8877944021224975,0.003293517173589868,0.9475966198979592,0.005356506321702704,2.0,1.224744871391589
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.0,0.2,5,0.8877944021224975,0.003293517173589868,0.9475966198979592,0.005356506321702704,31.2,1.30384048104053
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.0,0.4,5,0.8877944021224975,0.003293517173589868,0.9475966198979592,0.005356506321702704,49.0,0.7071067811865476
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.0,0.6,5,0.8877944021224975,0.003293517173589868,0.9475966198979592,0.005356506321702704,50.0,0.0
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.1,-0.2,5,0.8914208018779755,0.00268670533307641,0.9639161352040816,0.0020860193382705753,1.0,0.0
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.1,0.0,5,0.8912296006679534,0.0030271410652048542,0.9623022959183674,0.0034701376078302487,1.0,0.0
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.1,0.2,5,0.8897808003425599,0.002965061760332795,0.9558616071428571,0.006355423647383641,26.8,2.7748873851023212
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.1,0.4,5,0.8878472023010253,0.0031184034048441036,0.9479719387755102,0.004206820568345587,48.4,1.949358868961793
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.1,0.6,5,0.8877944021224975,0.003293517173589868,0.9475966198979592,0.005356506321702704,50.0,0.0
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.25,-0.2,5,0.8926087977886199,0.003513859133668325,0.9766262755102041,0.004681341156291543,1.0,0.0
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.25,0.0,5,0.8923112013339998,0.003411185988132574,0.9742876275510204,0.004748454184557378,1.0,0.0
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.25,0.2,5,0.8902816007137299,0.003334853371581911,0.9582598852040816,0.007868094262847824,26.0,2.5495097567963922
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.25,0.4,5,0.8878768026828766,0.0031237132824451083,0.9485723852040817,0.0036014610680114786,48.4,1.949358868961793
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.25,0.6,5,0.8877944021224975,0.003293517173589868,0.9475966198979592,0.005356506321702704,50.0,0.0
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.5,-0.2,5,0.8934448006153106,0.003029085710271751,0.9847576530612244,0.004706768757365084,1.0,0.0
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.5,0.0,5,0.892795199394226,0.0026653685410800033,0.9841336096938775,0.004099929841179958,1.0,0.0
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.5,0.2,5,0.8905544021129609,0.003142682682973137,0.960375318877551,0.006702643192547842,26.6,3.209361307176242
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.5,0.4,5,0.8879280021190643,0.0031104840968712386,0.9485433673469388,0.0036309401950984912,48.4,1.949358868961793
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.5,0.6,5,0.8877944021224975,0.003293517173589868,0.9475966198979592,0.005356506321702704,50.0,0.0
