condition,update_rule,policy_prior_mode,local_update_rule,learning_enabled,p0,revision_rate,epoch,seeds,cooperation_mean,policy_post_social_mean,local_loss_mean,revised_local_loss_mean
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.1,0.1,5,3,0.08666666666666667,0.0700175787011782,0.032666961479311134,0.0384623003842314
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.1,0.1,10,3,0.08,0.0409151973823706,0.019351530858936334,0.020045273100035302
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.1,0.1,25,3,0.03666666666666667,0.004063387789453,0.0018999100963021664,0.0015759176851346333
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.1,0.1,50,3,0.01,0.0003945293622867,0.00017657311746003334,0.00013029953729173333
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.3,0.1,0,3,0.3133333333333333,0.3000000119209289,0.0,0.0
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.3,0.1,1,3,0.31,0.28876765569051105,0.10230730943381779,0.10196768732426997
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.3,0.1,5,3,0.30333333333333334,0.23695303996404013,0.07784009521206213,0.0722926095208417
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.3,0.1,10,3,0.29,0.16702063381671897,0.0515493758798887,0.04372514329963557
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.3,0.1,25,3,0.13,0.0500686367352803,0.020060013858649934,0.023296332479044737
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.3,0.1,50,3,0.02666666666666667,0.0110226329416036,0.0055511070624834,0.0013918415467205666
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.5,0.1,0,3,0.48333333333333334,0.5,0.0,0.0
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.5,0.1,1,3,0.49333333333333335,0.493538498878479,0.12390006014456346,0.12880985245302123
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.5,0.1,5,3,0.48666666666666664,0.45802144209543866,0.09816020755718151,0.0966913700801209
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.5,0.1,10,3,0.48333333333333334,0.3973969717820485,0.07228796450265987,0.07225214466076303
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.5,0.1,25,3,0.27666666666666667,0.2169381082057952,0.0778571934966991,0.05324746773293793
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.5,0.1,50,3,0.14333333333333334,0.07510010773936904,0.028763372972183135,0.039538742238798066
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.6,0.1,0,3,0.5866666666666666,0.6000000238418579,0.0,0.0
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.6,0.1,1,3,0.59,0.5983091791470846,0.12385336115956302,0.12692958271348628
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.6,0.1,5,3,0.5866666666666667,0.5804826815923055,0.10231399567487337,0.1038257506413337
