label,recovery_rate,extraction_cost,coordination_mixer,coordination_peer_rule,alpha,seeds,final_resource_fraction_mean,final_resource_fraction_std,final_mean_intensity_mean,final_mean_intensity_std,final_mean_payoff_mean,final_mean_payoff_std,final_fragmentation_components_mean
toy7_resource_sweep_seeds01_05,0.02,0.25,none,none,0.0,5,0.06778012631129751,0.0004561585242676589,0.1763131388504166,0.0018381214082982048,0.0032534160598813077,8.461079447355212e-05,100.0
toy7_resource_sweep_seeds01_05,0.02,0.25,output_average,output_similarity,0.0,5,0.06778012631129751,0.0004561585242676589,0.1763131388504166,0.0018381214082982048,0.0032534160598813077,8.461079447355212e-05,1.0
toy7_resource_sweep_seeds01_05,0.02,0.25,output_average,output_similarity,0.25,5,0.06777961210196608,0.00046072847430446586,0.17631601936784697,0.0018402938648134559,0.003253230447163749,8.579515607916043e-05,1.0
toy7_resource_sweep_seeds01_05,0.02,0.25,output_average,output_similarity,0.5,5,0.06777922499298013,0.0004633819975753958,0.17631665463442953,0.0018408613272369782,0.0032531488434889753,8.632295165512675e-05,1.0
toy7_resource_sweep_seeds01_05,0.02,0.35,none,none,0.0,5,0.11861920042371192,0.00037620914508898414,0.22031016371154677,0.0017765100752300815,0.008992068032684996,9.31678771349126e-05,100.0
toy7_resource_sweep_seeds01_05,0.02,0.35,output_average,output_similarity,0.0,5,0.11861920042371192,0.00037620914508898414,0.22031016371154677,0.0017765100752300815,0.008992068032684996,9.31678771349126e-05,1.0
toy7_resource_sweep_seeds01_05,0.02,0.35,output_average,output_similarity,0.25,5,0.11861990079023403,0.0003735459012171733,0.22031364736813258,0.001781583303235349,0.008992077188656114,9.315319699224383e-05,1.0
toy7_resource_sweep_seeds01_05,0.02,0.35,output_average,output_similarity,0.5,5,0.11861985437540737,0.0003745263363321362,0.22031447047300728,0.0017825234293035,0.008992044999894694,9.345051304089024e-05,1.0
toy7_resource_sweep_seeds01_05,0.02,0.5,none,none,0.0,5,0.2061468808891286,0.0003185053038451414,0.2566025423606435,0.0017053162148480757,0.020975301413694965,9.983518043091753e-05,100.0
toy7_resource_sweep_seeds01_05,0.02,0.5,output_average,output_similarity,0.0,5,0.2061468808891286,0.0003185053038451414,0.2566025423606435,0.0017053162148480757,0.020975301413694965,9.983518043091753e-05,1.0
toy7_resource_sweep_seeds01_05,0.02,0.5,output_average,output_similarity,0.25,5,0.20614922872105393,0.000307270437448578,0.25660649430310356,0.0017131102467484612,0.02097569811568029,9.754812241055558e-05,1.0
toy7_resource_sweep_seeds01_05,0.02,0.5,output_average,output_similarity,0.5,5,0.20614967447981175,0.0003066711055785294,0.25660758018190966,0.0017145786817219105,0.020975778301480723,9.742935529107906e-05,1.0
toy7_resource_sweep_seeds01_05,0.05,0.25,none,none,0.0,5,0.21174741917408588,0.0004176515708007391,0.4513532498007982,0.0017972018292229785,0.04296414127171572,0.00020732915796590234,100.0
toy7_resource_sweep_seeds01_05,0.05,0.25,output_average,output_similarity,0.0,5,0.21174741917408588,0.0004176515708007391,0.4513532498007982,0.0017972018292229785,0.04296414127171572,0.00020732915796590234,1.0
toy7_resource_sweep_seeds01_05,0.05,0.25,output_average,output_similarity,0.25,5,0.2117469406035176,0.000421657195157824,0.45135574346380425,0.0017991908256100298,0.04296390546373974,0.00020899326343211465,1.0
toy7_resource_sweep_seeds01_05,0.05,0.25,output_average,output_similarity,0.5,5,0.21174664890901673,0.0004235851020865514,0.4513563728944979,0.001799642876563335,0.04296377441580313,0.0002098427439056417,1.0
toy7_resource_sweep_seeds01_05,0.05,0.35,none,none,0.0,5,0.2848919069535478,0.0003782989211680125,0.43296907229289233,0.0017980218006553703,0.057075589482321096,0.00018401855168500197,100.0
toy7_resource_sweep_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,5,0.2848919069535478,0.0003782989211680125,0.43296907229289233,0.0017980218006553703,0.057075589482321096,0.00018401855168500197,1.0
toy7_resource_sweep_seeds01_05,0.05,0.35,output_average,output_similarity,0.25,5,0.284892075947906,0.0003785045850788492,0.43297116533554547,0.001800210992117262,0.05707561942106206,0.0001840882045957136,1.0
toy7_resource_sweep_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,5,0.2848919321408412,0.00037972649589045656,0.4329715479426454,0.0018005203183192465,0.057075554487570276,0.00018461704798256972,1.0
toy7_resource_sweep_seeds01_05,0.05,0.5,none,none,0.0,5,0.37947450507895125,0.00033064881389501433,0.40499778528199065,0.0017342943638665308,0.07204232959605969,0.00015598078239310796,100.0
toy7_resource_sweep_seeds01_05,0.05,0.5,output_average,output_similarity,0.0,5,0.37947450507895125,0.00033064881389501433,0.40499778528199065,0.0017342943638665308,0.07204232959605969,0.00015598078239310796,1.0
toy7_resource_sweep_seeds01_05,0.05,0.5,output_average,output_similarity,0.25,5,0.37947562136534174,0.00032514568842914837,0.4050002464323114,0.0017380914462939523,0.07204271208798094,0.0001539453006810231,1.0
toy7_resource_sweep_seeds01_05,0.05,0.5,output_average,output_similarity,0.5,5,0.3794757238458667,0.00032526591262606915,0.4050008302668666,0.001738557612973327,0.07204275378169281,0.00015399147429131257,1.0
toy7_resource_sweep_seeds01_05,0.1,0.25,none,none,0.0,5,0.37207862331049213,0.0003471473241421139,0.7699675868033438,0.0017668290605068263,0.13714491401538037,0.0003026690581570384,100.0
toy7_resource_sweep_seeds01_05,0.1,0.25,output_average,output_similarity,0.0,5,0.37207862331049213,0.0003471473241421139,0.7699675868033438,0.0017668290605068263,0.13714491401538037,0.0003026690581570384,1.0
toy7_resource_sweep_seeds01_05,0.1,0.25,output_average,output_similarity,0.25,5,0.37207834748796664,0.0003491827108005051,0.7699700069860065,0.001769028599003238,0.1371447516015902,0.0003038394202934359,1.0
toy7_resource_sweep_seeds01_05,0.1,0.25,output_average,output_similarity,0.5,5,0.37207821507588246,0.0003500072344026823,0.7699705545626423,0.0017692848552971975,0.13714466284575103,0.0003044123042843667,1.0
toy7_resource_sweep_seeds01_05,0.1,0.35,none,none,0.0,5,0.4582825333788095,0.0003463417656062911,0.6651338153214784,0.0017938699044657874,0.1491153384899348,0.00027046195478640104,100.0
toy7_resource_sweep_seeds01_05,0.1,0.35,output_average,output_similarity,0.0,5,0.4582825333788095,0.0003463417656062911,0.6651338153214784,0.0017938699044657874,0.1491153384899348,0.00027046195478640104,1.0
toy7_resource_sweep_seeds01_05,0.1,0.35,output_average,output_similarity,0.25,5,0.4582824461624904,0.00034756790098812977,0.6651348564316362,0.001794622554639444,0.14911524718209596,0.0002711757502458541,1.0
toy7_resource_sweep_seeds01_05,0.1,0.35,output_average,output_similarity,0.5,5,0.4582823152408226,0.00034842028474691073,0.6651350020254618,0.0017947060008033505,0.1491151537942982,0.0002717771966229635,1.0
toy7_resource_sweep_seeds01_05,0.1,0.5,none,none,0.0,5,0.5516225907120484,0.0003281060574819387,0.5608676894241611,0.0017512529875531304,0.15190273211903504,0.000222149861075154,100.0
toy7_resource_sweep_seeds01_05,0.1,0.5,output_average,output_similarity,0.0,5,0.5516225907120484,0.0003281060574819387,0.5608676894241611,0.0017512529875531304,0.15190273211903504,0.000222149861075154,1.0
toy7_resource_sweep_seeds01_05,0.1,0.5,output_average,output_similarity,0.25,5,0.5516228877013833,0.00032700672601188637,0.5608688757839233,0.001752591097222746,0.1519028506274752,0.00022152143632774316,1.0
