device,agent_count,input_dim,hidden_dim,output_dim,repeats,loop_seconds,batched_cached_seconds,batched_policy_cache_seconds,batched_cache_refresh_seconds,batched_restack_seconds,cached_speedup,policy_cache_speedup,cache_refresh_speedup,restack_speedup
cuda,100,6,16,2,200,1.7154778250260279,0.033136201091110706,0.031853993074037135,0.23130767792463303,0.2386276259785518,51.770503815726514,53.85440440822606,7.416432694400148,7.188932203433216
cuda,256,6,16,2,200,5.075647020014003,0.030888217967003584,0.02987335796933621,0.6384034568909556,0.5842954330146313,164.32307702037312,169.90547313843823,7.950531854467957,8.686781948348559
cuda,512,6,16,2,200,10.669391400995664,0.0312991599785164,0.03178240801207721,1.0763855470577255,1.081437412998639,340.88427319835694,335.70116515215994,9.912239559663536,9.865935164395031
