regime,game_family,update_rule,mixer,peer_rule,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,neural_peer_mode,interaction_mode,revision_rate,alpha,selection_strength,policy_temperature,payoff_transform,learning_enabled,seeds,cooperation_mean,cooperation_std,payoff_mean,payoff_std,policy_cooperation_mean,cluster_fraction_mean,fragmentation_mean
stag_hunt,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.442,0.12316655390161728,2.4579999999999997,0.24229630620378848,0.4456296294927597,0.418,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,0.0,1.0,1.0,linear,True,5,0.142,0.06760177512462229,1.9095,0.03981990708175996,0.14222845137119294,0.030000000000000006,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.6,default,,sampled_policy_gradient,spatial,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.46399999999999997,0.08532291603080616,2.481,0.20135168238681295,0.4687555909156799,0.44399999999999995,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.6,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,0.0,1.0,1.0,linear,True,5,0.192,0.12833549781724463,1.943,0.06250999920012795,0.19904515743255616,0.046,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.65,default,,sampled_policy_gradient,spatial,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.502,0.1136661779070626,2.5509999999999997,0.2822986007758452,0.5028954327106476,0.4880000000000001,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.65,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,0.0,1.0,1.0,linear,True,5,0.45,0.3257299494980466,2.384,0.5457666625949226,0.4500593453645706,0.346,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.7,default,,sampled_policy_gradient,spatial,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.632,0.10281050529979904,2.868,0.25958139378622647,0.634958666563034,0.632,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.7,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,0.0,1.0,1.0,linear,True,5,0.548,0.35660902961086105,2.657,0.7783905671319508,0.5500572174787521,0.49800000000000005,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.75,default,,sampled_policy_gradient,spatial,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.708,0.1259761882261882,3.068,0.346853715563204,0.7062718033790588,0.708,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.75,default,,sampled_policy_gradient,spatial,well_mixed_resampled,0.25,0.0,1.0,1.0,linear,True,5,0.704,0.285184151032276,2.9724999999999997,0.7809349364703823,0.7026968151330948,0.658,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.012,0.013038404810405298,1.988,0.013038404810405326,0.009547212533652783,0.006,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,well_mixed_resampled,0.25,0.0,1.0,1.0,linear,True,5,0.013999999999999999,0.01140175425099138,1.986,0.0100933146190932,0.00948869539424777,0.008,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.6,match_p0,0.6,counterfactual_advantage,well_mixed,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.054000000000000006,0.0433589667773576,1.952,0.03751666296460812,0.023254288360476494,0.014000000000000002,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.6,match_p0,0.6,counterfactual_advantage,well_mixed,well_mixed_resampled,0.25,0.0,1.0,1.0,linear,True,5,0.048,0.04604345773288535,1.966,0.017818529681205425,0.023449000902473927,0.012,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.65,match_p0,0.65,counterfactual_advantage,well_mixed,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.146,0.09289779329994872,1.9259999999999997,0.026786190471957794,0.10561886429786682,0.026000000000000002,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.65,match_p0,0.65,counterfactual_advantage,well_mixed,well_mixed_resampled,0.25,0.0,1.0,1.0,linear,True,5,0.148,0.08642916174532761,1.9184999999999999,0.027306134841826226,0.10606261417269706,0.028000000000000004,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.7,match_p0,0.7,counterfactual_advantage,well_mixed,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.41200000000000003,0.17908098726553856,2.143,0.21347130954767662,0.36855442076921463,0.23400000000000004,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.7,match_p0,0.7,counterfactual_advantage,well_mixed,well_mixed_resampled,0.25,0.0,1.0,1.0,linear,True,5,0.406,0.18022208521710095,2.155,0.22350195748583496,0.3637272447347641,0.23000000000000004,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.75,match_p0,0.75,counterfactual_advantage,well_mixed,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.746,0.12157302332343302,2.934,0.39828381840089866,0.7250617742538452,0.72,100.0
