regime,game_family,update_rule,mixer,peer_rule,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,revision_rate,alpha,selection_strength,policy_temperature,payoff_transform,learning_enabled,seeds,cooperation_mean,cooperation_std,payoff_mean,payoff_std,policy_cooperation_mean,cluster_fraction_mean,fragmentation_mean
stag_hunt,stag_hunt,fermi_imitation,none,none,0.65,default,,sampled_policy_gradient,0.25,0.0,4.0,1.0,linear,True,3,0.09999999999999999,0.06244997998398399,2.04,0.04821825380496468,0.10419517507155736,0.06666666666666667,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.65,default,,sampled_policy_gradient,1.0,0.0,1.0,1.0,linear,True,3,0.043333333333333335,0.03785938897200183,1.9816666666666667,0.02020725942163693,0.052321252723534904,0.016666666666666666,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.65,default,,sampled_policy_gradient,1.0,0.0,2.0,1.0,linear,True,3,0.0,0.0,2.0,0.0,0.0,0.0,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.65,default,,sampled_policy_gradient,1.0,0.0,4.0,1.0,linear,True,3,0.0,0.0,2.0,0.0,0.0,0.0,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.7,default,,sampled_policy_gradient,0.1,0.0,1.0,1.0,linear,True,3,0.6366666666666666,0.2074447717666881,2.8433333333333337,0.567655999116836,0.6456857721010844,0.6266666666666666,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.7,default,,sampled_policy_gradient,0.1,0.0,2.0,1.0,linear,True,3,0.61,0.20952326839756957,2.7900000000000005,0.5416871790987857,0.6193003058433533,0.6,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.7,default,,sampled_policy_gradient,0.1,0.0,4.0,1.0,linear,True,3,0.5866666666666667,0.18475208614068028,2.768333333333333,0.42368423776833314,0.590706338485082,0.5866666666666667,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.7,default,,sampled_policy_gradient,0.25,0.0,1.0,1.0,linear,True,3,0.6633333333333333,0.10115993936995683,2.9516666666666667,0.22827249797847582,0.6738158265749613,0.6633333333333333,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.7,default,,sampled_policy_gradient,0.25,0.0,2.0,1.0,linear,True,3,0.4033333333333333,0.13051181300301265,2.4716666666666667,0.2868071361269332,0.41167257229487103,0.33666666666666667,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.7,default,,sampled_policy_gradient,0.25,0.0,4.0,1.0,linear,True,3,0.21333333333333335,0.13316656236958788,2.1816666666666666,0.18373440976946398,0.21668429176012674,0.19666666666666666,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.7,default,,sampled_policy_gradient,1.0,0.0,1.0,1.0,linear,True,3,0.030000000000000002,0.0360555127546399,1.9799999999999998,0.020000000000000018,0.03352868432799975,0.01,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.7,default,,sampled_policy_gradient,1.0,0.0,2.0,1.0,linear,True,3,0.0,0.0,2.0,0.0,0.0,0.0,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.7,default,,sampled_policy_gradient,1.0,0.0,4.0,1.0,linear,True,3,0.0,0.0,2.0,0.0,0.0,0.0,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.75,default,,sampled_policy_gradient,0.1,0.0,1.0,1.0,linear,True,3,0.7866666666666666,0.11846237095944573,3.283333333333333,0.3363158237926568,0.7893820603688558,0.7833333333333333,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.75,default,,sampled_policy_gradient,0.1,0.0,2.0,1.0,linear,True,3,0.73,0.09165151389911685,3.135,0.24979991993593603,0.7341092228889465,0.7266666666666667,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.75,default,,sampled_policy_gradient,0.1,0.0,4.0,1.0,linear,True,3,0.73,0.06244997998398399,3.0850000000000004,0.13444329659748758,0.728523850440979,0.73,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.75,default,,sampled_policy_gradient,0.25,0.0,1.0,1.0,linear,True,3,0.7366666666666667,0.12423096769056148,3.1283333333333334,0.31489416211377025,0.7393897970517477,0.7366666666666667,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.75,default,,sampled_policy_gradient,0.25,0.0,2.0,1.0,linear,True,3,0.6166666666666667,0.22678918257565409,2.908333333333333,0.48562674281111556,0.6269343197345734,0.6166666666666667,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.75,default,,sampled_policy_gradient,0.25,0.0,4.0,1.0,linear,True,3,0.51,0.05567764362830016,2.6750000000000003,0.1719738352191987,0.5106407205263773,0.5033333333333333,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.75,default,,sampled_policy_gradient,1.0,0.0,1.0,1.0,linear,True,3,0.030000000000000002,0.0360555127546399,1.9799999999999998,0.020000000000000018,0.03352868432799975,0.01,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.75,default,,sampled_policy_gradient,1.0,0.0,2.0,1.0,linear,True,3,0.0,0.0,2.0,0.0,0.0,0.0,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.75,default,,sampled_policy_gradient,1.0,0.0,4.0,1.0,linear,True,3,0.0,0.0,2.0,0.0,0.0,0.0,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.55,match_p0,0.55,counterfactual_advantage,0.1,0.0,1.0,1.0,linear,True,3,0.21666666666666667,0.058594652770823145,2.0233333333333334,0.08607167555783572,0.14065665006637573,0.11,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.55,match_p0,0.55,counterfactual_advantage,0.1,0.0,2.0,1.0,linear,True,3,0.21666666666666667,0.058594652770823145,2.0233333333333334,0.08607167555783572,0.14040015637874603,0.11,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.55,match_p0,0.55,counterfactual_advantage,0.1,0.0,4.0,1.0,linear,True,3,0.21333333333333335,0.05507570547286101,2.016666666666667,0.09004628439493408,0.14057661096254984,0.10333333333333333,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.55,match_p0,0.55,counterfactual_advantage,0.25,0.0,1.0,1.0,linear,True,3,0.10000000000000002,0.060827625302982205,1.99,0.05766281297335408,0.08895717685421307,0.05333333333333334,100.0
