label,strategy_count,initial_distribution,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,payoff_profile,win_payoff,loss_payoff,draw_payoff,seed,epochs,run_dir,domain_final_mean_payoff,domain_final_strategy_entropy,domain_final_dominant_strategy,domain_final_dominant_strategy_fraction,final_fragmentation_components
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.5,0.0,win_bonus,1.5,-1.0,0.0,2,25,experiments/runs/20260511_170324_241113_toy6_categorical_sensitivity_seeds01_03_k3_balanced_win_bonus_output_average_output_similarity_a0p5_t0_seed02,0.16625,0.9937459149150215,2,0.37,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.5,0.0,win_bonus,1.5,-1.0,0.0,3,25,experiments/runs/20260511_170326_786157_toy6_categorical_sensitivity_seeds01_03_k3_balanced_win_bonus_output_average_output_similarity_a0p5_t0_seed03,0.17125,0.9999092749840701,1,0.34,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.5,0.8,win_bonus,1.5,-1.0,0.0,1,25,experiments/runs/20260511_170329_319287_toy6_categorical_sensitivity_seeds01_03_k3_balanced_win_bonus_output_average_output_similarity_a0p5_t0p8_seed01,0.1575,0.983911221681285,0,0.42,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.5,0.8,win_bonus,1.5,-1.0,0.0,2,25,experiments/runs/20260511_170331_856162_toy6_categorical_sensitivity_seeds01_03_k3_balanced_win_bonus_output_average_output_similarity_a0p5_t0p8_seed02,0.16625,0.9937459149150215,2,0.37,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.5,0.8,win_bonus,1.5,-1.0,0.0,3,25,experiments/runs/20260511_170334_392957_toy6_categorical_sensitivity_seeds01_03_k3_balanced_win_bonus_output_average_output_similarity_a0p5_t0p8_seed03,0.17125,0.9999092749840701,1,0.34,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.0,0.0,loss_heavy,1.0,-1.5,0.0,1,25,experiments/runs/20260511_170336_915183_toy6_categorical_sensitivity_seeds01_03_k3_balanced_loss_heavy_output_average_output_similarity_a0_t0_seed01,-0.155,0.9972208096740016,0,0.37,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.0,0.0,loss_heavy,1.0,-1.5,0.0,2,25,experiments/runs/20260511_170339_408190_toy6_categorical_sensitivity_seeds01_03_k3_balanced_loss_heavy_output_average_output_similarity_a0_t0_seed02,-0.18,0.9917205524666002,2,0.39,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.0,0.0,loss_heavy,1.0,-1.5,0.0,3,25,experiments/runs/20260511_170341_919172_toy6_categorical_sensitivity_seeds01_03_k3_balanced_loss_heavy_output_average_output_similarity_a0_t0_seed03,-0.17125,0.9982774185050798,1,0.36,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.0,0.8,loss_heavy,1.0,-1.5,0.0,1,25,experiments/runs/20260511_170344_433547_toy6_categorical_sensitivity_seeds01_03_k3_balanced_loss_heavy_output_average_output_similarity_a0_t0p8_seed01,-0.155,0.9972208096740016,0,0.37,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.0,0.8,loss_heavy,1.0,-1.5,0.0,2,25,experiments/runs/20260511_170346_944617_toy6_categorical_sensitivity_seeds01_03_k3_balanced_loss_heavy_output_average_output_similarity_a0_t0p8_seed02,-0.18,0.9917205524666002,2,0.39,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.0,0.8,loss_heavy,1.0,-1.5,0.0,3,25,experiments/runs/20260511_170349_424495_toy6_categorical_sensitivity_seeds01_03_k3_balanced_loss_heavy_output_average_output_similarity_a0_t0p8_seed03,-0.17125,0.9982774185050798,1,0.36,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.5,0.0,loss_heavy,1.0,-1.5,0.0,1,25,experiments/runs/20260511_170351_944800_toy6_categorical_sensitivity_seeds01_03_k3_balanced_loss_heavy_output_average_output_similarity_a0p5_t0_seed01,-0.16125,0.983911221681285,0,0.42,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.5,0.0,loss_heavy,1.0,-1.5,0.0,2,25,experiments/runs/20260511_170354_536341_toy6_categorical_sensitivity_seeds01_03_k3_balanced_loss_heavy_output_average_output_similarity_a0p5_t0_seed02,-0.16625,0.9939987916706561,1,0.36,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.5,0.0,loss_heavy,1.0,-1.5,0.0,3,25,experiments/runs/20260511_170357_111709_toy6_categorical_sensitivity_seeds01_03_k3_balanced_loss_heavy_output_average_output_similarity_a0p5_t0_seed03,-0.1725,0.9999092749840701,1,0.34,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.5,0.8,loss_heavy,1.0,-1.5,0.0,1,25,experiments/runs/20260511_170359_689719_toy6_categorical_sensitivity_seeds01_03_k3_balanced_loss_heavy_output_average_output_similarity_a0p5_t0p8_seed01,-0.16125,0.983911221681285,0,0.42,1
