toy,scenario,training_backend,device,agent_count,epochs,seed,repeat_index,warmup_runs,repeats,run_id,epoch,policy_rule,coordination_mixer,stage,seconds
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,2,neural_policy,none,local_training,0.5299114719964564
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,2,neural_policy,none,cache_refresh,0.018113311962224543
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,2,neural_policy,none,post_local_readout,0.0007378889713436365
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,2,neural_policy,none,local_step,0.5543470520060509
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,2,neural_policy,none,select_peers,0.0008999459678307176
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,2,neural_policy,none,social_step,3.732996992766857e-05
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,2,neural_policy,none,sample_actions,1.0319054126739502e-06
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,2,neural_policy,none,commit_actions,4.8912945203483105e-05
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,2,neural_policy,none,post_step_state_policy,1.2704054825007915e-05
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,2,neural_policy,none,update_reputation_ema,2.9635964892804623e-05
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,2,neural_policy,none,finalize_hook_step,4.027970135211945e-06
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,2,neural_policy,none,hooked_step_total,0.5588957651052624
toy5,neural_none,loop,cpu,1024,3,4,0,1,3,toy5_gpu_core_neural_none_loop_1024_cpu_repeat00,2,neural_policy,none,aggregate_row,0.009429838974028826
