label,initial_active_fraction,initial_failed_fraction,base_activation_rate,peer_activation_rate,failure_rate,overload_failure_rate,recovery_rate,max_time,graph_k,graph_rewire_probability,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,seeds,final_time_mean,final_active_fraction_mean,final_active_fraction_std,final_failed_fraction_mean,total_events_mean,activation_events_mean,failure_events_mean,recovery_events_mean,absorbed_rate,final_fragmentation_components_mean
toy8_async_sensitivity_seeds01_05,0.1,0.0,0.02,0.3,0.03,0.08,0.01,50.0,4,0.1,output_average,output_similarity,0.5,0.0,5,3.5182827222979376,0.262,0.046043457732885366,0.044000000000000004,25.0,20.6,4.4,0.0,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.1,0.0,0.02,0.3,0.03,0.08,0.05,50.0,4,0.1,output_average,output_similarity,0.0,0.0,5,3.4148556857524106,0.26,0.04795831523312721,0.042,25.0,20.4,4.4,0.2,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.1,0.0,0.02,0.3,0.03,0.08,0.05,50.0,4,0.1,output_average,output_similarity,0.25,0.0,5,3.4426859153201717,0.252,0.04711687595755901,0.046,25.0,20.0,4.8,0.2,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.1,0.0,0.02,0.3,0.03,0.08,0.05,50.0,4,0.1,output_average,output_similarity,0.5,0.0,5,3.5295026396102407,0.26,0.05000000000000002,0.042,25.0,20.4,4.4,0.2,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.15,0.03,0.04,0.01,50.0,4,0.1,output_average,output_similarity,0.0,0.0,5,4.267063897403234,0.378,0.03193743884534263,0.05800000000000001,25.0,18.8,6.0,0.2,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.15,0.03,0.04,0.01,50.0,4,0.1,output_average,output_similarity,0.25,0.0,5,4.360460310034239,0.374,0.026076809620810614,0.06000000000000001,25.0,18.6,6.2,0.2,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.15,0.03,0.04,0.01,50.0,4,0.1,output_average,output_similarity,0.5,0.0,5,4.495453167614608,0.37,0.022360679774997894,0.062,25.0,18.4,6.4,0.2,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.15,0.03,0.04,0.05,50.0,4,0.1,output_average,output_similarity,0.0,0.0,5,4.189601276602966,0.374,0.027018512172212593,0.054000000000000006,25.0,18.4,6.0,0.6,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.15,0.03,0.04,0.05,50.0,4,0.1,output_average,output_similarity,0.25,0.0,5,4.253063238978234,0.37,0.02121320343559644,0.05600000000000001,25.0,18.2,6.2,0.6,0.0,1.0
toy8_async_sensitivity_seeds01_05,0.25,0.0,0.02,0.15,0.03,0.04,0.05,50.0,4,0.1,output_average,output_similarity,0.5,0.0,5,4.331264893240273,0.366,0.020736441353327716,0.057999999999999996,25.0,18.0,6.4,0.6,0.0,1.0
