toy,scenario,peer_rule,training_backend,resolved_training_backend,device,agent_count,epochs,seed,repeat_index,warmup_runs,repeats,run_id,epoch,policy_rule,coordination_mixer,stage,seconds
toy4,neural_output_average_output_similarity,output_similarity,batched,batched,cpu,1024,3,1,0,0,2,toy4_gpu_core_neural_output_average_output_similarity_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_mix,0.0019171128515154123
toy4,neural_output_average_output_similarity,output_similarity,batched,batched,cpu,1024,3,1,0,0,2,toy4_gpu_core_neural_output_average_output_similarity_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_loss_forward,0.0005735980812460184
toy4,neural_output_average_output_similarity,output_similarity,batched,batched,cpu,1024,3,1,0,0,2,toy4_gpu_core_neural_output_average_output_similarity_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_autograd_grad,0.0006991850677877665
toy4,neural_output_average_output_similarity,output_similarity,batched,batched,cpu,1024,3,1,0,0,2,toy4_gpu_core_neural_output_average_output_similarity_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_adam_update,0.04503438086248934
toy4,neural_output_average_output_similarity,output_similarity,batched,batched,cpu,1024,3,1,0,0,2,toy4_gpu_core_neural_output_average_output_similarity_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_optimizer_update,0.046032221987843513
toy4,neural_output_average_output_similarity,output_similarity,batched,batched,cpu,1024,3,1,0,0,2,toy4_gpu_core_neural_output_average_output_similarity_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_loss_update,0.048622791888192296
toy4,neural_output_average_output_similarity,output_similarity,batched,batched,cpu,1024,3,1,0,0,2,toy4_gpu_core_neural_output_average_output_similarity_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_distillation,0.04954595095477998
toy4,neural_output_average_output_similarity,output_similarity,batched,batched,cpu,1024,3,1,0,0,2,toy4_gpu_core_neural_output_average_output_similarity_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_step,0.04956738208420575
toy4,neural_output_average_output_similarity,output_similarity,batched,batched,cpu,1024,3,1,0,0,2,toy4_gpu_core_neural_output_average_output_similarity_batched_1024_cpu_repeat00,1,neural_policy,output_average,sample_actions,1.942971721291542e-06
toy4,neural_output_average_output_similarity,output_similarity,batched,batched,cpu,1024,3,1,0,0,2,toy4_gpu_core_neural_output_average_output_similarity_batched_1024_cpu_repeat00,1,neural_policy,output_average,commit_actions,1.0390067473053932e-05
