toy,scenario,training_backend,resolved_training_backend,device,agent_count,epochs,seed,warmup_runs,repeats,seconds,seconds_std,seconds_min,seconds_max,epochs_per_second,epochs_per_second_std,agent_steps_per_second,agent_steps_per_second_std,final_action_rate,final_action_rate_std,final_mean_policy_action_probability,final_mean_policy_action_probability_std,final_mean_reputation,final_mean_reputation_std,loop_speedup,final_action_rate_diff_vs_loop,final_mean_policy_action_probability_diff_vs_loop,final_mean_reputation_diff_vs_loop,parity_passed_vs_loop,timing_make_run_dir_seconds,timing_write_metadata_seconds,timing_initial_state_seconds,timing_writer_setup_seconds,timing_initial_step_result_seconds,timing_initial_aggregate_row_seconds,timing_write_initial_aggregate_seconds,timing_sample_revision_mask_seconds,timing_hooked_step_total_seconds,timing_build_step_context_seconds,timing_local_step_seconds,timing_neural_context_peers_seconds,timing_build_observations_seconds,timing_policy_readout_seconds,timing_decision_selection_seconds,timing_local_training_seconds,timing_local_trainable_parameters_seconds,timing_local_loss_update_seconds,timing_local_loss_forward_seconds,timing_local_optimizer_update_seconds,timing_local_autograd_grad_seconds,timing_local_adam_update_seconds,timing_cache_refresh_seconds,timing_post_local_readout_seconds,timing_select_peers_seconds,timing_social_step_seconds,timing_social_distillation_seconds,timing_social_trainable_parameters_seconds,timing_social_loss_update_seconds,timing_social_mix_seconds,timing_social_loss_forward_seconds,timing_social_optimizer_update_seconds,timing_social_autograd_grad_seconds,timing_social_adam_update_seconds,timing_sample_actions_seconds,timing_commit_actions_seconds,timing_post_step_state_policy_seconds,timing_update_payoff_ema_seconds,timing_update_reputation_ema_seconds,timing_mobility_swaps_seconds,timing_finalize_hook_step_seconds,timing_aggregate_row_seconds,timing_write_aggregate_seconds,timing_write_micro_seconds,timing_make_run_dir_seconds_std,timing_write_metadata_seconds_std,timing_initial_state_seconds_std,timing_writer_setup_seconds_std,timing_initial_step_result_seconds_std,timing_initial_aggregate_row_seconds_std,timing_write_initial_aggregate_seconds_std,timing_sample_revision_mask_seconds_std,timing_hooked_step_total_seconds_std,timing_build_step_context_seconds_std,timing_local_step_seconds_std,timing_neural_context_peers_seconds_std,timing_build_observations_seconds_std,timing_policy_readout_seconds_std,timing_decision_selection_seconds_std,timing_local_training_seconds_std,timing_local_trainable_parameters_seconds_std,timing_local_loss_update_seconds_std,timing_local_loss_forward_seconds_std,timing_local_optimizer_update_seconds_std,timing_local_autograd_grad_seconds_std,timing_local_adam_update_seconds_std,timing_cache_refresh_seconds_std,timing_post_local_readout_seconds_std,timing_select_peers_seconds_std,timing_social_step_seconds_std,timing_social_distillation_seconds_std,timing_social_trainable_parameters_seconds_std,timing_social_loss_update_seconds_std,timing_social_mix_seconds_std,timing_social_loss_forward_seconds_std,timing_social_optimizer_update_seconds_std,timing_social_autograd_grad_seconds_std,timing_social_adam_update_seconds_std,timing_sample_actions_seconds_std,timing_commit_actions_seconds_std,timing_post_step_state_policy_seconds_std,timing_update_payoff_ema_seconds_std,timing_update_reputation_ema_seconds_std,timing_mobility_swaps_seconds_std,timing_finalize_hook_step_seconds_std,timing_aggregate_row_seconds_std,timing_write_aggregate_seconds_std,timing_write_micro_seconds_std
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,5,0.3856480369810015,0.027432111764107307,0.36181684397161007,0.4296616029459983,13.01520023928577,0.879803189609699,13327.565045028628,900.9184661603318,0.361328125,0.0,0.3281477093696594,0.0,0.4755768847656251,0.0,,,,,,0.0001601200317963958,0.002309344569221139,0.2877184130018577,0.000409269193187356,0.00227217017672956,0.0054725106107071046,3.153979778289795e-05,8.193480316549539e-05,0.04098679176531732,3.225298132747412e-05,0.02252224290277809,1.2854207307100296e-05,0.0010483006481081247,0.0010744629194959997,0.000802373606711626,0.016624084021896125,0.0008422347716987133,0.01456621300894767,0.0018536291783675552,0.012642204575240613,0.004675017041154206,0.007125611766241491,8.700764738023281e-06,0.0010758006013929845,1.3342848978936672e-05,0.01571612779516727,0.015650529856793584,0.0010121900588274003,0.011879836558364332,0.0013215597718954086,0.0012234206311404704,0.010602342803031206,0.0033619288122281434,0.0067591877887025476,4.230393096804619e-06,2.2752746008336545e-05,8.213159162551165e-05,9.797795210033655e-05,8.386503905057907e-05,0.0003647258039563894,4.7829165123403075e-05,0.037133597396314146,0.0001652592094615102,0.0,4.301256905007629e-05,9.628251040780838e-05,0.004289365415321115,8.968922561100782e-05,0.0007450314554563906,0.00043128416055525126,1.7376902077700839e-06,3.803008516287749e-05,0.003920033602244194,7.882852052341334e-06,0.0030778624629206426,2.4078448387856267e-06,0.00014640993714800103,0.00015638477742114745,0.00013322280690676,0.0024829414303150915,0.0001939544398133629,0.0022853559787432134,0.0004917450314680035,0.0019144851396863788,0.000995314226453137,0.0010659601449769759,1.1612370202783787e-06,0.00027454850468471383,1.8287174844307716e-06,0.0011336782286814138,0.001126999081715236,0.00017191145834652237,0.0009454661180698242,0.00012116822362110058,0.00015794684733601215,0.0009016292946630559,0.0002603137035652445,0.0008209556126199724,3.7787380022826855e-07,3.2582481104776586e-06,2.6309302173876888e-05,1.398541929513688e-05,1.273682017658891e-05,8.051210859394807e-05,3.2870699894122007e-06,0.0278173476069908,1.7748425427832756e-05,0.0
toy2,neural_output_average,tensor_batched,tensor_batched,cuda,1024,5,1,0,5,0.5069748706184327,0.4351415085232683,0.28945181402377784,1.2827351989690214,13.707777937307018,5.723518306803219,14036.764607802386,5860.882746166496,0.353515625,0.0,0.32777172327041626,0.0,0.47614862304687494,0.0,,,,,,0.00020004617981612683,0.0023640729952603577,0.22217691463883965,0.00043915577698498963,0.06458167340606451,0.026179463230073453,5.04133990034461e-05,0.00011821682564914227,0.1297130928840488,6.342425476759672e-05,0.10264298676047474,3.7284032441675666e-05,0.0015916057396680116,0.0015192260034382343,0.04035944661591202,0.05441796325612813,0.0003115983447059989,0.05154640940017998,0.012705325614660978,0.038678803108632566,0.00883787078782916,0.02935843204613775,4.380890168249607e-05,0.0012756803538650275,4.987309221178293e-05,0.0199632324045524,0.019826788711361586,0.0002920966595411301,0.01440401456784457,0.0030884386273100973,0.008502116845920681,0.005742593132890761,0.0020549735985696317,0.0030612487811595202,3.829086199402809e-05,5.656161811202764e-05,0.00010856406297534704,0.0003300306387245655,0.0002443852601572871,0.002135534747503698,0.00010179157834500074,0.03933246878441423,0.00020194372627884148,0.0,8.296969038386452e-05,0.0001662262046753032,0.025331264429007756,9.565809300892211e-05,0.13876661011334104,0.0410852141267678,1.915273749246409e-05,3.289675558219632e-05,0.20645430743897092,8.781989829454901e-06,0.18866726375036866,2.2659138029966584e-06,0.0006118478480201714,0.0005602591395510275,0.0874216088013029,0.09921923440975865,1.6326139387811263e-05,0.09680936838759711,0.024514826132873698,0.07226570301296525,0.013208668915825046,0.05892022135858366,3.59520172623485e-06,0.000477420228081637,2.2532121641906256e-06,0.017575071177131755,0.01756956518279687,3.6913532714932154e-05,0.015789758530406237,0.001778327783374296,0.015750585428279323,0.0008595139623738116,0.00032339834524445273,0.0004050890986554317,5.096185869297515e-06,2.4531112117817953e-06,2.2153438235823186e-05,0.00011591596742703996,6.256378356543494e-05,0.0005859521833264897,8.131824830550514e-06,0.02903856264616935,1.6165843762409112e-05,0.0
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,2048,5,1,0,5,0.599714174005203,0.05282176848012821,0.5397112520877272,0.649611679953523,8.390586488601889,0.7565205024956371,17183.921128656668,1549.3539891110647,0.37744140625,0.0,0.3248828053474426,0.0,0.4719196972656251,0.0,,,,,,0.00024389121681451799,0.0026927085826173426,0.4222914605634287,0.00038450199645012617,0.0035485818050801756,0.01101621261332184,3.4551415592432025e-05,7.209137547761201e-05,0.05819280871655792,3.3385073766112325e-05,0.032037804811261596,1.3441056944429875e-05,0.0013654770329594613,0.0014690811978653074,0.0010414715390652419,0.02328837343957275,0.0014503279933705926,0.020122768986038864,0.00269269326236099,0.017370054940693082,0.005302293552085757,0.011005738005042075,9.039323776960373e-06,0.0019360159989446402,1.5467219054698943e-05,0.02292918984312564,0.022861034236848356,0.0012715299846604467,0.01718763462267816,0.00185895343311131,0.0020524004008620977,0.015077243349514902,0.004496539453975856,0.009863922419026495,5.0015514716506004e-06,2.203742042183876e-05,9.801443666219711e-05,0.00012085549533367158,0.00011069793254137039,0.00046835539396852257,5.708786193281412e-05,0.07055215819273145,0.00016654196660965682,0.0,0.000142196905682739,0.0005178999987508008,0.0059174390880097,3.0001920617157973e-05,0.0016254552671857738,0.0018792187705440773,4.310019586579429e-06,1.0370272419586025e-05,0.005576183206905115,4.611215652633105e-06,0.002896415532357928,2.4067388822864847e-06,0.0001538079432703035,0.00025325581524373447,8.302779989226308e-05,0.002471075466344692,0.000126968497409254,0.002224112365968397,0.0002772570206538458,0.0020244106696937526,0.00043631790743325053,0.002072328543553981,1.70829900258861e-06,0.0005325051420980143,3.908717684275871e-06,0.0031598159606623707,0.003150387818462291,0.00030383992249152217,0.0023731782220243825,0.0003151364817381515,0.0003268036737273685,0.002075581080575979,0.0005859852466772157,0.00185616002492967,1.3403353571154793e-06,6.425584126062371e-06,4.215996444408292e-05,3.338647356436721e-05,2.845649672607016e-05,0.00013698977719246017,1.4739706084067683e-05,0.03840181164400282,2.052378251836661e-05,0.0
toy2,neural_output_average,tensor_batched,tensor_batched,cuda,2048,5,1,0,5,0.6656991443829611,0.10336708615614447,0.558567053056322,0.7865835579577833,7.654548125868883,1.1594179942369798,15676.514561779471,2374.4880521973346,0.3515625,0.0,0.32617083191871643,0.0,0.4653954492187501,0.0,,,,,,0.0003380378009751439,0.002817248972132802,0.43991579113062473,0.0005839128047227859,0.0039797259727492925,0.01412932483945042,8.939779363572597e-05,0.00018742652609944345,0.054160440876148644,9.979140013456344e-05,0.027957034576684237,5.034941714257002e-05,0.0018888726364821196,0.0018470353446900845,0.0016975108999758958,0.016125924233347178,0.0004913866519927979,0.01313927082810551,0.00301924804225564,0.009943515970371663,0.005064067360945046,0.004210201371461153,4.819233436137438e-05,0.0013191970065236092,6.271163001656533e-05,0.015892415307462215,0.015699655236676335,0.0005149177741259336,0.00851265478413552,0.00404947493225336,0.0017510132165625691,0.006600717408582568,0.0025127626257017257,0.003475638828240335,3.834664821624756e-05,7.407225202769042e-05,0.00019815219566226004,0.00031248542945832013,0.00030162499751895666,0.003757189749740064,0.00012026862241327762,0.09116913699544966,0.00032456240151077507,0.0,0.00017274614364896202,0.0005457780936204202,0.0261175497689038,0.00017625020491608408,0.0011926162014739823,0.0037468335361796573,5.4200173580581315e-05,7.486103599638887e-05,0.016966542854571817,3.9581588990433255e-05,0.009265285341838243,9.396619852121802e-06,0.0005573091624331115,0.0006295245343622101,0.0006403018931079964,0.006379561052796251,0.0002657603565193481,0.005053996803740253,0.0015453420272230063,0.0036409315363087093,0.002204266065604092,0.0012880219677366487,7.019737287356954e-06,0.0002978409773789999,1.9933332359138028e-05,0.005761043202545105,0.005698099692020503,0.00044726946102727314,0.002529498099341233,0.0026659934996105914,0.0005936638997359609,0.0019333304478697884,0.0007342334485919533,0.0010277537413898095,3.4248942350412873e-06,1.3255657672799102e-05,7.425456396692082e-05,5.6170751999704e-05,0.00010834787643221021,0.0016120857296228535,2.287962570789313e-05,0.06965066509891897,0.00012438736883133437,0.0
