label,regime,game_family,purpose,payoff_T,payoff_R,payoff_P,payoff_S,update_rule,mixer,peer_rule,seed,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,neural_peer_mode,interaction_mode,action_selection_mode,revision_rate,alpha,selection_strength,policy_temperature,payoff_transform,exploration_epsilon,learning_enabled,run_dir,final_cooperation_rate,final_mean_payoff,final_mean_policy_cooperation,final_cooperation_components,final_largest_cooperation_cluster_fraction,final_fragmentation_components
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.6,match_p0,0.6,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170838_088236_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p6_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed01,0.03,1.9725,0.0122689763084054,3,0.01,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.6,match_p0,0.6,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170842_401604_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p6_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed02,0.02,1.9775,0.03639734163880348,2,0.01,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.6,match_p0,0.6,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170846_287962_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p6_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed03,0.03,1.9775,0.02439349889755249,3,0.01,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,4,0.6,match_p0,0.6,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170850_063522_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p6_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed04,0.13,1.935,0.03547932952642441,12,0.02,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,5,0.6,match_p0,0.6,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170854_063134_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p6_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed05,0.03,1.9675,0.008705858141183853,3,0.01,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.6,match_p0,0.6,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170858_043069_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p6_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_argmax_r0p25_a0p0_seed01,1.0,4.0,0.9988420605659485,1,1.0,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.6,match_p0,0.6,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170902_022205_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p6_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_argmax_r0p25_a0p0_seed02,1.0,4.0,0.9994575381278992,1,1.0,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.6,match_p0,0.6,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170906_145978_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p6_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_argmax_r0p25_a0p0_seed03,1.0,4.0,0.9987137317657471,1,1.0,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,4,0.6,match_p0,0.6,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170911_379472_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p6_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_argmax_r0p25_a0p0_seed04,1.0,4.0,0.9990329146385193,1,1.0,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,5,0.6,match_p0,0.6,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170915_251365_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p6_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_argmax_r0p25_a0p0_seed05,1.0,4.0,0.9989285469055176,1,1.0,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.65,match_p0,0.65,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170919_055892_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p65_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed01,0.06,1.9425,0.040344830602407455,6,0.01,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.65,match_p0,0.65,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170922_953740_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p65_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed02,0.13,1.89,0.10160747170448303,8,0.03,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.65,match_p0,0.65,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170926_848388_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p65_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed03,0.18,1.905,0.13920751214027405,9,0.04,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,4,0.65,match_p0,0.65,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170930_772324_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p65_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed04,0.28,1.9525,0.21458010375499725,17,0.04,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,5,0.65,match_p0,0.65,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170937_421464_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p65_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed05,0.09,1.9025,0.03457315266132355,8,0.02,100
