prior,learning,epoch,coop_slope_vs_p0,policy_pre_slope_vs_p0,policy_local_slope_vs_p0,policy_social_slope_vs_p0,mean_revised_local_loss
0.5,False,0,1.1333333333333335,6.38829004518248e-16,6.38829004518248e-16,6.38829004518248e-16,0.0
0.5,False,1,1.0166666666666664,6.38829004518248e-16,6.38829004518248e-16,6.38829004518248e-16,0.0
0.5,False,5,0.7500000000000003,6.38829004518248e-16,6.38829004518248e-16,6.38829004518248e-16,0.0
0.5,False,10,0.483333333333333,6.38829004518248e-16,6.38829004518248e-16,6.38829004518248e-16,0.0
0.5,False,25,0.08333333333333413,6.38829004518248e-16,6.38829004518248e-16,6.38829004518248e-16,0.0
0.5,False,50,0.01666666666666724,6.38829004518248e-16,6.38829004518248e-16,6.38829004518248e-16,0.0
0.5,True,0,1.1333333333333335,6.38829004518248e-16,6.38829004518248e-16,6.38829004518248e-16,0.0
0.5,True,1,1.0166666666666664,6.38829004518248e-16,-3.3279259990807107e-06,-3.3279259990807107e-06,0.4586798846721649
0.5,True,5,0.7500000000000003,0.0010399023691820921,0.0012300411860153356,0.0012300411860153356,0.24740370506530143
0.5,True,10,0.483333333333333,0.0022133191426599984,0.0025280316670734044,0.0025280316670734044,0.1547679910279484
0.5,True,25,0.08333333333333413,0.01712212959925337,0.020356973012289493,0.020356973012289493,0.026658446508401743
0.5,True,50,0.049999999999999614,0.038820803165436145,0.039073973894119735,0.039073973894119735,-0.026978603952087978
default,False,0,1.1333333333333335,0.0006250043710075472,0.0006250043710075472,0.0006250043710075472,0.0
default,False,1,1.0166666666666657,0.0006250043710075472,0.0006250043710075472,0.0006250043710075472,0.0
default,False,5,0.7666666666666662,0.002560267845790456,0.002560267845790456,0.002560267845790456,0.0
default,False,10,0.5000000000000001,0.003643582264582576,0.003643582264582576,0.003643582264582576,0.0
default,False,25,0.10000000000000031,0.0028121471405033204,0.0028121471405033204,0.0028121471405033204,0.0
default,False,50,0.016666666666666708,6.755193074141943e-06,6.755193074141943e-06,6.755193074141943e-06,0.0
default,True,0,1.1333333333333335,0.0006250043710075472,0.0006250043710075472,0.0006250043710075472,0.0
default,True,1,1.0166666666666657,0.0006250043710075472,0.0002887845039373344,0.0002887845039373344,0.4402627535454639
default,True,5,0.7666666666666668,0.00778183341026384,0.0082592169443775,0.0082592169443775,0.23805739709951024
default,True,10,0.5166666666666669,0.01277988155682918,0.013107756773631721,0.013107756773631721,0.14190229332867868
default,True,25,0.15000000000000072,0.02552757660547894,0.027959744135539543,0.027959744135539543,0.012927238296005823
default,True,50,0.03333333333333383,0.053205092748006166,0.054151217142740724,0.054151217142740724,-0.022076104532965737
match_p0,False,0,1.1333333333333335,0.9999993443489071,0.9999993443489071,0.9999993443489071,0.0
match_p0,False,1,1.0666666666666662,0.9999993443489071,0.9999993443489071,0.9999993443489071,0.0
match_p0,False,5,1.083333333333333,0.9999993443489071,0.9999993443489071,0.9999993443489071,0.0
match_p0,False,10,1.05,0.9999993443489071,0.9999993443489071,0.9999993443489071,0.0
match_p0,False,25,0.9666666666666662,0.9999993443489071,0.9999993443489071,0.9999993443489071,0.0
match_p0,False,50,0.8833333333333333,0.9999993443489071,0.9999993443489071,0.9999993443489071,0.0
match_p0,True,0,1.1333333333333335,0.9999993443489071,0.9999993443489071,0.9999993443489071,0.0
match_p0,True,1,1.0666666666666662,0.9999993443489071,1.0009602208932233,1.0009602208932233,0.43140178605118523
match_p0,True,5,1.0833333333333324,1.0054270426432284,1.0098390777905788,1.0098390777905788,0.24804492167630166
match_p0,True,10,1.0499999999999998,1.0191402832667036,1.021207869052886,1.021207869052886,0.1695207685439123
match_p0,True,25,0.9999999999999993,1.0772819320360818,1.0833712915579476,1.0833712915579476,0.04135501585469802
match_p0,True,50,1.0000000000000007,1.1754420399665826,1.180089364449182,1.180089364449182,0.0017357896252248792
