regime,game_family,update_rule,mixer,peer_rule,alpha,selection_strength,payoff_transform,seeds,cooperation_mean,cooperation_std,payoff_mean,payoff_std,policy_cooperation_mean,cluster_fraction_mean,fragmentation_mean
harsh_pd,prisoner_dilemma,neural_policy,none,none,0.0,1.0,linear,5,0.142,0.04494441010848846,1.401,0.11722840952601885,0.12358585447072983,0.038,100.0
harsh_pd,prisoner_dilemma,neural_policy,output_average,none,0.0,1.0,linear,5,0.098,0.0303315017762062,1.2810000000000001,0.0782144487930459,0.0822000578045845,0.026000000000000002,1.0
harsh_pd,prisoner_dilemma,neural_policy,output_average,none,0.1,1.0,linear,5,0.078,0.03114482300479487,1.224,0.08749285685128799,0.06930760741233825,0.028000000000000004,1.0
harsh_pd,prisoner_dilemma,neural_policy,output_average,none,0.25,1.0,linear,5,0.08,0.025495097567963924,1.229,0.0711863751008576,0.0662233628332615,0.03,1.0
harsh_pd,prisoner_dilemma,neural_policy,output_average,none,0.5,1.0,linear,5,0.08399999999999999,0.029664793948382652,1.241,0.08088572185497271,0.06691107004880906,0.028000000000000004,1.0
mild_pd,prisoner_dilemma,neural_policy,none,none,0.0,1.0,linear,5,0.172,0.0432434966208793,1.278,0.07359942255208249,0.1634618043899536,0.05600000000000001,100.0
mild_pd,prisoner_dilemma,neural_policy,output_average,none,0.0,1.0,linear,5,0.126,0.027018512172212593,1.2005,0.042034212256208625,0.10748599469661713,0.042,1.0
mild_pd,prisoner_dilemma,neural_policy,output_average,none,0.1,1.0,linear,5,0.11000000000000001,0.0223606797749979,1.173,0.038218123972795934,0.09086969494819641,0.036,1.0
mild_pd,prisoner_dilemma,neural_policy,output_average,none,0.25,1.0,linear,5,0.10400000000000001,0.016733200530681516,1.1625,0.027782638463616078,0.09009870141744614,0.034,1.0
mild_pd,prisoner_dilemma,neural_policy,output_average,none,0.5,1.0,linear,5,0.11000000000000001,0.029154759474226494,1.1724999999999999,0.04743416490252571,0.09061885774135589,0.036,1.0
snowdrift,snowdrift,neural_policy,none,none,0.0,1.0,linear,5,0.43600000000000005,0.04669047011971501,2.2670000000000003,0.19243830180086288,0.44807342290878294,0.188,100.0
snowdrift,snowdrift,neural_policy,output_average,none,0.0,1.0,linear,5,0.45,0.05567764362830022,2.3649999999999998,0.223152134204448,0.44897131323814393,0.178,1.0
snowdrift,snowdrift,neural_policy,output_average,none,0.1,1.0,linear,5,0.462,0.03492849839314596,2.261,0.047683854709953795,0.4493445515632629,0.288,1.0
snowdrift,snowdrift,neural_policy,output_average,none,0.25,1.0,linear,5,0.454,0.03847076812334269,2.2195,0.10394409555140678,0.44986847043037415,0.25,1.0
snowdrift,snowdrift,neural_policy,output_average,none,0.5,1.0,linear,5,0.45999999999999996,0.05000000000000002,2.2235,0.10730505579887642,0.45147212147712706,0.286,1.0
soft_pd,prisoner_dilemma,neural_policy,none,none,0.0,1.0,linear,5,0.31799999999999995,0.025884358211089583,1.5532000000000001,0.05593925276583512,0.3222904860973358,0.11000000000000001,100.0
soft_pd,prisoner_dilemma,neural_policy,output_average,none,0.0,1.0,linear,5,0.28200000000000003,0.03492849839314597,1.4868000000000001,0.06487834769782595,0.2740148901939392,0.092,1.0
soft_pd,prisoner_dilemma,neural_policy,output_average,none,0.1,1.0,linear,5,0.258,0.027748873851023217,1.4436000000000002,0.05158294291720863,0.2592527061700821,0.086,1.0
soft_pd,prisoner_dilemma,neural_policy,output_average,none,0.25,1.0,linear,5,0.28,0.012247448713915882,1.4808000000000001,0.017469974241537876,0.2666230320930481,0.078,1.0
soft_pd,prisoner_dilemma,neural_policy,output_average,none,0.5,1.0,linear,5,0.29,0.012247448713915875,1.4976000000000003,0.019359752064528016,0.2785196274518967,0.072,1.0
stag_hunt,stag_hunt,neural_policy,none,none,0.0,1.0,linear,5,0.196,0.016733200530681516,1.972,0.05707451270050412,0.19836421310901642,0.074,100.0
stag_hunt,stag_hunt,neural_policy,output_average,none,0.0,1.0,linear,5,0.144,0.01949358868961793,1.982,0.042219663665169105,0.1231070563197136,0.066,1.0
stag_hunt,stag_hunt,neural_policy,output_average,none,0.1,1.0,linear,5,0.10200000000000001,0.023874672772626646,1.9759999999999998,0.03507135583350033,0.0885424181818962,0.05,1.0
stag_hunt,stag_hunt,neural_policy,output_average,none,0.25,1.0,linear,5,0.10400000000000001,0.03049590136395381,1.9560000000000002,0.03507135583350045,0.07933450862765312,0.039999999999999994,1.0
stag_hunt,stag_hunt,neural_policy,output_average,none,0.5,1.0,linear,5,0.096,0.036469165057620934,1.9490000000000003,0.021621748310439656,0.0755897119641304,0.034,1.0
