label,game_family,update_rule,mixer,peer_rule,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,revision_rate,selection_strength,policy_temperature,payoff_transform,learning_enabled,epoch,seeds,cooperation_mean,cooperation_std,policy_cooperation_mean,policy_cooperation_std,payoff_mean,payoff_std,local_loss_mean,revised_local_loss_mean,social_loss_mean,realized_revision_rate_mean
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,16,3,0.5366666666666666,0.07023769168568496,0.5481407443682352,0.07763515055768727,2.473333333333333,0.1495270321157125,0.0,0.0,0.0,0.09666666666666668
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,17,3,0.5266666666666667,0.07023769168568492,0.5324075023333231,0.0727563629312243,2.4533333333333336,0.1449425173416461,0.0,0.0,0.0,0.12666666666666668
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,18,3,0.5366666666666667,0.07094598884597583,0.523811419804891,0.07264817709823916,2.4833333333333334,0.13250786140200643,0.0,0.0,0.0,0.11666666666666668
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,19,3,0.52,0.0754983443527075,0.526213159163793,0.06994673833784236,2.46,0.1200000000000001,0.0,0.0,0.0,0.13
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,20,3,0.5133333333333333,0.06429100507328642,0.5148029327392578,0.0658626242040046,2.4466666666666668,0.10889597482613089,0.0,0.0,0.0,0.12333333333333334
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,21,3,0.5033333333333333,0.07023769168568494,0.5061168471972147,0.07426122888106514,2.436666666666667,0.10251016209787851,0.0,0.0,0.0,0.10666666666666667
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,22,3,0.52,0.06082762530298221,0.5116285880406698,0.06117317628787946,2.475,0.08674675786448736,0.0,0.0,0.0,0.12
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,23,3,0.5,0.07810249675906658,0.5146500468254089,0.06817079924490077,2.4499999999999997,0.09539392014169451,0.0,0.0,0.0,0.12333333333333334
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,24,3,0.5,0.07810249675906658,0.4941808780034383,0.08252997496146273,2.46,0.07810249675906641,0.0,0.0,0.0,0.10999999999999999
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,25,3,0.5033333333333333,0.07234178138070241,0.5027161737283071,0.06777076803625917,2.4616666666666664,0.07005949852327868,0.0,0.0,0.0,0.11
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,0.1,1.0,1.0,linear,True,26,3,0.5,0.08717797887081347,0.5037731726964315,0.0820195624890801,2.455,0.10037429949942359,0.0,0.0,0.0,0.10000000000000002
