toy,device,agent_count,training_backend,stage,repeats,epochs_per_repeat,seconds_per_run_mean,seconds_per_run_std,seconds_per_epoch_mean,seconds_per_epoch_std,share_of_steady_state_pct,share_of_hooked_step_pct
toy4,cpu,1024,tensor_batched,build_observations,3,10.0,0.003926772973500192,0.00038465447156221105,0.00039267729735001925,3.846544715622109e-05,2.9465698305140324,2.952789445076636
toy4,cpu,1024,tensor_batched,build_step_context,3,10.0,9.342554646233718e-05,6.441706487708077e-06,9.342554646233718e-06,6.441706487708081e-07,0.07017985488114785,0.07032574693393388
toy4,cpu,1024,tensor_batched,cache_refresh,3,10.0,3.539285777757565e-05,7.329596521736015e-07,3.539285777757565e-06,7.329596521736012e-08,0.026578935583467318,0.026634445459384593
toy4,cpu,1024,tensor_batched,commit_actions,3,10.0,4.629457059005896e-05,1.0833602222252761e-05,4.629457059005896e-06,1.083360222225276e-06,0.034670724067917595,0.034744385732477796
toy4,cpu,1024,tensor_batched,decision_selection,3,10.0,0.010112243665692707,0.000548339599092777,0.0010112243665692706,5.483395990927771e-05,7.591060669559984,7.606878904563806
toy4,cpu,1024,tensor_batched,finalize_hook_step,3,10.0,0.00010292096218715112,7.5003558734649784e-06,1.0292096218715113e-05,7.500355873464978e-07,0.07721659233021044,0.07737788798295213
toy4,cpu,1024,tensor_batched,hooked_step_total,3,10.0,0.1329241560694451,0.002750335392903065,0.01329241560694451,0.0002750335392903059,99.79111591152851,100.0
toy4,cpu,1024,tensor_batched,local_adam_update,3,10.0,0.028712478388721745,0.0017775776832762613,0.002871247838872175,0.00017775776832762617,21.56884798025807,21.614222545447518
toy4,cpu,1024,tensor_batched,local_autograd_grad,3,10.0,0.013351329447080692,0.0005440771402863502,0.001335132944708069,5.4407714028635056e-05,10.029436396964382,10.050350279016019
toy4,cpu,1024,tensor_batched,local_loss_forward,3,10.0,0.0088074920931831,0.002062139263663883,0.0008807492093183101,0.0002062139263663883,6.59436521599401,6.608075823817593
toy4,cpu,1024,tensor_batched,local_loss_update,3,10.0,0.052015080388324954,0.0009205976230199686,0.005201508038832496,9.205976230199702e-05,39.05204530198548,39.13384375428146
toy4,cpu,1024,tensor_batched,local_optimizer_update,3,10.0,0.043057336122728884,0.0015879262857159645,0.004305733612272889,0.0001587926285715966,32.34486197375267,32.41271360732318
toy4,cpu,1024,tensor_batched,local_step,3,10.0,0.08602630847599357,0.0023500782576069933,0.008602630847599357,0.00023500782576069872,64.57891744829331,64.71424237471376
toy4,cpu,1024,tensor_batched,local_trainable_parameters,3,10.0,0.004618270633121331,0.00014290682359072098,0.0004618270633121332,1.4290682359072116e-05,3.4666136811321917,3.473870648404962
toy4,cpu,1024,tensor_batched,local_training,3,10.0,0.05690294321781645,0.0010685326591973942,0.005690294321781645,0.00010685326591973952,42.72087803232315,42.81035508755823
toy4,cpu,1024,tensor_batched,mobility_swaps,3,10.0,0.0002461244584992528,2.1583797998156937e-05,2.461244584992528e-05,2.1583797998156928e-06,0.18460641676055992,0.18499258236072832
toy4,cpu,1024,tensor_batched,policy_readout,3,10.0,0.008172415080480278,0.0010625562488388648,0.0008172415080480278,0.00010625562488388643,6.128056072700285,6.1409928344680464
toy4,cpu,1024,tensor_batched,post_local_readout,3,10.0,0.0025493035403390727,0.00011137157550279437,0.0002549303540339073,1.1137157550279438e-05,1.913287057549395,1.9172887590188352
toy4,cpu,1024,tensor_batched,post_step_state_policy,3,10.0,0.00033673997192333144,3.168254993617369e-05,3.367399719233314e-05,3.1682549936173675e-06,0.25256474139266905,0.25309556718919374
toy4,cpu,1024,tensor_batched,sample_actions,3,10.0,1.0717155722280344e-05,1.6309627225872575e-06,1.0717155722280342e-06,1.6309627225872574e-07,0.008040847793977658,0.008057915441184442
toy4,cpu,1024,tensor_batched,sample_revision_mask,3,10.0,0.0002783043698097269,4.2245363486043015e-05,2.7830436980972687e-05,4.224536348604302e-06,0.20888408847148673,0.20932770369474363
toy4,cpu,1024,tensor_batched,select_peers,3,10.0,0.000638521509245038,2.4050036282038956e-05,6.38521509245038e-05,2.405003628203895e-06,0.47963497775887687,0.4806353561863325
toy4,cpu,1024,tensor_batched,social_adam_update,3,10.0,0.013778197967136899,0.0004557149078675825,0.0013778197967136898,4.557149078675821e-05,10.347258092048344,10.368980537990355
toy4,cpu,1024,tensor_batched,social_autograd_grad,3,10.0,0.008098576101474464,0.0008954561680677788,0.0008098576101474463,8.954561680677786e-05,6.076222334698913,6.088837757234363
toy4,cpu,1024,tensor_batched,social_distillation,3,10.0,0.03826044391219815,0.0008493300183878294,0.0038260443912198146,8.493300183878269e-05,28.727731332264483,28.787743834919368
toy4,cpu,1024,tensor_batched,social_loss_forward,3,10.0,0.0036135989163691797,0.0004799172566370761,0.000361359891636918,4.799172566370761e-05,2.710791865871093,2.7164102563603243
toy4,cpu,1024,tensor_batched,social_mix,3,10.0,0.004208414233289659,0.0002966720620845811,0.00042084142332896593,2.9667206208458108e-05,3.1632387229423933,3.169837299323724
toy4,cpu,1024,tensor_batched,social_optimizer_update,3,10.0,0.024834895972162485,0.0006672580130004405,0.0024834895972162484,6.672580130004408e-05,18.643590823521585,18.682574612640273
toy4,cpu,1024,tensor_batched,social_step,3,10.0,0.038381516855830945,0.0008572792748836093,0.003838151685583095,8.572792748836102e-05,28.818622108468343,28.878823735031947
toy4,cpu,1024,tensor_batched,steady_state_total,3,10.0,0.13320246043925485,0.002760115260504708,0.013320246043925482,0.0002760115260504708,100.0,100.20932770369474
