toy,scenario,peer_rule,training_backend,resolved_training_backend,device,agent_count,epochs,seed,warmup_runs,repeats,seconds,seconds_std,seconds_min,seconds_max,epochs_per_second,epochs_per_second_std,agent_steps_per_second,agent_steps_per_second_std,final_action_rate,final_action_rate_std,final_mean_policy_action_probability,final_mean_policy_action_probability_std,final_mean_reputation,final_mean_reputation_std,loop_speedup,final_action_rate_diff_vs_loop,final_mean_policy_action_probability_diff_vs_loop,final_mean_reputation_diff_vs_loop,parity_passed_vs_loop,timing_make_run_dir_seconds,timing_write_metadata_seconds,timing_initial_state_seconds,timing_writer_setup_seconds,timing_initial_step_result_seconds,timing_initial_aggregate_row_seconds,timing_write_initial_aggregate_seconds,timing_sample_revision_mask_seconds,timing_hooked_step_total_seconds,timing_build_step_context_seconds,timing_local_step_seconds,timing_neural_context_peers_seconds,timing_build_observations_seconds,timing_policy_readout_seconds,timing_decision_selection_seconds,timing_local_training_seconds,timing_local_trainable_parameters_seconds,timing_local_loss_update_seconds,timing_local_loss_forward_seconds,timing_local_optimizer_update_seconds,timing_local_autograd_grad_seconds,timing_local_adam_update_seconds,timing_cache_refresh_seconds,timing_post_local_readout_seconds,timing_select_peers_seconds,timing_social_step_seconds,timing_social_distillation_seconds,timing_social_trainable_parameters_seconds,timing_social_loss_update_seconds,timing_social_mix_seconds,timing_social_loss_forward_seconds,timing_social_optimizer_update_seconds,timing_social_autograd_grad_seconds,timing_social_adam_update_seconds,timing_sample_actions_seconds,timing_commit_actions_seconds,timing_post_step_state_policy_seconds,timing_update_payoff_ema_seconds,timing_update_reputation_ema_seconds,timing_mobility_swaps_seconds,timing_finalize_hook_step_seconds,timing_aggregate_row_seconds,timing_write_aggregate_seconds,timing_write_micro_seconds,timing_make_run_dir_seconds_std,timing_write_metadata_seconds_std,timing_initial_state_seconds_std,timing_writer_setup_seconds_std,timing_initial_step_result_seconds_std,timing_initial_aggregate_row_seconds_std,timing_write_initial_aggregate_seconds_std,timing_sample_revision_mask_seconds_std,timing_hooked_step_total_seconds_std,timing_build_step_context_seconds_std,timing_local_step_seconds_std,timing_neural_context_peers_seconds_std,timing_build_observations_seconds_std,timing_policy_readout_seconds_std,timing_decision_selection_seconds_std,timing_local_training_seconds_std,timing_local_trainable_parameters_seconds_std,timing_local_loss_update_seconds_std,timing_local_loss_forward_seconds_std,timing_local_optimizer_update_seconds_std,timing_local_autograd_grad_seconds_std,timing_local_adam_update_seconds_std,timing_cache_refresh_seconds_std,timing_post_local_readout_seconds_std,timing_select_peers_seconds_std,timing_social_step_seconds_std,timing_social_distillation_seconds_std,timing_social_trainable_parameters_seconds_std,timing_social_loss_update_seconds_std,timing_social_mix_seconds_std,timing_social_loss_forward_seconds_std,timing_social_optimizer_update_seconds_std,timing_social_autograd_grad_seconds_std,timing_social_adam_update_seconds_std,timing_sample_actions_seconds_std,timing_commit_actions_seconds_std,timing_post_step_state_policy_seconds_std,timing_update_payoff_ema_seconds_std,timing_update_reputation_ema_seconds_std,timing_mobility_swaps_seconds_std,timing_finalize_hook_step_seconds_std,timing_aggregate_row_seconds_std,timing_write_aggregate_seconds_std,timing_write_micro_seconds_std
toy4,neural_output_average_output_similarity,output_similarity,batched,batched,cpu,1024,3,1,0,2,1.511312471004203,0.6817746849288726,1.0292249680496752,1.9933999739587307,2.2098905220769542,0.9969132415186214,2262.927894606801,1020.8391593150683,0.4365234375,0.0,0.416683554649353,0.0,0.49820507812500003,0.0,,,,,,0.0001384670613333583,0.002299262094311416,0.8958156284643337,0.00037259096279740334,0.020001832977868617,0.009307384956628084,4.417332820594311e-05,4.132348112761974e-05,0.47579946857877076,1.9266619347035885e-05,0.257430040393956,0.0,0.0007162471301853657,0.001345635624602437,0.002694310969673097,0.25019220856484026,0.0007809968665242195,0.2493412154726684,0.002423392841592431,0.13575914618559182,0.0034042219631373882,0.1312585260020569,2.116011455655098e-05,0.0012583100469782948,0.06578239297959954,0.14715933287516236,0.14709043642506003,0.0014095664955675602,0.1437601549550891,0.005611945874989033,0.0016446169465780258,0.13622736791148782,0.002771607949398458,0.1324903704226017,5.419482477009296e-06,2.760754432529211e-05,0.00011798448394984007,0.00011602998711168766,5.895690992474556e-05,0.00010101031512022018,3.7014600820839405e-05,0.06801047641783953,0.00015634146984666586,0.0,1.1327788717937749e-05,0.00036766424635386317,0.5918253673366779,2.3924263430504207e-05,0.0031129202975352013,0.002013647676399206,2.2097460965360144e-06,8.734934353882787e-06,0.07319960994466519,5.228020212747812e-06,0.08000967451336154,0.0,0.00012856896138248224,9.192063024098993e-05,0.0002801558643163575,0.07996378779058981,3.718702054902218e-05,0.07999860125209594,0.0006699949506152688,0.0027575665529413133,0.0008220851461893698,0.0018892915888704164,1.2347709524675985e-06,0.0003337584238158649,0.00930675859296793,0.0022321962080853993,0.002245634796587549,0.00039887810357935513,0.002784708135565567,0.0006499314043628133,0.0003495481808476396,0.003812881163533335,0.0005155315252705251,0.004404032860747135,4.67401964540735e-07,1.3000162495959865e-05,1.5359398195807958e-05,1.0087584773279294e-05,7.912741535666363e-06,1.8249585405217117e-05,1.206782810878333e-07,0.004039449779509995,1.8709084835662058e-05,0.0
toy4,neural_output_average_output_similarity,output_similarity,batched,batched,cuda,1024,3,1,0,2,1.9760876485379413,0.7779540205932242,1.4259910851251334,2.526184211950749,1.6456809100164693,0.6478781857211974,1685.1772518568646,663.4272621785061,0.4365234375,0.0,0.416683554649353,0.0,0.49820507812500003,0.0,,,,,,0.0002577780978754163,0.00266846246086061,0.5495025455020368,0.00046360399574041367,0.1435177264502272,0.028109970036894083,5.930755287408829e-05,6.922159809619188e-05,1.0442425669170916,3.3523072488605976e-05,0.583287374000065,0.0,0.001765666645951569,0.0015974220586940646,0.002659615478478372,0.5613262671977282,0.00023759959731251001,0.5609726115362719,0.051061084028333426,0.36128356552217156,0.02389488706830889,0.3213275533635169,4.8811896704137325e-05,0.0014315085718408227,0.06536269409116358,0.3779008692363277,0.37780263798777014,0.0005373840685933828,0.3742680345894769,0.12177689303644001,0.0016180562088266015,0.25045427586883307,0.0020989481126889586,0.24705430155154318,2.3173983208835125e-05,3.3964868634939194e-05,0.00010053510777652264,0.00012958061415702105,6.881507579237223e-05,9.031163062900305e-05,4.757440183311701e-05,0.16252366895787418,0.00019651756156235933,0.0,0.0001246728474371295,0.0009391983965832386,0.10753896912515346,5.586136716188815e-05,0.175114106996095,0.020912755200567425,1.7500820299640765e-06,4.194105335214943e-06,0.46460832884654696,5.115079829628776e-06,0.3067072351510465,0.0,0.0005296661953176122,0.00019429186791528462,2.1020246786427413e-05,0.28901969591605997,4.605366380450151e-06,0.2890158205462666,0.06906673969979728,0.20129684684109242,0.029878317603410205,0.15030894002276257,2.239874507776224e-06,0.00025659281254848177,0.014087370252437363,0.1541902579547461,0.15419210648918003,8.266939699284869e-05,0.15338103747552018,0.1624789821417189,0.00038994412414793453,0.009587293449648631,0.0004322542916968083,0.01012542918588341,1.4142243308928896e-07,7.507407391003e-07,6.028974970581795e-06,6.015310172041153e-06,1.7212707077398323e-06,8.969540834851631e-06,7.867960509123538e-07,0.0020385123413871097,1.4118700342768514e-05,0.0
toy4,neural_output_average_output_similarity,output_similarity,tensor_batched,tensor_batched,cpu,1024,3,1,0,2,0.6967108745593578,0.0909532112366061,0.6323972421232611,0.7610245069954544,4.342954048292919,0.5669577314909646,4447.184945451949,580.5647170467478,0.4365234375,0.0,0.416683554649353,0.0,0.49820507812500003,0.0,,,,,,0.00014197395648807287,0.0020360390190035105,0.49587708502076566,0.0004409410757943988,0.019891053903847933,0.008259679423645139,4.612246993929148e-05,4.348705988377333e-05,0.0636103234719485,1.475820317864418e-05,0.016533440677449107,0.0,0.0008704590145498514,0.0008898359956219792,0.0032766753574833274,0.009945729630999267,4.031637217849493e-05,0.009661927702836692,0.0010898156324401498,0.008532526437193155,0.002599191851913929,0.005731972982175648,8.736620657145977e-06,0.000659394427202642,0.026469166157767177,0.016901012510061264,0.01684629754163325,4.925299435853958e-05,0.010343499481678009,0.005171305732801557,0.0018559879390522838,0.008442410500720143,0.00259895040653646,0.0056555893970653415,2.805376425385475e-06,2.0769191905856133e-05,8.88393260538578e-05,9.81504563242197e-05,7.794308476150036e-05,0.0003280714154243469,3.406940959393978e-05,0.03386644728016108,0.00013840373139828444,0.0,2.7367957298872843e-05,0.00013306056419917837,0.09734487761932586,5.9262584909491903e-05,0.0031935559444512727,0.0008935177982425093,1.1667926956310824e-05,9.277245756206557e-07,0.008949383116734535,1.162001784335508e-06,0.0005074276411914167,0.0,2.3789591078621743e-05,7.982794207703024e-05,0.00011559876266163559,0.00045758784037439553,4.80358827735295e-06,0.00043842518300886034,0.00010684835251181521,0.0003299466035675339,0.0001291995177488757,0.00018130635803462737,1.189825289797778e-06,5.094483850141617e-05,0.010616738456333569,0.0010522589640749819,0.0010540735834667283,4.524200769841281e-07,0.0014226020048511917,0.000377922558790837,0.0005226365619671506,0.0009066162485062856,0.0003148695563295236,0.0005820188373409684,4.672373284137393e-07,2.636153665454825e-06,1.5118535542013278e-05,1.1058608650299813e-05,9.995717814415704e-06,1.5145535866840569e-05,1.3822849222557277e-06,0.0010833328805925275,1.67220914189512e-06,0.0
toy4,neural_output_average_output_similarity,output_similarity,tensor_batched,tensor_batched,cuda,1024,3,1,0,2,1.0701574014965445,0.00723984075740962,1.0650380610022694,1.0752767419908196,2.8033900896242097,0.018965525820217342,2870.6714517751907,19.42069843990256,0.4365234375,0.0,0.416683554649353,0.0,0.49820507812500003,0.0,,,,,,0.00019979896023869514,0.0021907874615862966,0.7537148289848119,0.0005465210415422916,0.02313389047048986,0.028686348465271294,6.793404463678598e-05,0.0001275914255529642,0.08642096701078117,4.315259866416454e-05,0.020551716908812523,0.0,0.0021289755823090672,0.0021220071939751506,0.004613964119926095,0.009304099017754197,8.420005906373262e-05,0.008821765193715692,0.0023609300842508674,0.006359003717079759,0.0030587726505473256,0.002620461513288319,2.9009534046053886e-05,0.0006484590703621507,0.041920211049728096,0.01774501265026629,0.017609621630981565,7.792306132614613e-05,0.006554082036018372,0.009009465458802879,0.0015823600115254521,0.0048708871472626925,0.0018715315964072943,0.0023729578824713826,2.2513559088110924e-05,4.191987682133913e-05,0.0001194917131215334,0.00018915848340839148,0.00014973303768783808,0.0011011621681973338,6.450200453400612e-05,0.05026718112640083,0.00021986127831041813,0.0,1.1958509720458199e-05,5.8894129257275567e-05,0.012021761274088669,0.0001509064618210021,0.00011840300981275301,0.004145818711619999,1.2518766460624497e-05,2.802765425974453e-05,0.0006349475411726825,2.8758638663605348e-06,0.0016653168150745727,0.0,0.00021487335942326855,0.0007052256000672013,0.0002726831951481506,0.0003770997074281126,9.975796843049227e-06,0.00041816325022337505,0.0006575894538100173,0.00023555939487189472,5.855333247439451e-05,0.0006734719009812906,1.4939082163587987e-06,8.250525477423399e-05,0.0021640436015903947,0.0008502965343668415,0.0008749280745989191,1.1854130415942938e-05,0.0009862049742907911,0.0001794222621972888,0.00036184765198710584,0.000619148399881669,0.00034026204474057526,0.0001943837348741482,2.8646686097248287e-08,1.899406997149158e-06,1.7675663866510175e-05,1.3913563728531897e-05,9.633682971152205e-06,5.0009705300080704e-05,3.0898908314549187e-06,0.002695041373903148,1.5890678977623015e-05,0.0
toy4,neural_output_average_output_similarity,output_similarity,batched,batched,cpu,2048,3,1,0,2,3.0727179180830717,0.026303625567605265,3.054118446074426,3.0913173900917172,0.9763701075416829,0.008358096775834423,1999.6059802453665,17.1173821969089,0.43701171875,0.0,0.4180968403816223,0.0,0.49181591796875,0.0,,,,,,0.00020544405560940504,0.002273955033160746,0.9090395425446332,0.00039436202496290207,0.21490241296123713,0.12252478545997292,8.20803688839078e-05,7.183605339378119e-05,1.4096087721409276,2.6034540496766567e-05,0.5049882613820955,0.0,0.0019969495479017496,0.003942737355828285,0.006936151534318924,0.4881995056057349,0.0019596749916672707,0.4861473711207509,0.0035034596221521497,0.3601717703277245,0.003748438786715269,0.35427317616995424,2.156081609427929e-05,0.002055947668850422,0.43574425333645195,0.46191209461539984,0.46182075678370893,0.0030121650779619813,0.4549350660527125,0.010372308897785842,0.0027479378040879965,0.4414345226250589,0.003353986539877951,0.43565783952362835,4.9694208428263664e-06,1.6257166862487793e-05,9.472458623349667e-05,0.0001613055355846882,6.414554081857204e-05,8.557271212339401e-05,2.9085204005241394e-05,0.3445433994056657,0.00023970461916178465,0.0,0.00010968931351925266,6.511309431841038e-05,0.018147921608980523,7.361539782484827e-05,0.091297758265824,0.008520952663723328,1.4899404856982028e-05,6.093676968491097e-06,0.1173302422909743,1.4091206109560234e-06,0.10192312727720693,0.0,0.00026628444743633645,0.0011496079766952732,0.0006356429641731122,0.1039952201201451,0.00022778066714360286,0.10421853075180464,0.0009414158805777435,0.10373811479533328,0.0003928711898497907,0.10419110648895033,1.2459662091033047e-06,2.7374378107825674e-05,0.019134765536080182,0.0033626642472006627,0.003345243110786488,0.00020139097771133834,0.0023921380651920512,6.258461268001072e-05,0.00014024462623676186,0.0022199904149021936,0.00019333368565616977,0.0013705829156211288,1.5026339310895697e-06,1.7774116270453593e-06,8.467565283641804e-06,2.5759297701998055e-05,1.3864337526560188e-05,1.2837337366361138e-05,2.734935341652233e-06,0.021830294891463747,2.4953074588100212e-05,0.0
toy4,neural_output_average_output_similarity,output_similarity,batched,batched,cuda,2048,3,1,0,2,3.740863533457741,0.05658840721341841,3.7008494869805872,3.780877579934895,0.8020456389434574,0.012132622538712935,1642.5894685562007,24.84761095928409,0.43701171875,0.0,0.4180968403816223,0.0,0.49181591796875,0.0,,,,,,0.00025835947599262,0.002343737054616213,1.2073946414748207,0.0004902145592495799,0.15326023346278816,0.11658600450027734,9.039149153977633e-05,9.297661017626524e-05,1.8445007489062846,3.718980588018894e-05,0.9220960484817624,0.0,0.0028890256071463227,0.0022481406340375543,0.0054221926257014275,0.9061806439422071,0.00042161846067756414,0.9056040520081297,0.002567506511695683,0.6118681929074228,0.0037972525460645556,0.6057654609903693,6.860902067273855e-05,0.001941749476827681,0.4374581625452265,0.47739308211021125,0.4772717369487509,0.0009444244205951691,0.4734256175579503,0.01141881791409105,0.00197227846365422,0.459615062456578,0.0025925789959728718,0.45496477792039514,2.5177840143442154e-05,3.589352127164602e-05,0.00012056855484843254,0.0001825656509026885,9.929412044584751e-05,0.0001136045902967453,5.656201392412186e-05,0.3323845574632287,0.00022895913571119308,0.0,0.00015832480106730044,0.0005587190387401587,0.10087407641270259,4.731757535144735e-05,0.0009867471210569878,0.019159543931737542,2.37607797563975e-05,8.897430211227524e-06,0.05011502204270308,1.968718806614339e-06,0.031418456467410025,0.0,0.00040350553120082266,0.00011013547742341096,0.0002653792780101142,0.032350832342890566,0.0001719691847281944,0.03252791611354001,9.820660220581198e-05,0.020311684835246643,0.0005686517009179351,0.02117510879583561,5.52535305810201e-06,0.00018499124382904467,0.004241693901631425,0.014258786918323359,0.014243066967009431,0.00010426208359284007,0.014208140729756314,0.0013960055324434206,0.00026795072967765975,0.012529809922751113,0.0005811200887236989,0.011991699375843766,3.0319389147524393e-06,2.146031915388686e-06,2.0147510677223313e-05,3.882300974297825e-05,6.914717333818552e-09,9.492919082570898e-06,4.880473348659932e-06,0.01737495367564679,1.868191987470777e-05,0.0
toy4,neural_output_average_output_similarity,output_similarity,tensor_batched,tensor_batched,cpu,2048,3,1,0,2,2.442585263866931,0.09965394309365005,2.372119284933433,2.5130512428004295,1.2292299093706895,0.050150800976957295,2517.462854391172,102.70884040080854,0.43701171875,0.0,0.4180968403816223,0.0,0.49181591796875,0.0,,,,,,0.0002295500598847866,0.0024457909166812897,1.0359169848961756,0.0006714279297739267,0.1376506939996034,0.10662155703175813,8.978997357189655e-05,0.00016969756688922644,0.5140608854126185,2.540857531130314e-05,0.03106828557793051,0.0,0.002652377006597817,0.003505849512293935,0.00718650093767792,0.014884417061693966,6.99175288900733e-05,0.014462447026744485,0.001984615344554186,0.012434206320904195,0.0034680047538131475,0.008712322916835546,9.2765549197793e-06,0.0009565980872139335,0.4414087930927053,0.03397092199884355,0.03387292183469981,7.582339458167553e-05,0.01924788113683462,0.011706328019499779,0.00495946011506021,0.014203752274625003,0.003981360932812095,0.009892319329082966,4.644040018320084e-06,5.2203889936208725e-05,0.00016064837109297514,0.00030707591213285923,0.00018230092246085405,0.0005985447205603123,4.599196836352348e-05,0.33950633206404746,0.00024489290080964565,0.0,4.3832063906821814e-05,0.00023583565429299348,0.09398193859442924,0.0001699219344890031,0.0013564485748462957,0.008648071510099232,2.6878494093314686e-05,6.766709455649436e-06,0.03760705768764302,3.1741845284767066e-06,0.0005949842616141322,0.0,0.0003900725403269912,0.0013796286829827794,5.855958864722035e-05,0.0009427277012376451,1.836186724382817e-06,0.00088495968308902,4.461639041582923e-07,0.0008869647864797003,0.0002072070781697147,0.0010899909302043598,2.820381491562991e-06,4.449669995150337e-05,0.037986574088779305,0.001195048535562843,0.0012047754025818747,8.791569181569302e-07,0.001543087990942694,1.681922673387865e-05,0.0010502629156712861,0.0004414913662380279,0.000545371658652365,0.00013981986502911302,4.171879458070526e-07,3.0200521863833514e-05,4.616907372952549e-05,0.00019107603044667801,7.489116317293779e-05,0.00015570264147264025,1.1072108812713458e-05,0.0167058191134312,2.0121827441411988e-06,0.0
toy4,neural_output_average_output_similarity,output_similarity,tensor_batched,tensor_batched,cuda,2048,3,1,0,2,2.9434737279079854,0.05601285413069294,2.9038666589185596,2.9830807968974113,1.0193885045167375,0.019398460759010437,2087.7076572502783,39.728047634453375,0.43701171875,0.0,0.4180968403816223,0.0,0.49181591796875,0.0,,,,,,0.00020976795349270105,0.0021606250666081905,1.5030165074858814,0.0006099110469222069,0.14766620041336864,0.0997692421078682,7.342908065766096e-05,0.00021612935233861208,0.55613430053927,5.5785058066248894e-05,0.02464233140926808,0.0,0.0025509699480608106,0.0022406624630093575,0.007079819566570222,0.00871454190928489,7.709639612585306e-05,0.00819044397212565,0.0018421773565933108,0.006248558289371431,0.0035411521093919873,0.0023130488116294146,3.332283813506365e-05,0.0007446611998602748,0.49120727402623743,0.03120229602791369,0.031022420385852456,0.00014311587437987328,0.00821959984023124,0.020191540708765388,0.002876506536267698,0.005230478011071682,0.0026391419814899564,0.0022016726434230804,2.2572465240955353e-05,5.025602877140045e-05,0.0001288340426981449,0.0002595364348962903,0.0001695370301604271,0.0016941506182774901,7.581303361803293e-05,0.3699143008561805,0.00026504206471145153,0.0,4.8542797408549195e-05,3.825485046871616e-06,0.11236146454460284,7.446524951239997e-05,0.003244633808943301,0.007697277297183307,4.661342663628682e-06,6.897479931322105e-05,0.07909192079550012,2.5362524635938468e-05,0.0028397840237655587,0.0,0.0010326019044200787,0.0007591816333313684,0.0010114392473838,9.989873231907357e-05,1.8009545932057415e-06,0.0001649413623751298,9.299949078119262e-05,0.0002597534969145449,0.00039800767237592894,9.559069878397762e-05,5.993578203277724e-06,0.00014796655450124023,0.05861903924658687,0.016165878142063914,0.016064575886762203,9.581723809472367e-05,0.003041105031122924,0.011980066187110252,0.0017020999832040745,0.0013067841115045249,0.0009535011601159883,0.00023545995465118933,6.387881727432376e-07,1.20727671925932e-05,2.623937664831746e-05,6.810354492915991e-05,2.5880140619212885e-05,0.00010541733529596876,2.1181919463137168e-05,0.08260843832655888,4.4433315042610034e-05,0.0
toy5,neural_output_average_output_similarity,output_similarity,batched,batched,cpu,1024,3,1,0,2,1.024176080012694,0.02719771531175296,1.0049443910829723,1.0434077689424157,2.9302170199923117,0.07781397151007091,3000.542228472127,79.68150682631261,0.8994140625,0.0,0.548489511013031,0.0,0.24005859374999994,0.0,,,,,,0.0001561860553920269,0.00199175497982651,0.5081625699531287,0.00033114291727542877,0.020240193465724587,0.008699793950654566,3.697490319609642e-05,2.917042002081871e-05,0.42018488491885364,0.008264345582574606,0.18836010491941124,0.0,0.012346881558187306,0.0016187481814995408,0.001880739931948483,0.1708467457210645,0.0006972067058086395,0.17007178138010204,0.001855807495303452,0.12074026244226843,0.002365188440307975,0.11739004880655557,2.230785321444273e-05,0.0009514278499409556,0.06760687800124288,0.15074588602874428,0.15066944085992873,0.001093853497877717,0.1478698393329978,0.006907763541676104,0.0012814239598810673,0.1394079166930169,0.002354743075557053,0.1359025773126632,3.8477592170238495e-06,0.00013122858945280313,5.0887116231024265e-05,0.0,7.47219892218709e-05,0.0,1.0450021363794804e-05,0.03415965160820633,0.0001326914643868804,0.0,3.6102068472120654e-05,0.0001049925740883199,0.0141727589443398,7.559827533838424e-05,0.0012455536309690536,5.736334254846974e-05,1.4807373261991442e-06,6.045109311027371e-06,0.013256252345140374,1.1378002736671431e-05,0.00021072782174551733,0.0,2.804905695625397e-06,0.000260242136939468,0.00018239098083927492,7.757473204296738e-05,1.9263743947510504e-05,5.121368929680011e-05,6.134177455732034e-06,0.0010584375932850027,5.8438581093878526e-05,0.00097173131845822,2.699538574348162e-06,4.055827452151272e-05,0.004258765515547988,0.00836691581058363,0.008362397372078233,1.7484685959195188e-05,0.007946430038516727,5.6491100347646627e-05,6.338523816559071e-05,0.007784883143807994,4.575073333082946e-06,0.0076783105568088966,9.77938594354338e-07,8.742013707343602e-06,7.057127583669815e-06,0.0,7.2833376221618795e-06,0.0,2.688507953839451e-07,0.0011195841093957061,5.819887089297281e-07,0.0
toy5,neural_output_average_output_similarity,output_similarity,batched,batched,cuda,1024,3,1,0,2,1.3997734705917537,0.010841368975823235,1.3921074650716037,1.4074394761119038,2.1432682111178867,0.016599801310035325,2194.706648184716,16.998196541476172,0.8994140625,0.0,0.5484895706176758,0.0,0.24005859374999994,0.0,,,,,,0.00019696296658366919,0.002130128093995154,0.49654119706247,0.0005223450716584921,0.021689190063625574,0.10737360909115523,5.7062599807977676e-05,6.30643917247653e-05,0.7002870505675673,0.008374508353881538,0.3754535011248663,0.0,0.012378577375784516,0.0016424679197371006,0.002225006464868784,0.35580201842822134,0.0006507290527224541,0.3550031735794619,0.002129086060449481,0.21907873882446438,0.002822717186063528,0.214895278098993,4.4770073145627975e-05,0.0015412064967676997,0.06558376946486533,0.24453019944485277,0.24440136505290866,0.0010047145187854767,0.24103185487911105,0.008610620512627065,0.0016060445923358202,0.23043121106456965,0.0025782115990296006,0.22654541139490902,2.3845583200454712e-05,0.0001770713133737445,7.857335731387138e-05,0.0,0.00010397157166153193,0.0,2.4692155420780182e-05,0.03450644854456186,0.00016428646631538868,0.0,2.082861033460444e-05,0.00016737781241853888,0.0018459616651509314,0.00020581195162955331,0.0035274699494071485,0.0009213671515767175,5.5047735422275505e-06,1.5988308200931454e-05,0.014119531425937588,0.00011522964846491128,0.00928508852738825,0.0,0.00026330881407701654,0.0007804914750651812,0.0004899778580911445,0.007288923725950843,0.000625171777223933,0.006645496271784994,3.7123141731747856e-05,0.005097648979683109,0.0002103743479808576,0.004662291461628559,4.046097457045827e-06,0.00021596983602905977,0.0013566247355021811,0.0035923192966501117,0.003611320445975064,0.0008358138235472855,0.00500235479056385,7.543643802554749e-05,0.0001892551548821058,0.004783202538199964,0.0008038992749653,0.0040152370735849945,1.1478430774138797e-06,1.648007631226755e-07,4.461639041582923e-07,0.0,1.2447314381508373e-05,0.0,1.1116231294748302e-06,0.0013585875274082235,1.3551528885268396e-05,0.0
