toy,device,agent_count,stage,batched_seconds_per_epoch,tensor_batched_seconds_per_epoch,speedup,tensor_minus_batched_seconds_per_epoch,tensor_share_of_steady_state_pct,tensor_share_of_hooked_step_pct
toy4,cpu,1024,build_observations,0.011503792216535658,0.013293010904453695,0.865401548168551,0.0017892186879180372,17.623131727844644,17.6865199565042
toy4,cpu,1024,build_step_context,5.902793491259217e-05,9.216407779604197e-05,0.6404657467871626,3.31361428834498e-05,0.1215022667789386,0.1219352076163574
toy4,cpu,1024,cache_refresh,3.6936730612069366e-05,1.692681107670069e-05,2.182143490861773,-2.0009919535368677e-05,0.022038174315974553,0.022115036773654312
toy4,cpu,1024,commit_actions,2.519992412999272e-05,2.169419312849641e-05,1.1615976672066848,-3.5057310014963116e-06,0.0286405229302156,0.028742819349123067
toy4,cpu,1024,decision_selection,0.006561999674886465,0.008164056693203747,0.8037670390443356,0.0016020570183172822,10.826774204120587,10.86573664518571
toy4,cpu,1024,finalize_hook_step,2.323221415281296e-05,3.235097974538803e-05,0.7181301566647283,9.11876559257507e-06,0.04255355384642272,0.0427046074375689
toy4,cpu,1024,hooked_step_total,0.31859247119864453,0.07572051850147546,4.207478732365476,-0.24287195269716907,99.64601004645772,100.0
toy4,cpu,1024,local_adam_update,0.051279816194437444,0.010325748776085674,4.966208001612528,-0.04095406741835177,13.691499436565811,13.74075921176559
toy4,cpu,1024,local_autograd_grad,0.0034933978924527763,0.0068416770664043725,0.5106054931482937,0.003348279173951596,8.987549226439,9.019381503276744
toy4,cpu,1024,local_loss_forward,0.003622003784403205,0.004326813435181975,0.8371065308599035,0.0007048096507787701,5.689478208399187,5.709662935309302
toy4,cpu,1024,local_loss_update,0.16369674199959264,0.022747552779037505,7.196235286920344,-0.14094918922055513,30.013466787015222,30.120560766036405
toy4,cpu,1024,local_optimizer_update,0.05614821349736303,0.01835536239668727,3.058954232769412,-0.03779285110067576,24.23911485073793,24.325729580589076
toy4,cpu,1024,local_step,0.19310694170417264,0.05764561670366675,3.3498980971416934,-0.1354613250005059,76.12843974482477,76.40050120120723
toy4,cpu,1024,local_trainable_parameters,0.001746986887883395,0.0026540569961071014,0.6582326191358466,0.0009070701082237065,3.47088301739275,3.4830820629458468
toy4,cpu,1024,local_training,0.1655642919940874,0.02579549928195775,6.418340276510512,-0.13976879271212966,33.99913814292071,34.120238504638564
toy4,cpu,1024,mobility_swaps,8.768240222707392e-05,0.0001054768799804151,0.8312949932094573,1.7794477753341187e-05,0.13751363971031288,0.13799437828381536
toy4,cpu,1024,policy_readout,0.004333292006049305,0.00734804020030424,0.5897207810417107,0.0030147481942549353,9.698795463640494,9.733424786768637
toy4,cpu,1024,post_local_readout,0.0026130687911063433,0.0009837886085733772,2.656128327096241,-0.001629280182532966,1.2939105669708195,1.2985027744471065
toy4,cpu,1024,post_step_state_policy,0.00011583432788029314,0.0001673293183557689,0.6922536290622473,5.149499047547577e-05,0.21862275773682702,0.21938990637313135
toy4,cpu,1024,sample_actions,4.944007378071546e-06,3.4066149964928625e-06,1.4512961937763562,-1.5373923815786837e-06,0.00469217147672191,0.004710100132088572
toy4,cpu,1024,sample_revision_mask,0.00017838301137089728,0.0002638535923324525,0.6760681550476552,8.547058096155521e-05,0.35398995354227636,0.35528824830849703
toy4,cpu,1024,select_peers,0.00023245499469339847,0.00025201572570949794,0.9223828951108892,1.956073101609947e-05,0.3333686421734344,0.3345633053000025
toy4,cpu,1024,social_adam_update,0.108877195592504,0.004848374566063285,22.456432379338334,-0.10402882102644072,6.313508675606319,6.335534838025566
toy4,cpu,1024,social_autograd_grad,0.002025664504617453,0.0023413422983139752,0.865172301408536,0.00031567779369652245,3.0208108723892186,3.031178863034286
toy4,cpu,1024,social_distillation,0.12038504029624164,0.01364685200387612,8.821451296024067,-0.10673818829236552,17.725430784198345,17.786993937534326
toy4,cpu,1024,social_loss_forward,0.0011916681076399982,0.0014577276189811526,0.8174833844973651,0.00026605951134115445,1.8880192447711428,1.8945438351772181
toy4,cpu,1024,social_loss_update,0.115068500302732,0.0,inf,-0.115068500302732,0.0,0.0
toy4,cpu,1024,social_mix,0.0013486684765666723,0.002189072803594172,0.6160911936562067,0.0008404043270274996,2.8287203184926626,2.8384558544853986
toy4,cpu,1024,social_optimizer_update,0.11218817468034104,0.007763460895512254,14.450794071132957,-0.10442471378482879,10.084061979634068,10.119087722791043
toy4,cpu,1024,social_step,0.12043459562119097,0.01369208691176027,8.79592690269505,-0.1067425087094307,17.78455037797403,17.846321093316863
toy4,cpu,1024,social_trainable_parameters,0.0009276478900574148,0.0,inf,-0.0009276478900574148,0.0,0.0
