toy,device,agent_count,training_backend,stage,repeats,epochs_per_repeat,seconds_per_run_mean,seconds_per_run_std,seconds_per_epoch_mean,seconds_per_epoch_std,share_of_steady_state_pct,share_of_hooked_step_pct
toy4,cpu,1024,batched,build_observations,2,5.0,0.05751896108267829,0.010111869013601473,0.011503792216535658,0.002022373802720295,4.247311654059421,4.249594571458911
toy4,cpu,1024,batched,build_step_context,2,5.0,0.00029513967456296086,0.00023421835129945143,5.902793491259217e-05,4.684367025989028e-05,0.01731844002064722,0.017327993830934925
toy4,cpu,1024,batched,cache_refresh,2,5.0,0.00018468365306034684,0.00013464790341760722,3.6936730612069366e-05,2.692958068352145e-05,0.011129441693459755,0.01113556114713649
toy4,cpu,1024,batched,commit_actions,2,5.0,0.00012599962064996362,6.562717062495439e-05,2.519992412999272e-05,1.3125434124990876e-05,0.008236954896244188,0.008241440701881323
toy4,cpu,1024,batched,decision_selection,2,5.0,0.032809998374432325,0.005087122145723004,0.006561999674886465,0.001017424429144601,2.4394661072969552,2.440776397418131
toy4,cpu,1024,batched,finalize_hook_step,2,5.0,0.00011616107076406479,5.647019155951817e-06,2.323221415281296e-05,1.1294038311903634e-06,0.00921738749226863,0.009222306754242756
toy4,cpu,1024,batched,hooked_step_total,2,5.0,1.5929623559932224,1.0004571300775094,0.31859247119864453,0.2000914260155019,99.94531088306297,100.0
toy4,cpu,1024,batched,local_adam_update,2,5.0,0.2563990809721872,0.12062900286084546,0.051279816194437444,0.02412580057216909,17.078580092004138,17.08786138266089
toy4,cpu,1024,batched,local_autograd_grad,2,5.0,0.017466989462263882,0.008625792620121923,0.0034933978924527763,0.0017251585240243845,1.1534501093579483,1.1540775558234322
toy4,cpu,1024,batched,local_loss_forward,2,5.0,0.018110018922016025,0.009913365506603449,0.003622003784403205,0.00198267310132069,1.1721045599640174,1.1727436126420099
toy4,cpu,1024,batched,local_loss_update,2,5.0,0.8184837099979632,0.7096165618895998,0.16369674199959264,0.14192331237791997,46.552999910951634,46.57878279716823
toy4,cpu,1024,batched,local_optimizer_update,2,5.0,0.28074106748681515,0.13341078179051838,0.05614821349736303,0.026682156358103674,18.66735217289405,18.67749885787844
toy4,cpu,1024,batched,local_step,2,5.0,0.9655347085208632,0.7513874023952238,0.19310694170417264,0.15027748047904477,57.020803932801655,57.05223464064897
