label,recovery_rate,extraction_cost,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,initial_intensity_mean,initial_intensity_std,exploration_std,seed,epochs,run_dir,domain_final_resource_fraction,domain_final_resource_level,domain_final_mean_intensity,domain_final_intensity_variance,domain_final_mean_payoff,final_fragmentation_components
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.0,0.35,0.05,0.02,5,50,experiments/runs/20260511_170600_521388_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0_i0p05_e0p02_seed05,0.30445077031658657,30.445077031658656,0.43378067554856614,0.0004947452291565163,0.06599946468110146,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.8,0.35,0.05,0.02,1,50,experiments/runs/20260511_170600_683958_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0p8_i0p05_e0p02_seed01,0.3056645975147623,30.56645975147623,0.4351614236187082,0.0003385828046637502,0.06666106487147103,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.8,0.35,0.05,0.02,2,50,experiments/runs/20260511_170600_870567_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0p8_i0p05_e0p02_seed02,0.3048375848018912,30.483758480189124,0.4359469304306316,0.00044054429257704627,0.06627539581274336,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.8,0.35,0.05,0.02,3,50,experiments/runs/20260511_170601_041570_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0p8_i0p05_e0p02_seed03,0.3051132897631923,30.51132897631923,0.43564623159286653,0.00031624509811839524,0.06643432941731615,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.8,0.35,0.05,0.02,4,50,experiments/runs/20260511_170601_204420_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0p8_i0p05_e0p02_seed04,0.30571760637953316,30.571760637953314,0.4349172820819133,0.0004003931688267255,0.06665445520992715,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.8,0.35,0.05,0.02,5,50,experiments/runs/20260511_170601_368428_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0p5_t0p8_i0p05_e0p02_seed05,0.30445077031658657,30.445077031658656,0.43378067554856614,0.0004947452291565163,0.06599946468110146,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.05,0.08,1,50,experiments/runs/20260511_170601_528545_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0_i0p05_e0p08_seed01,0.3075462103089893,30.75462103089893,0.4349043229419838,0.005416793819690674,0.06573534665470236,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.05,0.08,2,50,experiments/runs/20260511_170601_646033_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0_i0p05_e0p08_seed02,0.30424001590821076,30.424001590821078,0.4380372764667637,0.0070484006561786884,0.06376226882797775,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.05,0.08,3,50,experiments/runs/20260511_170601_763283_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0_i0p05_e0p08_seed03,0.3053426575829253,30.53426575829253,0.43684112374987244,0.005059676311753132,0.06492338298724798,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.05,0.08,4,50,experiments/runs/20260511_170601_884240_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0_i0p05_e0p08_seed04,0.307759591353048,30.7759591353048,0.43393204470533,0.00640553934177598,0.06544769187684782,1
