label,case,seed,mixer,peer_rule,init_mode,alpha,threshold,run_dir,final_mean_global_accuracy,final_mean_consensus,final_fragmentation_components
toy1_param_independent_low_threshold_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.0,-0.2,experiments/runs/20260429_153031_toy1_param_independent_low_threshold_seed01_parameter_average_state_similarity_independent_init_a0p0_tm0p2_seed01,0.891972005367279,0.9494339923469388,1
toy1_param_independent_low_threshold_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.0,0.0,experiments/runs/20260429_153039_toy1_param_independent_low_threshold_seed01_parameter_average_state_similarity_independent_init_a0p0_t0p0_seed01,0.891972005367279,0.9494339923469388,4
toy1_param_independent_low_threshold_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.0,0.2,experiments/runs/20260429_153047_toy1_param_independent_low_threshold_seed01_parameter_average_state_similarity_independent_init_a0p0_t0p2_seed01,0.891972005367279,0.9494339923469388,32
toy1_param_independent_low_threshold_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.0,0.4,experiments/runs/20260429_153056_toy1_param_independent_low_threshold_seed01_parameter_average_state_similarity_independent_init_a0p0_t0p4_seed01,0.891972005367279,0.9494339923469388,49
toy1_param_independent_low_threshold_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.0,0.6,experiments/runs/20260429_153104_toy1_param_independent_low_threshold_seed01_parameter_average_state_similarity_independent_init_a0p0_t0p6_seed01,0.891972005367279,0.9494339923469388,50
toy1_param_independent_low_threshold_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.1,-0.2,experiments/runs/20260429_153112_toy1_param_independent_low_threshold_seed01_parameter_average_state_similarity_independent_init_a0p1_tm0p2_seed01,0.8956160068511962,0.9669323979591836,1
toy1_param_independent_low_threshold_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.1,0.0,experiments/runs/20260429_153120_toy1_param_independent_low_threshold_seed01_parameter_average_state_similarity_independent_init_a0p1_t0p0_seed01,0.8958279967308045,0.9677439413265306,1
toy1_param_independent_low_threshold_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.1,0.2,experiments/runs/20260429_153128_toy1_param_independent_low_threshold_seed01_parameter_average_state_similarity_independent_init_a0p1_t0p2_seed01,0.8923960018157959,0.9566757015306122,31
toy1_param_independent_low_threshold_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.1,0.4,experiments/runs/20260429_153137_toy1_param_independent_low_threshold_seed01_parameter_average_state_similarity_independent_init_a0p1_t0p4_seed01,0.891940004825592,0.9497528698979592,49
toy1_param_independent_low_threshold_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.1,0.6,experiments/runs/20260429_153145_toy1_param_independent_low_threshold_seed01_parameter_average_state_similarity_independent_init_a0p1_t0p6_seed01,0.891972005367279,0.9494339923469388,50
toy1_param_independent_low_threshold_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.25,-0.2,experiments/runs/20260429_153153_toy1_param_independent_low_threshold_seed01_parameter_average_state_similarity_independent_init_a0p25_tm0p2_seed01,0.8976080000400544,0.9802630739795918,1
toy1_param_independent_low_threshold_seed01,parameter_average_state_similarity_independent_init,1,parameter_average,state_similarity,independent_init,0.25,0.0,experiments/runs/20260429_153201_toy1_param_independent_low_threshold_seed01_parameter_average_state_similarity_independent_init_a0p25_t0p0_seed01,0.8979560017585755,0.9792394770408164,1
