toy,scenario,device,agent_count,epochs,seed,run_id,epoch,policy_rule,coordination_mixer,stage,seconds
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,2,neural_policy,none,sample_actions,1.0320218279957771e-06
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,2,neural_policy,none,commit_actions,5.490030162036419e-06
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,2,neural_policy,none,post_step_state_policy,5.931302439421415e-05
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,2,neural_policy,none,update_payoff_ema,2.131995279341936e-05
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,2,neural_policy,none,update_reputation_ema,1.9547995179891586e-05
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,2,neural_policy,none,mobility_swaps,2.5968998670578003e-05
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,2,neural_policy,none,finalize_hook_step,5.6428019888699055e-05
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,2,neural_policy,none,hooked_step_total,0.0696582579985261
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,2,neural_policy,none,aggregate_row,0.0026041329838335514
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,2,neural_policy,none,write_aggregate,0.00012982694897800684
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,sample_revision_mask,1.8344959244132042e-05
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,build_step_context,1.1102063581347466e-05
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,neural_context_peers,3.6369310691952705e-06
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,build_observations,0.0008955530356615782
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,policy_readout,0.001613138010725379
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,decision_selection,0.000338112935423851
toy2,neural_none,cpu,100,3,4,toy2_gpu_core_neural_none_100_cpu,3,neural_policy,none,local_training,0.059687863918952644
