label,strategy_count,initial_distribution,coordination_mixer,coordination_peer_rule,alpha,seed,epochs,run_dir,domain_final_mean_payoff,domain_final_strategy_entropy,domain_final_dominant_strategy,domain_final_dominant_strategy_fraction,final_fragmentation_components
toy6_categorical_sweep_seeds01_05,3,biased,output_average,output_similarity,0.0,1,25,experiments/runs/20260511_164031_593618_toy6_categorical_sweep_seeds01_05_k3_biased_output_average_output_similarity_a0_seed01,0.0,0.8350146792398998,0,0.6,1
toy6_categorical_sweep_seeds01_05,3,biased,output_average,output_similarity,0.0,2,25,experiments/runs/20260511_164034_092237_toy6_categorical_sweep_seeds01_05_k3_biased_output_average_output_similarity_a0_seed02,0.0,0.9331583620686273,0,0.5,1
toy6_categorical_sweep_seeds01_05,3,biased,output_average,output_similarity,0.0,3,25,experiments/runs/20260511_164036_606547_toy6_categorical_sweep_seeds01_05_k3_biased_output_average_output_similarity_a0_seed03,0.0,0.9038281766004537,0,0.54,1
toy6_categorical_sweep_seeds01_05,3,biased,output_average,output_similarity,0.0,4,25,experiments/runs/20260511_164039_116002_toy6_categorical_sweep_seeds01_05_k3_biased_output_average_output_similarity_a0_seed04,0.0,0.8674523297671864,0,0.56,1
toy6_categorical_sweep_seeds01_05,3,biased,output_average,output_similarity,0.0,5,25,experiments/runs/20260511_164041_624677_toy6_categorical_sweep_seeds01_05_k3_biased_output_average_output_similarity_a0_seed05,0.0,0.9398103848354475,0,0.51,1
toy6_categorical_sweep_seeds01_05,3,biased,output_average,output_similarity,0.25,1,25,experiments/runs/20260511_164044_120472_toy6_categorical_sweep_seeds01_05_k3_biased_output_average_output_similarity_a0p25_seed01,0.0,0.8479472121391743,0,0.58,1
toy6_categorical_sweep_seeds01_05,3,biased,output_average,output_similarity,0.25,2,25,experiments/runs/20260511_164046_715283_toy6_categorical_sweep_seeds01_05_k3_biased_output_average_output_similarity_a0p25_seed02,0.0,0.9440954188039138,0,0.47,1
toy6_categorical_sweep_seeds01_05,3,biased,output_average,output_similarity,0.25,3,25,experiments/runs/20260511_164049_302952_toy6_categorical_sweep_seeds01_05_k3_biased_output_average_output_similarity_a0p25_seed03,0.0,0.8906277929800746,0,0.57,1
toy6_categorical_sweep_seeds01_05,3,biased,output_average,output_similarity,0.25,4,25,experiments/runs/20260511_164051_915557_toy6_categorical_sweep_seeds01_05_k3_biased_output_average_output_similarity_a0p25_seed04,0.0,0.8537189522015107,0,0.57,1
toy6_categorical_sweep_seeds01_05,3,biased,output_average,output_similarity,0.25,5,25,experiments/runs/20260511_164054_494227_toy6_categorical_sweep_seeds01_05_k3_biased_output_average_output_similarity_a0p25_seed05,0.0,0.9455672104350705,0,0.48,1
toy6_categorical_sweep_seeds01_05,3,biased,output_average,output_similarity,0.5,1,25,experiments/runs/20260511_164057_033230_toy6_categorical_sweep_seeds01_05_k3_biased_output_average_output_similarity_a0p5_seed01,0.0,0.8479472121391743,0,0.58,1
toy6_categorical_sweep_seeds01_05,3,biased,output_average,output_similarity,0.5,2,25,experiments/runs/20260511_164059_561793_toy6_categorical_sweep_seeds01_05_k3_biased_output_average_output_similarity_a0p5_seed02,0.0,0.9372305632161295,0,0.5,1
toy6_categorical_sweep_seeds01_05,3,biased,output_average,output_similarity,0.5,3,25,experiments/runs/20260511_164102_148484_toy6_categorical_sweep_seeds01_05_k3_biased_output_average_output_similarity_a0p5_seed03,0.0,0.8906277929800746,0,0.57,1
toy6_categorical_sweep_seeds01_05,3,biased,output_average,output_similarity,0.5,4,25,experiments/runs/20260511_164104_651660_toy6_categorical_sweep_seeds01_05_k3_biased_output_average_output_similarity_a0p5_seed04,0.0,0.8590373164768424,0,0.56,1
toy6_categorical_sweep_seeds01_05,3,biased,output_average,output_similarity,0.5,5,25,experiments/runs/20260511_164107_132136_toy6_categorical_sweep_seeds01_05_k3_biased_output_average_output_similarity_a0p5_seed05,0.0,0.9455672104350705,0,0.48,1
