label,game_family,update_rule,mixer,peer_rule,policy_prior_mode,local_update_rule,revision_rate,selection_strength,policy_temperature,payoff_transform,learning_enabled,epoch,p0_count,cooperation_slope,policy_cooperation_slope
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,27,5,1.34,1.4156866868336997
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,28,5,1.3666666666666665,1.3312357664108287
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,29,5,1.3866666666666672,1.3838532765706384
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,30,5,1.3933333333333338,1.388801693916321
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,31,5,1.380000000000001,1.3950004180272426
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,32,5,1.4133333333333329,1.3733205199241645
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,33,5,1.4000000000000006,1.421708921591442
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,34,5,1.3733333333333348,1.3876840472221381
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,35,5,1.466666666666668,1.4207513133684802
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,36,5,1.533333333333334,1.496302743752798
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,37,5,1.580000000000001,1.5675340692202246
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,38,5,1.6066666666666682,1.5762501955032362
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,39,5,1.6400000000000008,1.641135811805726
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,40,5,1.6533333333333342,1.667524635791779
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,41,5,1.666666666666668,1.666838268438975
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,42,5,1.6933333333333345,1.6692991455396027
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,43,5,1.720000000000002,1.6958000659942634
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,44,5,1.7666666666666673,1.784195999304455
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,45,5,1.8600000000000012,1.8195963303248097
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,46,5,1.8533333333333342,1.8808155457178761
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,47,5,1.9000000000000015,1.8571792642275506
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,48,5,1.8733333333333353,1.8936822215716056
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,49,5,1.8600000000000012,1.8526579141616837
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,1.0,1.0,linear,True,50,5,1.853333333333335,1.8692522446314506
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,0,5,1.1000000000000005,1.0999999046325692
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,1,5,1.0933333333333337,1.1127253373463954
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,2,5,1.0533333333333343,1.0571125348409025
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,3,5,1.0600000000000005,1.0413902600606288
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,4,5,1.0733333333333344,1.1319818894068403
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,5,5,1.033333333333335,1.0547049442927046
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,6,5,1.0866666666666676,1.0612601041793823
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,7,5,1.1400000000000015,1.1465033292770386
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,8,5,1.1333333333333344,1.1327397028605148
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,9,5,1.2066666666666672,1.1680955489476532
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,10,5,1.1733333333333347,1.2016969521840415
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,11,5,1.220000000000001,1.2094491720199585
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,12,5,1.2466666666666677,1.2412065664927177
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,13,5,1.2466666666666688,1.2665136257807423
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,14,5,1.2733333333333345,1.2953833341598515
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,15,5,1.246666666666668,1.2745805581410732
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,16,5,1.2400000000000002,1.2206956942876186
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,17,5,1.2733333333333334,1.2494999170303347
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,18,5,1.2599999999999998,1.2787405451138814
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,19,5,1.3200000000000018,1.3592503468195603
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,20,5,1.346666666666667,1.3587632973988855
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,21,5,1.3466666666666682,1.3738805651664732
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,22,5,1.373333333333334,1.3313970764478045
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,23,5,1.4466666666666677,1.4084647893905646
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,24,5,1.4266666666666687,1.4575460354487098
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,25,5,1.4000000000000012,1.382750193277995
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,26,5,1.4400000000000004,1.4405370553334558
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,27,5,1.4200000000000013,1.4459027449289963
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,28,5,1.4400000000000002,1.4169836044311537
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,29,5,1.466666666666667,1.4718243877093
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,30,5,1.440000000000001,1.4414416352907817
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,31,5,1.4200000000000004,1.4460360010464992
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,32,5,1.4400000000000015,1.4112680753072107
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,33,5,1.4800000000000009,1.4696766535441086
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,34,5,1.4866666666666677,1.4834649562835691
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,35,5,1.5200000000000007,1.4859248399734506
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,36,5,1.5933333333333342,1.5629124244054171
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,37,5,1.6200000000000017,1.6336541175842294
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,38,5,1.6666666666666683,1.6252850691477458
toy2_stag_hunt_counterfactual_strength_gate_seed01_03,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,0.1,2.0,1.0,linear,True,39,5,1.7000000000000013,1.714556455612183
