device,agent_count,training_backend,pre_seconds,post_seconds,post_vs_pre_speedup,post_loop_speedup,parity_passed_vs_loop
cpu,1024,loop,14.656390561209992,5.5019321271032095,2.663862745806175,1.0,True
cpu,1024,batched,2.1767973236273974,1.13417605496943,1.919277926095896,4.851032681090514,True
cpu,1024,tensor_batched,1.7161347636021673,0.7450907113961875,2.3032602087027664,7.384615815446415,True
cuda,1024,loop,18.46017357474193,8.968084556311369,2.058430937558126,1.0,True
cuda,1024,batched,2.942500236793421,1.7354139160364865,1.6955766030091928,5.1677059727317465,True
cuda,1024,tensor_batched,2.224418005021289,1.0894764800090343,2.041731999055715,8.231548188506792,True
cpu,2048,loop,15.475582012208179,10.609888120740652,1.458601807275759,1.0,True
cpu,2048,batched,6.972681633010507,2.6403095904747023,2.640857673265063,4.018426916123931,True
cpu,2048,tensor_batched,5.34823506239336,1.5632501525804401,3.421225735345352,6.787081655114745,True
cuda,2048,loop,23.648646656610072,17.687170214764774,1.337047479617216,1.0,True
cuda,2048,batched,7.441335574793629,3.6411915500462055,2.0436534887352393,4.85752182982351,True
cuda,2048,tensor_batched,5.723504083207809,2.183723286539316,2.620069357127374,8.09954852952512,True
