regime,game_family,update_rule,mixer,peer_rule,initial_cooperation_probability,alpha,selection_strength,payoff_transform,seeds,cooperation_mean,cooperation_std,payoff_mean,payoff_std,policy_cooperation_mean,cluster_fraction_mean,fragmentation_mean
soft_pd,prisoner_dilemma,neural_policy,none,none,0.3,0.0,1.0,linear,5,0.324,0.023021728866442673,1.5636000000000003,0.05175712511335991,0.32348752617835996,0.11400000000000002,100.0
soft_pd,prisoner_dilemma,neural_policy,none,none,0.5,0.0,1.0,linear,5,0.31799999999999995,0.025884358211089583,1.5532000000000001,0.05593925276583512,0.3222904860973358,0.11000000000000001,100.0
soft_pd,prisoner_dilemma,neural_policy,none,none,0.7,0.0,1.0,linear,5,0.32799999999999996,0.02863564212655271,1.5716,0.061893456843191315,0.32417556643486023,0.13,100.0
soft_pd,prisoner_dilemma,neural_policy,none,none,0.9,0.0,1.0,linear,5,0.322,0.027748873851023197,1.562,0.05998333101787519,0.3254648745059967,0.10800000000000001,100.0
soft_pd,prisoner_dilemma,neural_policy,output_average,none,0.1,0.25,1.0,linear,5,0.284,0.01816590212458493,1.4876,0.03021258016125062,0.2674413412809372,0.08399999999999999,1.0
soft_pd,prisoner_dilemma,neural_policy,output_average,none,0.3,0.25,1.0,linear,5,0.28,0.012247448713915872,1.48,0.017029386365926324,0.2715702086687088,0.078,1.0
soft_pd,prisoner_dilemma,neural_policy,output_average,none,0.5,0.25,1.0,linear,5,0.28,0.012247448713915882,1.4808000000000001,0.017469974241537876,0.2666230320930481,0.078,1.0
soft_pd,prisoner_dilemma,neural_policy,output_average,none,0.7,0.25,1.0,linear,5,0.284,0.00547722557505164,1.4872,0.013311649033834826,0.2682604521512985,0.08399999999999999,1.0
soft_pd,prisoner_dilemma,neural_policy,output_average,none,0.9,0.25,1.0,linear,5,0.278,0.010954451150103309,1.4780000000000002,0.02154065922853809,0.26804921627044676,0.078,1.0
soft_pd,prisoner_dilemma,rd_well_mixed,none,none,0.1,0.0,1.0,linear,1,1.906776383307988e-05,,1.000036375346876,,1.906776383307988e-05,0.0,0.0
soft_pd,prisoner_dilemma,rd_well_mixed,none,none,0.3,0.0,1.0,linear,1,0.00010207018229555943,,1.0001947162236822,,0.00010207018229555943,0.0,0.0
soft_pd,prisoner_dilemma,rd_well_mixed,none,none,0.5,0.0,1.0,linear,1,0.00040013482121261474,,1.0007632991419761,,0.00040013482121261474,0.0,0.0
soft_pd,prisoner_dilemma,rd_well_mixed,none,none,0.7,0.0,1.0,linear,1,0.0025129194966963912,,1.0047925055622442,,0.0025129194966963912,0.0,0.0
soft_pd,prisoner_dilemma,rd_well_mixed,none,none,0.9,0.0,1.0,linear,1,0.14625529469489992,,1.275909337273296,,0.14625529469489992,0.0,0.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.1,0.0,1.0,linear,5,0.0,0.0,2.0,0.0,0.0,0.0,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.3,0.0,1.0,linear,5,0.0,0.0,2.0,0.0,0.0,0.0,100.0
