toy,device,agent_count,training_backend,stage,repeats,epochs_per_repeat,seconds_per_run_mean,seconds_per_run_std,seconds_per_epoch_mean,seconds_per_epoch_std,share_of_steady_state_pct,share_of_hooked_step_pct
toy4,cpu,1024,tensor_batched,build_observations,3,10.0,0.004050281907742222,0.0010847699684417096,0.0004050281907742222,0.00010847699684417094,3.0797369679825075,3.0857709295103244
toy4,cpu,1024,tensor_batched,build_step_context,3,10.0,8.634314872324467e-05,1.3594198159007326e-05,8.634314872324466e-06,1.3594198159007323e-06,0.06611993147702604,0.0662479839832625
toy4,cpu,1024,tensor_batched,cache_refresh,3,10.0,2.5977729819715023e-05,5.205503923328834e-07,2.5977729819715024e-06,5.2055039233288274e-08,0.02007828388578985,0.020116565381531334
toy4,cpu,1024,tensor_batched,commit_actions,3,10.0,4.337006248533726e-05,4.926096991512091e-06,4.3370062485337256e-06,4.926096991512089e-07,0.033749494693850864,0.03381303309649109
toy4,cpu,1024,tensor_batched,decision_selection,3,10.0,0.010612069823158285,0.0006071635229379571,0.0010612069823158284,6.071635229379567e-05,8.192198382292714,8.20785773286781
toy4,cpu,1024,tensor_batched,finalize_hook_step,3,10.0,9.569704222182433e-05,2.8657448163867827e-06,9.569704222182434e-06,2.865744816386785e-07,0.07417615211379198,0.07431684966385106
toy4,cpu,1024,tensor_batched,hooked_step_total,3,10.0,0.12980332361379018,0.012457137500852603,0.012980332361379016,0.0012457137500852603,99.80800222825518,100.0
toy4,cpu,1024,tensor_batched,local_adam_update,3,10.0,0.02966639834145705,0.006059799399846485,0.0029666398341457053,0.0006059799399846486,22.668964111086826,22.713000399767832
toy4,cpu,1024,tensor_batched,local_autograd_grad,3,10.0,0.012370119375797609,0.0009721676393963851,0.0012370119375797609,9.721676393963849e-05,9.522884975509344,9.541166097382508
toy4,cpu,1024,tensor_batched,local_loss_forward,3,10.0,0.007606282636212806,0.001869388446284816,0.0007606282636212807,0.0001869388446284816,5.793730518653568,5.805066504213646
toy4,cpu,1024,tensor_batched,local_loss_update,3,10.0,0.050683782319538295,0.008622801917668727,0.0050683782319538295,0.0008622801917668724,38.784748079225174,38.85994311196129
toy4,cpu,1024,tensor_batched,local_optimizer_update,3,10.0,0.04293483270642658,0.007065118189866941,0.004293483270642658,0.0007065118189866943,32.881340068957165,32.944988099239104
