toy,scenario,device,agent_count,epochs,seed,seconds,epochs_per_second,agent_steps_per_second,final_action_rate,final_mean_policy_action_probability,final_mean_reputation,timing_make_run_dir_seconds,timing_write_metadata_seconds,timing_initial_state_seconds,timing_writer_setup_seconds,timing_initial_step_result_seconds,timing_initial_aggregate_row_seconds,timing_write_initial_aggregate_seconds,timing_sample_revision_mask_seconds,timing_hooked_step_total_seconds,timing_build_step_context_seconds,timing_local_step_seconds,timing_neural_context_peers_seconds,timing_build_observations_seconds,timing_policy_readout_seconds,timing_decision_selection_seconds,timing_local_training_seconds,timing_cache_refresh_seconds,timing_post_local_readout_seconds,timing_select_peers_seconds,timing_social_step_seconds,timing_social_distillation_seconds,timing_sample_actions_seconds,timing_commit_actions_seconds,timing_post_step_state_policy_seconds,timing_update_payoff_ema_seconds,timing_update_reputation_ema_seconds,timing_mobility_swaps_seconds,timing_finalize_hook_step_seconds,timing_aggregate_row_seconds,timing_write_aggregate_seconds,timing_write_micro_seconds
toy2,neural_none,cpu,100,3,4,1.7797849449561909,1.6855969079308313,168.55969079308312,0.39,0.41909515857696533,0.47802000000000006,0.00021287507843226194,0.0025575238978490233,1.515033344971016,0.00117970397695899,0.012090437929145992,0.0030838160309940577,4.822190385311842e-05,9.91899287328124e-05,0.20881254703272134,3.7812977097928524e-05,0.20461798796895891,1.4887889847159386e-05,0.002698141150176525,0.00217628909740597,0.0014297589659690857,0.188781525939703,0.005799271049909294,0.002030782983638346,0.000675095128826797,0.0001247370382770896,0.0,3.5869888961315155e-06,2.0259059965610504e-05,0.00021427799947559834,7.683504372835159e-05,6.711902096867561e-05,8.198607247322798e-05,0.00019431998953223228,0.011057973024435341,0.00030158390291035175,0.0
toy2,neural_none,cuda,100,3,4,1.8961804149439558,1.5821279327413942,158.21279327413941,0.41,0.42769500613212585,0.4659800000000001,0.0006751739419996738,0.004100910970009863,0.09467050398234278,0.0012726810527965426,0.5012829810148105,0.08919115294702351,9.769597090780735e-05,0.00022598006762564182,1.176181378075853,8.314906153827906e-05,1.1659943020204082,3.105995710939169e-05,0.003410658217035234,0.0021846250165253878,0.37099418602883816,0.7777334150159732,0.006960390019230545,0.001843207166530192,0.0018691360019147396,0.001378001063130796,0.0,2.696190495043993e-05,0.0011167440097779036,0.00023487710859626532,0.0004563679685816169,0.00011244392953813076,0.00013673899229615927,0.0005277830641716719,0.010615642881020904,0.00043537793681025505,0.0
toy2,neural_output_average,cpu,100,3,4,0.484996282029897,6.185614428720649,618.561442872065,0.37,0.38170546293258667,0.4751200000000001,0.0002948399633169174,0.003208453068509698,0.048921042936854064,0.0005661069881170988,0.004336628946475685,0.004887636983767152,0.00019383803009986877,0.0002598250284790993,0.40388377697672695,8.175603579729795e-05,0.20913950901012868,1.6742036677896976e-05,0.0033196639269590378,0.0026031499728560448,0.0012058240827172995,0.19215583393815905,0.005878100055269897,0.0020628629717975855,0.0005322931101545691,0.1889957330422476,0.1887974850833416,7.3730479925870895e-06,2.085999585688114e-05,0.00013653095811605453,0.0001614469802007079,4.83229523524642e-05,0.0001131650060415268,0.00028507295064628124,0.00875467190053314,0.0003230550792068243,0.0
toy2,neural_output_average,cuda,100,3,4,1.2039525249274448,2.4917926063411784,249.17926063411784,0.4,0.3913871943950653,0.46498000000000006,0.00028284802101552486,0.002810926060192287,0.051926851039752364,0.0008520010160282254,0.00508162600453943,0.0037193649914115667,6.861099973320961e-05,0.00012497708667069674,1.1173560678726062,6.136693991720676e-05,0.4025673621799797,3.497803118079901e-05,0.0029705510241910815,0.0010177958756685257,0.002632608055137098,0.38544403319247067,0.006585436989553273,0.0014833310851827264,0.0008336760802194476,0.7075996310450137,0.7073880389798433,3.508699592202902e-05,4.76309796795249e-05,0.00025442393962293863,0.00017395103350281715,8.893990889191628e-05,0.00014658900909125805,0.00038402993232011795,0.008637228049337864,0.00026917201466858387,0.0
toy2,neural_none,cpu,256,3,4,0.8018753250362352,3.741229972208505,957.7548728853773,0.4609375,0.4265742897987366,0.456578125,0.0002360889920964837,0.0026903279358521104,0.11767570301890373,0.0011142189614474773,0.00841318303719163,0.012093403027392924,7.690698839724064e-05,8.10249475762248e-05,0.598967759986408,3.638898488134146e-05,0.5933838480850682,1.1492054909467697e-05,0.00663291709497571,0.0022520649945363402,0.0015015359967947006,0.5515110710402951,0.022179287974722683,0.004995872965082526,0.0014326859964057803,0.00021033897064626217,0.0,3.0349474400281906e-06,2.1551037207245827e-05,0.00017961207777261734,0.00013339403085410595,6.618595216423273e-05,0.00010400812607258558,0.00038022291846573353,0.03297102591022849,0.00040107197128236294,0.0
toy2,neural_none,cuda,256,3,4,1.2433327519102022,2.4128697610442025,617.6946588273158,0.44140625,0.43035733699798584,0.44903515625,0.00035546603612601757,0.0034971319837495685,0.15362320991698653,0.0006144590443000197,0.00540997099597007,0.010521041927859187,8.608400821685791e-05,0.00017239805310964584,1.0151109569706023,0.00011133099906146526,1.0089940300676972,5.194894038140774e-05,0.006135389907285571,0.0008927370654419065,0.0017358619952574372,0.9763169350335374,0.018708245013840497,0.0016380359884351492,0.0012173758586868644,0.00039706495590507984,0.0,2.2693071514368057e-05,4.690897185355425e-05,0.00027679698541760445,0.00019098399206995964,0.00010651187039911747,0.00017737795133143663,0.0005792230367660522,0.026370049105025828,0.0006231248844414949,0.0
toy2,neural_output_average,cpu,256,3,4,1.6153728989884257,1.8571563271110043,475.4320197404171,0.421875,0.3904446065425873,0.451265625,0.0006117240991443396,0.002735193003900349,0.6074868949363008,0.0010426839580759406,0.011340450961142778,0.011802128981798887,0.00012001802679151297,8.782616350799799e-05,0.9255101550370455,3.8782949559390545e-05,0.487309412099421,1.3125012628734112e-05,0.0060509799513965845,0.006528547964990139,0.0011226451024413109,0.4523400958860293,0.01590141502674669,0.002065748907625675,0.0007090800208970904,0.43215807795058936,0.43200823199003935,5.549169145524502e-06,1.7252983525395393e-05,0.00014118896797299385,0.0001100997906178236,5.3029973059892654e-05,9.016192052513361e-05,0.0005104599986225367,0.031722150975838304,0.00036379205994307995,0.0
toy2,neural_output_average,cuda,256,3,4,2.4186902409419417,1.2403407221057259,317.5272248590658,0.39453125,0.39420467615127563,0.44258984375,0.0007232159841805696,0.0034463750198483467,0.17235201504081488,0.002442655968479812,0.01167840394191444,0.019528305041603744,0.00020887702703475952,0.00014880381058901548,2.1472574920626357,0.00011307501699775457,1.156607832876034,3.9384933188557625e-05,0.006971209077164531,0.002576691098511219,0.004666766966693103,1.1191005300497636,0.0177156669087708,0.0016001630574464798,0.0018097928259521723,0.981400987948291,0.981146956095472,3.3071963116526604e-05,5.208887159824371e-05,0.0002784188836812973,0.0001338649308308959,8.693709969520569e-05,0.00012627104297280312,0.0005582829471677542,0.031990127987228334,0.00043066905345767736,0.0
toy2,neural_none,cpu,512,3,4,1.3446175319841132,2.231117718339735,1142.3322717899443,0.412109375,0.42444297671318054,0.457091796875,0.0005044800927862525,0.003120415029115975,0.24004370300099254,0.0007383850170299411,0.008457056945189834,0.05203523801174015,0.0001301380107179284,0.00013186107389628887,0.8881220099283382,4.598905798047781e-05,0.8842411779332906,1.0911957360804081e-05,0.012218922027386725,0.0022950239945203066,0.001001995988190174,0.8374917750479653,0.02387532393913716,0.001765136024914682,0.0012957939179614186,9.086192585527897e-05,0.0,5.8211153373122215e-06,1.1320109479129314e-05,8.848914876580238e-05,6.679806392639875e-05,4.3092877604067326e-05,6.472284439951181e-05,0.0004287449410185218,0.10756754805333912,0.00033950700890272856,0.0
toy2,neural_none,cuda,512,3,4,2.842534851981327,1.0553960307325398,540.3627677350604,0.4609375,0.42563915252685547,0.46582421875,0.0002528509357944131,0.002475298009812832,0.7196608759695664,0.0006972160190343857,0.008441937039606273,0.037314035929739475,0.00023143994621932507,0.00015357311349362135,1.9365373700857162,6.441306322813034e-05,1.9293362810276449,5.00349560752511e-05,0.014207705040462315,0.0032238318817690015,0.0026562720304355025,1.8725916070397943,0.02983371599111706,0.0012141589540988207,0.0021646968089044094,0.0006693820469081402,0.0,2.4959095753729343e-05,6.354006472975016e-05,0.00017002294771373272,0.0001449360279366374,9.296706411987543e-05,9.476894047111273e-05,0.0007345969788730145,0.09320913604460657,0.00037138687912374735,0.0
toy2,neural_output_average,cpu,512,3,4,2.271115542971529,1.3209367569537207,676.319619560305,0.396484375,0.38776302337646484,0.45377148437500003,0.0004230150952935219,0.002746695070527494,0.2261701449751854,0.0012489460641518235,0.008849101956002414,0.03720811509992927,9.586196392774582e-05,0.00010967894922941923,1.850673577748239,3.4024007618427277e-05,0.9980060058878735,1.0880990885198116e-05,0.012838911963626742,0.003164710011333227,0.0013640429824590683,0.9300136250676587,0.04196625610347837,0.003176372149027884,0.0017828000709414482,0.8457838479662314,0.8456835991237313,3.356020897626877e-06,1.1882977560162544e-05,0.00010743597522377968,0.00011893594637513161,6.775883957743645e-05,5.3072115406394005e-05,0.00038569304160773754,0.09267458983231336,0.00023035798221826553,0.0
toy2,neural_output_average,cuda,512,3,4,4.418152932077646,0.6790167850955859,347.65659396894,0.4296875,0.388566792011261,0.4618203125,0.0006124150240793824,0.004353942000307143,0.29322019300889224,0.0007025459781289101,0.006472602020949125,0.028532552998512983,5.3611001931130886e-05,0.00018126494251191616,3.899375569075346,9.816605597734451e-05,2.016282121068798,2.9897084459662437e-05,0.014993048156611621,0.004740296979434788,0.0038039451465010643,1.9455619619693607,0.03830483998171985,0.002097499091178179,0.0022597680799663067,1.8727539129322395,1.8725310891168192,2.710090484470129e-05,5.313090514391661e-05,0.00018515181727707386,0.00015681900549679995,8.37189145386219e-05,0.00010962807573378086,0.0007807450601831079,0.10709284408949316,0.0005354270106181502,0.0
toy4,neural_none,cpu,100,3,4,0.6711536219809204,4.469915533116625,446.9915533116625,0.46,0.4272621273994446,0.45847000000000016,0.0005040179239585996,0.0030841060215607285,0.0762892619241029,0.0010445470688864589,0.005847973981872201,0.00223051302600652,7.364002522081137e-05,0.00010301615111529827,0.3040415468858555,3.9985054172575474e-05,0.29948919790331274,0.0,0.0044673391385003924,0.002598182181827724,0.002741444972343743,0.2742317238589749,0.007369937957264483,0.006932817050255835,0.000712745008058846,7.656705565750599e-05,0.0,2.8759241104125977e-06,4.342186730355024e-05,0.0001956819323822856,8.322799112647772e-05,9.270606096833944e-05,9.949994273483753e-05,4.788092337548733e-05,0.26436878298409283,0.00037959113251417875,0.0
toy4,neural_none,cuda,100,3,4,0.5896832050057128,5.087477436246359,508.7477436246359,0.46,0.4272620975971222,0.45847000000000016,0.00019263592548668385,0.002234118990600109,0.05840914091095328,0.000927553977817297,0.004211370018310845,0.003286742023192346,6.970309186726809e-05,8.735607843846083e-05,0.5003115177387372,4.9653928726911545e-05,0.4934865169925615,0.0,0.0030365451239049435,0.0011095399968326092,0.002318700891919434,0.46791316114831716,0.01301766186952591,0.002389674889855087,0.0014063359703868628,0.0004025058588013053,0.0,2.623000182211399e-05,4.3794047087430954e-05,0.00030844693537801504,0.00011466699652373791,0.00012013898231089115,0.00012532889377325773,8.277897723019123e-05,0.008996412856504321,0.000330729060806334,0.0
toy4,neural_output_average,cpu,100,3,4,0.4427786529995501,6.775394386510879,677.5394386510878,0.43,0.3936527669429779,0.45637000000000005,0.00021830503828823566,0.0031959490152075887,0.04237329005263746,0.0007549159927293658,0.004303085035644472,0.0032964309211820364,0.00013551791198551655,0.00011243391782045364,0.37427922803908587,3.790401387959719e-05,0.19966045999899507,0.0,0.0031993360025808215,0.0011139780981466174,0.0027728930581361055,0.18277400906663388,0.006736803916282952,0.0019931619754061103,0.0009198900079354644,0.1667561021167785,0.1665280481101945,5.110050551593304e-06,3.8072001188993454e-05,0.00023303308989852667,0.000123634934425354,5.5355019867420197e-05,0.00010925717651844025,5.616701673716307e-05,0.005731401965022087,0.00027625507209450006,0.0
toy4,neural_output_average,cuda,100,3,4,0.9412077219458297,3.187394163955512,318.73941639555125,0.43,0.3936527669429779,0.45637000000000005,0.0003354880027472973,0.0031632260652258992,0.0648785779485479,0.0003881780430674553,0.0033907300094142556,0.0016392279649153352,4.461489152163267e-05,6.432319059967995e-05,0.8476711929542944,3.687990829348564e-05,0.4068201850168407,0.0,0.002846873947419226,0.0009077270515263081,0.0026071988977491856,0.3890120609430596,0.007883104030042887,0.001981438952498138,0.001163773937150836,0.43162192194722593,0.4313372700707987,4.697008989751339e-05,8.199596777558327e-05,0.0002579609863460064,0.00016098597552627325,0.00016742793377488852,0.0002672687405720353,0.00016406190115958452,0.005809189053252339,0.0002408480504527688,0.0
toy4,neural_none,cpu,256,3,4,0.6420613150112331,4.67245094800255,1196.1474426886527,0.48046875,0.44246500730514526,0.45125390625,0.00033876392990350723,0.0024307939456775784,0.11863728403113782,0.0006555069703608751,0.00438614294398576,0.005570976063609123,0.00012303399853408337,7.208611350506544e-05,0.4832845020573586,3.2540992833673954e-05,0.4765581071842462,0.0,0.006530240876600146,0.0014793630689382553,0.005469822906889021,0.44001006695907563,0.017924175946973264,0.0038070911541581154,0.0015232280129566789,0.00013889302499592304,0.0,8.105067536234856e-06,2.7042115107178688e-05,0.0006466599879786372,0.00017275882419198751,7.148494478315115e-05,9.826605673879385e-05,4.885299131274223e-05,0.01141663605812937,0.0002180341398343444,0.0
