label,recovery_rate,extraction_cost,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,initial_intensity_mean,initial_intensity_std,exploration_std,seeds,final_resource_fraction_mean,final_resource_fraction_std,final_mean_intensity_mean,final_mean_intensity_std,final_mean_payoff_mean,final_mean_payoff_std,final_fragmentation_components_mean
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.05,0.02,5,0.3051567508128306,0.0005420273339569003,0.4350906125461333,0.0008354927230532312,0.06640493728913281,0.00027839492502379444,1.0
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.05,0.08,5,0.3055145280161313,0.00216984550708728,0.4346220456219586,0.003333957329708397,0.06446068763832027,0.0013606286086163435,1.0
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.2,0.02,5,0.3051607821667718,0.0005393690343961791,0.43508204865064204,0.0008469246989585094,0.06640645892096082,0.00027714969659329067,1.0
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.2,0.08,5,0.3055184578737832,0.0021670339252533887,0.4346133422807613,0.003345237598462996,0.06446213015237483,0.0013592827424838306,1.0
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.8,0.35,0.05,0.02,5,0.3051567508128306,0.0005420273339569003,0.4350906125461333,0.0008354927230532312,0.06640493728913281,0.00027839492502379444,1.0
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.8,0.35,0.05,0.08,5,0.3055145280161313,0.00216984550708728,0.4346220456219586,0.003333957329708397,0.06446068763832027,0.0013606286086163435,1.0
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.8,0.35,0.2,0.02,5,0.3051607821667718,0.0005393690343961791,0.43508204865064204,0.0008469246989585094,0.06640645892096082,0.00027714969659329067,1.0
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.8,0.35,0.2,0.08,5,0.3055184578737832,0.0021670339252533887,0.4346133422807613,0.003345237598462996,0.06446213015237483,0.0013592827424838306,1.0
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.0,0.35,0.05,0.02,5,0.30515675905381046,0.0005419003126914877,0.4350905367576174,0.0008356261035283234,0.06640493813927144,0.0002783480866240107,1.0
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.0,0.35,0.05,0.08,5,0.305514511756917,0.0021696552719195033,0.4346217524408944,0.0033340919279834227,0.06446062370373569,0.0013603756419558774,1.0
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.0,0.35,0.2,0.02,5,0.30516085184288566,0.0005389029887080633,0.4350818328999462,0.0008476137860378251,0.06640648270787695,0.00027698595232191197,1.0
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.0,0.35,0.2,0.08,5,0.305518595210314,0.0021666322784968644,0.43461314943942086,0.0033459503685869707,0.06446214484613824,0.0013589521236228909,1.0
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.8,0.35,0.05,0.02,5,0.3051567697551931,0.0005419020907926323,0.4350905086545372,0.0008356113608996703,0.06640494199851184,0.0002783493570538212,1.0
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.8,0.35,0.05,0.08,5,0.30551452270776835,0.00216965720887635,0.4346217249037595,0.003334077881998501,0.06446062769166375,0.001360377986601678,1.0
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.8,0.35,0.2,0.02,5,0.305161142700208,0.000538375587838675,0.4350802573701089,0.0008489927220638517,0.06640655717729319,0.0002768001666045988,1.0
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.5,0.8,0.35,0.2,0.08,5,0.30551877444201514,0.0021660343886406056,0.43461165120629885,0.0033473276348914257,0.06446216928557066,0.0013587256102678992,1.0
