prior,learning,p0,epoch,seeds,coop_mean,policy_pre_mean,policy_local_mean,policy_social_mean,local_loss_mean,revised_local_loss_mean,revision_mean
0.5,False,0.5,0,3,0.48333333333333334,0.5,0.5,0.5,0.0,0.0,0.0
0.5,False,0.5,1,3,0.49333333333333335,0.5,0.5,0.5,0.0,0.0,0.07666666666666667
0.5,False,0.5,5,3,0.49333333333333335,0.5,0.5,0.5,0.0,0.0,0.09666666666666668
0.5,False,0.5,10,3,0.5033333333333333,0.5,0.5,0.5,0.0,0.0,0.09333333333333334
0.5,False,0.5,25,3,0.49,0.5,0.5,0.5,0.0,0.0,0.11666666666666668
0.5,False,0.5,50,3,0.5533333333333333,0.5,0.5,0.5,0.0,0.0,0.11
0.5,False,0.6,0,3,0.5866666666666666,0.5,0.5,0.5,0.0,0.0,0.0
0.5,False,0.6,1,3,0.5866666666666666,0.5,0.5,0.5,0.0,0.0,0.07666666666666667
0.5,False,0.6,5,3,0.5599999999999999,0.5,0.5,0.5,0.0,0.0,0.09666666666666668
0.5,False,0.6,10,3,0.5466666666666667,0.5,0.5,0.5,0.0,0.0,0.09333333333333334
0.5,False,0.6,25,3,0.49666666666666665,0.5,0.5,0.5,0.0,0.0,0.11666666666666668
0.5,False,0.6,50,3,0.5533333333333333,0.5,0.5,0.5,0.0,0.0,0.11
0.5,False,0.7,0,3,0.71,0.5,0.5,0.5,0.0,0.0,0.0
0.5,False,0.7,1,3,0.6966666666666667,0.5,0.5,0.5,0.0,0.0,0.07666666666666667
0.5,False,0.7,5,3,0.6433333333333333,0.5,0.5,0.5,0.0,0.0,0.09666666666666668
0.5,False,0.7,10,3,0.6,0.5,0.5,0.5,0.0,0.0,0.09333333333333334
0.5,False,0.7,25,3,0.5066666666666667,0.5,0.5,0.5,0.0,0.0,0.11666666666666668
0.5,False,0.7,50,3,0.5566666666666666,0.5,0.5,0.5,0.0,0.0,0.11
0.5,True,0.5,0,3,0.48333333333333334,0.5,0.5,0.5,0.0,0.0,0.0
0.5,True,0.5,1,3,0.49333333333333335,0.5,0.5001220007737478,0.5001220007737478,0.0306602096060911,0.40595619045036696,0.07666666666666667
0.5,True,0.5,5,3,0.49333333333333335,0.5011434356371561,0.5008253256479899,0.5008253256479899,0.02183742215236023,0.2268700340583065,0.09666666666666668
0.5,True,0.5,10,3,0.5033333333333333,0.5010708967844645,0.5007322033246359,0.5007322033246359,0.013843012105983933,0.15000382853634278,0.09333333333333334
0.5,True,0.5,25,3,0.49,0.491559366385142,0.49049946665763855,0.49049946665763855,0.0031094297269980004,0.0310600361984646,0.11666666666666668
0.5,True,0.5,50,3,0.54,0.475622296333313,0.475047081708908,0.475047081708908,-0.0018417435892236669,-0.022865532905870265,0.11
0.5,True,0.6,0,3,0.5866666666666666,0.5,0.5,0.5,0.0,0.0,0.0
0.5,True,0.6,1,3,0.5866666666666666,0.5,0.5001198947429657,0.5001198947429657,0.0349923793971538,0.46821940996688166,0.07666666666666667
0.5,True,0.6,5,3,0.5599999999999999,0.5011709133783976,0.5008343656857809,0.5008343656857809,0.022974000523487664,0.23995463558581473,0.09666666666666668
0.5,True,0.6,10,3,0.5466666666666667,0.5011114478111267,0.5007679661115011,0.5007679661115011,0.014165987234252131,0.15463528998967516,0.09333333333333334
0.5,True,0.6,25,3,0.49666666666666665,0.49233754475911456,0.49152196447054547,0.49152196447054547,0.003148309073100467,0.0313665615505583,0.11666666666666668
0.5,True,0.6,50,3,0.54,0.4778289000193278,0.47723222772280377,0.47723222772280377,-0.0023936233172813333,-0.027226621605471735,0.11
0.5,True,0.7,0,3,0.71,0.5,0.5,0.5,0.0,0.0,0.0
0.5,True,0.7,1,3,0.6966666666666667,0.5,0.5001213351885477,0.5001213351885477,0.038024898270765904,0.5018640535992461,0.07666666666666667
0.5,True,0.7,5,3,0.6433333333333333,0.5013514161109924,0.5010713338851929,0.5010713338851929,0.0259686570614576,0.27538644555178315,0.09666666666666668
0.5,True,0.7,10,3,0.6,0.5015135606129965,0.5012378096580505,0.5012378096580505,0.014744375608861401,0.15966485455782722,0.09333333333333334
0.5,True,0.7,25,3,0.5066666666666667,0.4949837923049927,0.49457086126009625,0.49457086126009625,0.0015837446786463002,0.017548741776182333,0.11666666666666668
0.5,True,0.7,50,3,0.5499999999999999,0.48338645696640015,0.48286187648773193,0.48286187648773193,-0.002668260200880434,-0.030843657344921935,0.11
